schema_version,campaign_id,manifest_sha256,git_commit,manifest_git_commit,case_order,case_id,attempt_state,attempt_count,started_utc,completed_utc,attempted_lmax,evaluated_lmax,final_lmax,effective_wall_seconds,wall_seconds_debited,case_wall_seconds,peak_rss_bytes,model_e_solve_count,wall_seconds_per_case,peak_rss_bytes_per_case,wall_seconds_campaign,worker_count,blas_threads,final_diagnostics_json,converged,eligible,failure_stage,failure_reason
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,1,p1_dimer_ka005_fluid_f000_f1010_d0210_t000,completed,1,2026-08-20T20:34:49.082355Z,2026-08-20T20:36:12.702394Z,2;3;4;5;6;7;8;9;10;11;12;13;14;15,2;3;4;5;6;7;8;9;10;11;12;13;14;15,15,1800,83.620025009964593,83.620025009964593,177704960,14,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":120,""balanced_backward_error"":1.3205488405872724e-17,""balanced_condition_number"":1.052636891552635,""effective_incident_closure_error"":2.7281456603307068e-46,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":256,""fz_tolerance"":2.8595022461671334e-16,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":2.1392469288799347e-16,""system_dimension"":240}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,2,p1_dimer_ka005_fluid_f000_f1010_d0225_t000,completed,1,2026-08-20T20:36:12.719329Z,2026-08-20T20:36:26.746179Z,2;3;4;5;6;7;8;9;10;11;12;13;14,2;3;4;5;6;7;8;9;10;11;12;13;14,14,1800,14.026828920934349,14.026828920934349,177704960,13,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":105,""balanced_backward_error"":2.396304335003523e-17,""balanced_condition_number"":1.02834233114538,""effective_incident_closure_error"":1.9732521703547766e-43,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":225,""fz_tolerance"":2.1457370500343507e-16,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.41142852722038e-16,""system_dimension"":210}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,3,p1_dimer_ka005_fluid_f000_f1010_d0250_t000,completed,1,2026-08-20T20:36:26.759252Z,2026-08-20T20:36:36.209308Z,2;3;4;5;6;7;8;9;10;11;12;13,2;3;4;5;6;7;8;9;10;11;12;13,13,1800,9.450041361968033,9.450041361968033,177704960,12,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":91,""balanced_backward_error"":1.0649569373332233e-17,""balanced_condition_number"":1.014619680710352,""effective_incident_closure_error"":2.6276067987288177e-40,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":196,""fz_tolerance"":1.3942813808328717e-16,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.6337575170904734e-16,""system_dimension"":182}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,4,p1_dimer_ka005_fluid_f000_f1010_d0300_t000,completed,1,2026-08-20T20:36:36.223160Z,2026-08-20T20:36:40.126824Z,2;3;4;5;6;7;8;9;10;11,2;3;4;5;6;7;8;9;10;11,11,1800,3.9036482640076429,3.9036482640076429,177704960,10,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":66,""balanced_backward_error"":1.9166712347565122e-17,""balanced_condition_number"":1.0061424588973549,""effective_incident_closure_error"":2.05547744096243e-33,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":144,""fz_tolerance"":6.677189691920568e-17,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.899952078258994e-16,""system_dimension"":132}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,5,p1_dimer_ka005_fluid_f000_f1010_d0400_t000,completed,1,2026-08-20T20:36:40.130707Z,2026-08-20T20:36:41.502146Z,2;3;4;5;6;7;8;9,2;3;4;5;6;7;8;9,9,1800,1.3714263989822939,1.3714263989822939,177704960,8,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":45,""balanced_backward_error"":1.4749103624558997e-17,""balanced_condition_number"":1.0020415285941169,""effective_incident_closure_error"":1.4461118353916282e-28,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":100,""fz_tolerance"":2.1096097328697564e-17,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.9264022323530422e-16,""system_dimension"":90}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,6,p1_dimer_ka005_fluid_f000_f1010_d0600_t000,completed,1,2026-08-20T20:36:41.505782Z,2026-08-20T20:36:42.266134Z,2;3;4;5;6;7;8,2;3;4;5;6;7;8,8,1800,0.76033760095015168,0.76033760095015168,177704960,7,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":36,""balanced_backward_error"":1.2637308686674574e-17,""balanced_condition_number"":1.0005341757970954,""effective_incident_closure_error"":1.683358707874254e-24,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":81,""fz_tolerance"":4.195811266857473e-18,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.8866330373269968e-16,""system_dimension"":72}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,7,p1_dimer_ka005_fluid_f000_f1010_d0800_t000,completed,1,2026-08-20T20:36:42.270760Z,2026-08-20T20:36:42.661624Z,2;3;4;5;6;7,2;3;4;5;6;7,7,1800,0.39085111301392317,0.39085111301392317,177704960,6,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":28,""balanced_backward_error"":2.447673339752967e-17,""balanced_condition_number"":1.0002217307872812,""effective_incident_closure_error"":8.788065396352894e-22,""finite"":true,""force_decomposition_residual"":1.4570562686474913e-39,""full_modes_per_particle"":64,""fz_tolerance"":1.3433040503821652e-18,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.9370002131928464e-16,""system_dimension"":56}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,8,p1_dimer_ka005_fluid_f000_f1010_d1000_t000,completed,1,2026-08-20T20:36:42.664992Z,2026-08-20T20:36:43.060086Z,2;3;4;5;6;7,2;3;4;5;6;7,7,1800,0.39508416899479926,0.39508416899479926,177704960,6,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":28,""balanced_backward_error"":1.8244672670432423e-17,""balanced_condition_number"":1.000115355388471,""effective_incident_closure_error"":7.964936080592162e-21,""finite"":true,""force_decomposition_residual"":3.274876921258441e-39,""full_modes_per_particle"":64,""fz_tolerance"":5.589644880749491e-19,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.8701604914677672e-16,""system_dimension"":56}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,9,p1_dimer_ka005_fluid_f000_f1040_d0210_t000,completed,1,2026-08-20T20:36:43.063440Z,2026-08-20T20:38:02.709488Z,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,17,1800,79.646035754936747,79.646035754936747,213045248,16,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":153,""balanced_backward_error"":7.339755670229849e-18,""balanced_condition_number"":1.2426868337663473,""effective_incident_closure_error"":2.3994920120787805e-53,""finite"":true,""force_decomposition_residual"":3.744899039226139e-34,""full_modes_per_particle"":324,""fz_tolerance"":5.1677985226718935e-15,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":1.0523074502312474e-16,""system_dimension"":306}",true,true,,
1.0.0,p1_dimer_confirmatory_r2,a041e07ae93e9a858bad809427039bf593641ad1f9e341ed89b9d91f648f297d,7c565ca4007a1590182a38d8f96599dd90773f06,ee4b4428b4a122063ab28459c48e43f51fd7bc60,10,p1_dimer_ka005_fluid_f000_f1040_d0225_t000,completed,1,2026-08-20T20:38:02.713420Z,2026-08-20T20:38:09.115106Z,2;3;4;5;6;7;8;9;10;11;12;13;14;15,2;3;4;5;6;7;8;9;10;11;12;13;14;15,15,1800,6.4016743650427088,6.4016743650427088,213045248,14,1800,4294967296,64800,1,1,"{""active_modes_per_particle"":120,""balanced_backward_error"":1.0120684833121397e-17,""balanced_condition_number"":1.1232853915899583,""effective_incident_closure_error"":1.4869683159013126e-46,""finite"":true,""force_decomposition_residual"":0.0,""full_modes_per_particle"":256,""fz_tolerance"":3.719459451106633e-15,""max_abs_fz"":0.0,""mode_dimension_consistent"":true,""passed"":true,""planar_symmetry_pass"":true,""production_solver"":""balanced_sqrt"",""scattering_closure_error"":8.763476994866876e-17,""system_dimension"":240}",true,true,,
