geometry,ka,f0,f1,d_min_over_a,rms_a_vs_c,rms_b_vs_c,max_symmetric_a_vs_c,max_symmetric_b_vs_c,max_angle_a_vs_c_deg,max_angle_b_vs_c_deg,rms_two_body_correction,rms_irreducible_multibody,residual_relative,condition_number,sum_c_x,sum_c_y
linear_chain,0.1,0.0,0.1,2.1,0.010699600533811566,0.005497905769404676,0.01075714913311505,0.005513060914108137,0.0,0.0,4.459925788747166e-05,4.713896688604643e-05,1.081335218272422e-16,1.0310475119833982,1.734723475976807e-18,2.4893423825500516e-18
linear_chain,0.1,0.0,0.1,2.149685534591195,0.009987491546296355,0.005131778341952283,0.010037616853028645,0.005144979789880028,0.0,0.0,3.790401343891415e-05,4.005899587827156e-05,7.64619468068641e-17,1.0289164510638067,1.734723475976807e-18,2.2666387547318465e-18
linear_chain,0.1,0.0,0.1,2.1993710691823902,0.009337693415201076,0.004797725865346255,0.009381494173384857,0.004809262627196126,0.0,0.0,3.2336621790306584e-05,3.4172545300733344e-05,7.000300279726058e-21,1.026977352036443,0.0,2.068385160885411e-18
linear_chain,0.1,0.0,0.1,2.249056603773585,0.008743536134259301,0.004492309156893527,0.00878192868967262,0.004502422293342145,0.0,0.0,2.768737660637812e-05,2.9257495805661004e-05,1.872927538497492e-16,1.0252089328520808,1.734723475976807e-18,1.8913800718987477e-18
linear_chain,0.1,0.0,0.1,2.29874213836478,0.008199187188537781,0.004212521831171734,0.008232938892081767,0.004221413228864228,0.0,0.0,2.3789069732812625e-05,2.5136791430858655e-05,2.2938583956606347e-16,1.0235927018367716,0.0,1.733145591952295e-18
linear_chain,0.1,0.0,0.1,2.348427672955975,0.007699531645175804,0.0039557281523038505,0.00772928759238191,0.003963567550174807,0.0,0.0,2.050769726165797e-05,2.1668571961995222e-05,7.646194652202115e-17,1.0221125367638797,0.0,1.591094183818548e-18
linear_chain,0.1,0.0,0.1,2.39811320754717,0.007240071424828494,0.003719610864430008,0.007266375965322792,0.0037265415065672967,0.0,0.0,1.7735341225734607e-05,1.8738618648279583e-05,7.646194659323188e-17,1.0207543355221227,0.0,1.4633180869992605e-18
linear_chain,0.1,0.0,0.1,2.4477987421383647,0.006816840378655391,0.0035021272363409254,0.006840154499349093,0.003508270441072991,0.0,0.0,1.5384685401044928e-05,1.6254536502038146e-05,7.646194698489095e-17,1.019505724859401,8.673617379884035e-19,1.3482603935016115e-18
linear_chain,0.1,0.0,0.1,2.4974842767295597,0.006426332441215327,0.003301471895570767,0.006447047877678524,0.003306930765061575,0.0,0.0,1.338476620505713e-05,1.4141248484311681e-05,1.5292389309745036e-16,1.018355816482131,0.0,1.2442984104880124e-18
linear_chain,0.1,0.0,0.1,2.547169811320755,0.006065440642156053,0.003116045296201921,0.00608389138318507,0.0031209077411452593,0.0,0.0,1.167766272552862e-05,1.233748675179535e-05,7.646194666444263e-17,1.0172950019602234,0.0,1.1502041541894774e-18
linear_chain,0.1,0.0,0.1,2.59685534591195,0.005731405168626963,0.002944426878868632,0.005747876874239787,0.0029487680948877973,0.0,0.0,1.0215904950690218e-05,1.0793046088417052e-05,1.0813352180206541e-16,1.0163147795810783,-8.673617379884035e-19,1.0649689236529115e-18
linear_chain,0.1,0.0,0.1,2.646540880503145,0.005421768997947894,0.0027853521528332665,0.005436506739797377,0.002789236655995745,0.0,0.0,8.960434276987408e-06,9.466623212477139e-06,1.7097411021073213e-16,1.0154076076250904,-8.673617379884035e-19,9.874085916725065e-19
