group,predictor,response,expected_order,point_count,prefactor,exponent,exponent_over_expected_order,r_squared_log,rmse_log,max_abs_log_residual
linear_chain,eta,Y3,1,640,0.6536500039179222,0.9477457629207996,0.9477457629207996,0.9984681402009536,0.05819892689323387,0.11783376232604859
linear_chain,eta,Y4,2,640,0.22802259922396498,1.9209166221002902,0.9604583110501451,0.9991340421510149,0.08865959328065456,0.1821914636121864
linear_chain,lambda_max,Y3,1,640,0.3199574486842558,0.947745762920799,0.947745762920799,0.9984681402009536,0.05819892689323382,0.11783376232604326
linear_chain,lambda_max,Y4,2,640,0.053598010989882774,1.9209166221002894,0.9604583110501447,0.9991340421510149,0.08865959328065454,0.1821914636121953
square,eta,Y3,1,640,0.6406525752847945,0.9487770531356282,0.9487770531356282,0.9983499381833476,0.060471898555038685,0.12137246541572999
square,eta,Y4,2,640,0.27236508623737304,1.9198426051755004,0.9599213025877502,0.9988356442244823,0.10276427955401718,0.210058674038331
square,lambda_max,Y3,1,640,0.28440637242529476,0.9487770531356281,0.9487770531356281,0.9983499381833476,0.06047189855503868,0.12137246541572733
square,lambda_max,Y4,2,640,0.05266229214840381,1.919842605175501,0.9599213025877505,0.9988356442244823,0.10276427955401728,0.210058674038331
irregular,eta,Y3,1,640,0.4552015284021664,0.9427068521180625,0.9427068521180625,0.9979957125494455,0.0662327902550376,0.13170610505534341
irregular,eta,Y4,2,640,0.14364901647817394,1.9128217876764342,0.9564108938382171,0.9987739440349565,0.10506952695317552,0.22289695800020937
irregular,lambda_max,Y3,1,640,0.23720362061363207,0.9427068521180623,0.9427068521180623,0.9979957125494455,0.0662327902550376,0.1317061050553443
irregular,lambda_max,Y4,2,640,0.0382743281607928,1.9128217876764346,0.9564108938382173,0.9987739440349566,0.10506952695317551,0.2228969580002076
grouped,eta,Y3,1,1920,0.575515712845375,0.9464098893914968,0.9464098893914968,0.9881180078496571,0.16270474366899415,0.343368958567277
grouped,eta,Y4,2,1920,0.20740091186607565,1.917860338317407,0.9589301691587035,0.9920672952487812,0.2688671716039741,0.5606023914972305
grouped,lambda_max,Y3,1,1920,0.2803940168979942,0.9477200372149447,0.9477200372149447,0.9927091201707364,0.1274516770701454,0.2716098723293241
grouped,lambda_max,Y4,2,1920,0.04835618532017296,1.9207265477838105,0.9603632738919052,0.996896030515444,0.16818445600557255,0.4160067894461079
