geometry,ka,f0,f1,d_min_over_a,rms_a_vs_c,max_symmetric_a_vs_c,max_angle_a_vs_c_deg,rms_b_vs_c,max_symmetric_b_vs_c,max_angle_b_vs_c_deg,rms_up_to_three_vs_c,max_symmetric_up_to_three_vs_c,max_angle_up_to_three_vs_c_deg,rms_two_body_correction,rms_collective_correction,rms_three_body_sum,rms_four_body,relative_three_body_sum_amplitude,relative_four_body_amplitude,reconstruction_max_abs,closed_form_max_abs,quartet_residual_relative,quartet_condition_number,max_triplet_residual_relative,max_triplet_condition_number,sum_c_x,sum_c_y
linear_chain,0.1,0.0,0.1,2.1,0.012773334176123887,0.08578700898428873,0.0,0.00834283420541435,0.08505628381637788,0.0,3.294389418079292e-05,5.381288887087972e-05,0.0,3.8646837513115814e-05,6.290274056918427e-05,6.272608016141773e-05,2.4838815898417537e-07,0.008319403612735546,3.294389418079292e-05,7.589415207398531e-19,2.168404344971009e-18,1.3243597628342534e-16,1.0358076649722763,1.3243597634509565e-16,1.0310475119833982,0.0,3.793811997718367e-18
linear_chain,0.1,0.0,0.1,2.149685534591195,0.011923690154543382,0.08015869165956385,0.0,0.007787408893498545,0.07947491347926797,0.0,2.8701764279816485e-05,4.7043427447438505e-05,0.0,3.284534207793268e-05,5.345390745414704e-05,5.3313754931658205e-05,1.970130851694362e-07,0.007766990835173959,2.8701764279816485e-05,8.673617379884035e-19,2.4936649967166602e-18,1.6220028281639372e-16,1.0333458984840753,1.3243597626286859e-16,1.0289164510638067,1.734723475976807e-18,3.4541429159042665e-18
linear_chain,0.1,0.0,0.1,2.1993710691823902,0.01114844417518684,0.07500301199019746,0.0,0.007280693690208837,0.07436212395353918,0.0,2.5087036242911086e-05,4.1249865188647746e-05,0.0,2.8021123110302678e-05,4.559885533472714e-05,4.548705852769381e-05,1.5711966264367684e-07,0.007262843279237376,2.5087036242911083e-05,4.336808689942018e-19,5.421010862427522e-19,6.62179887275806e-17,1.031106424636255,7.646194670004799e-17,1.0269773520364427,0.0,3.151708056228342e-18
linear_chain,0.1,0.0,0.1,2.249056603773585,0.01043962215216088,0.07027234765263404,0.0,0.006817457238828153,0.06967072360693533,0.0,2.1995576349505267e-05,3.627469424553152e-05,0.0,2.3992474077180297e-05,3.9040707129702773e-05,3.8951063695318056e-05,1.2595940455911933e-07,0.006801803314358263,2.199557634950527e-05,3.2526065174565133e-19,1.734723475976807e-18,6.621798848089937e-17,1.029064520768589,1.872927538497492e-16,1.0252089328520806,1.734723475976807e-18,2.8819463361200746e-18
linear_chain,0.1,0.0,0.1,2.29874213836478,0.009790252927232323,0.06592458848720445,0.0,0.0063931278795915395,0.06535897951978814,0.0,1.9342325615813235e-05,3.1988387524707974e-05,0.0,2.0614511920928417e-05,3.3542885981798186e-05,3.347064742102674e-05,1.0148356719488767e-07,0.006379359524742762,1.9342325615813235e-05,3.2526065174565133e-19,1.734723475976807e-18,9.364637703389333e-17,1.0271987184765816,2.2938583956606347e-16,1.0235927018367716,-1.734723475976807e-18,2.6406913820775482e-18
linear_chain,0.1,0.0,0.1,2.348427672955975,0.00919422437944058,0.06192242676274977,0.0,0.00600369868596096,0.06138991525692871,0.0,1.705749243417808e-05,2.8283997278155e-05,0.0,1.7771124194567966e-05,2.8915892788733997e-05,2.8857401853384114e-05,8.215479294867163e-08,0.005991554431786746,1.705749243417808e-05,1.6263032587282567e-19,3.7947076036992655e-19,9.364637694667833e-17,1.0254903103958666,1.0813352180206541e-16,1.0221125367638797,0.0,2.4241276731042718e-18
linear_chain,0.1,0.0,0.1,2.39811320754717,0.008646162605920204,0.058232746430259115,0.0,0.005645647790732869,0.057730706464347636,0.0,1.5083565045030602e-05,2.507287550810711e-05,0.0,1.5368801289183523e-05,2.500718855544549e-05,2.4959612305134827e-05,6.681209475882704e-08,0.0056349069290857375,1.5083565045030602e-05,2.710505431213761e-19,6.505213034913027e-19,9.364637720832329e-17,1.0239229413339526,1.0813352190277261e-16,1.0207543355221227,-8.673617379884035e-19,2.2294045325936703e-18
linear_chain,0.1,0.0,0.1,2.4477987421383647,0.008141330103492307,0.05482609678533168,0.0,0.005315871290620165,0.05435215990594152,0.0,1.337295496038241e-05,2.2281267484857955e-05,0.0,1.3331884550888883e-05,2.1693406075530996e-05,2.165453802983081e-05,5.457335712722225e-08,0.005306346851371633,1.337295496038241e-05,1.3552527156068805e-20,5.421010862427522e-20,9.364637703389333e-17,1.0224822677241017,7.646194698489095e-17,1.019505724859401,0.0,2.0541098495709517e-18
linear_chain,0.1,0.0,0.1,2.4974842767295597,0.007675539661258017,0.05167623816124275,0.0,0.005011626541169981,0.051228263722291716,0.0,1.1886128673333401e-05,1.9847588146028297e-05,0.0,1.159888456135628e-05,1.8874320322600448e-05,1.8842432879330532e-05,4.476442890011652e-08,0.005003159589550526,1.1886128673333401e-05,1.0842021724855044e-19,1.1926223897340549e-18,9.364637729553829e-17,1.0211556727169404,1.5292389309745036e-16,1.0183558164821311,8.673617379884035e-19,1.895721871653376e-18
linear_chain,0.1,0.0,0.1,2.547169811320755,0.007245081293857309,0.04875974914999158,0.0,0.004730484068271502,0.048335798541289554,0.0,1.0590119314467201e-05,1.772023513540049e-05,0.0,1.0119613140825234e-05,1.646815483199511e-05,1.6441888501505765e-05,3.686720471794606e-08,0.004722939054323102,1.0590119314467201e-05,2.710505431213761e-19,8.673617379884035e-19,1.6220028281639372e-16,1.0199320268097212,1.0813352180206541e-16,1.0172950019602234,-1.734723475976807e-18,1.752420551469054e-18
linear_chain,0.1,0.0,0.1,2.59685534591195,0.006846660038988262,0.04605568644186786,0.0,0.004470286652296869,0.045654000640159745,0.0,9.457335474082134e-06,1.585582557827594e-05,0.0,8.852937647704996e-06,1.440790888881054e-05,1.4386188668191568e-05,3.048136248074372e-08,0.004463547602718804,9.457335474082134e-06,4.336808689942018e-19,8.673617379884035e-19,1.4806792296983341e-16,1.0188014859254728,1.081335218272422e-16,1.0163147795810783,-8.673617379884035e-19,1.6222542719565622e-18
linear_chain,0.1,0.0,0.1,2.646540880503145,0.006477342838149064,0.043545289723271575,0.0,0.004229114404554401,0.043164269688778394,0.0,8.464603602059447e-06,1.4217768610523766e-05,0.0,7.765013808445057e-06,1.2638469060474008e-05,1.2620440939281137e-05,2.5295988828913466e-08,0.004223081792007818,8.464603602059447e-06,1.6263032587282567e-19,5.963111948670274e-19,1.9865396445597318e-16,1.0177553204309508,1.7097411021073213e-16,1.0154076076250904,-8.673617379884035e-19,1.5042362604443933e-18
linear_chain,0.1,0.0,0.1,2.6962264150943396,0.00613451303759382,0.04121172521374964,0.0,0.004005254867447426,0.04084991473015848,0.0,7.592394878423571e-06,1.2775105521145577e-05,0.0,6.827888473887501e-06,1.1114326619007737e-05,1.109930910722805e-05,2.1068411197777233e-08,0.003999843027017105,7.5923948784235705e-06,3.7947076036992655e-19,8.673617379884035e-19,9.364637729553829e-17,1.0167857698249942,1.8729275379160586e-16,1.0145667795843567,0.0,1.3967876806581386e-18
