distance_ratio,f1,ka,lmax,full_mode_count,active_mode_count,force_0_x,force_0_y,force_1_x,force_1_y,force_rms,successive_force_error,successive_error_applicable,minimum_confirmed_lmax,physical_residual,balanced_condition,raw_condition
2.0,0.1,0.1,1,4,1,0.011936371917121045,0,-0.011936371917121047,1.4617831072880284e-18,0.011936371917121045,0,false,7,1.0974675199911722e-16,1.0128292761811288,1.0128292761811288
2.0,0.1,0.1,3,16,6,0.012097352149377955,5.9425643106275789e-21,-0.012097352149377957,1.4879654755053321e-18,0.012097352149377957,0.013307063419261318,true,7,1.0936762391921842e-16,1.0385616557220352,81.626025815921636
2.0,0.1,0.1,5,36,15,0.012145819153345,8.5739581013113783e-21,-0.012145819153345002,1.4984471941048893e-18,0.012145819153345,0.0039904269407549523,true,7,1.8841523194333003e-16,1.0582350397568618,796795062.29282105
2.0,0.1,0.1,7,64,28,0.01215479775151332,1.0284364065255848e-20,-0.012154797751513322,1.5015171535273537e-18,0.012154797751513322,0.00073868758262162968,true,7,1.0580919345641316e-16,1.0729521532717916,27270524881150200
2.0,0.1,0.1,9,100,45,0.012156136446261411,1.1095710484050018e-20,-0.012156136446261413,1.5018899343143673e-18,0.012156136446261413,0.00011012501825795151,true,7,2.71409628788074e-16,1.0842243074366253,2.4605253481902464e+24
2.0,0.4,0.1,1,4,1,0.19472930380095321,0,-0.19472930380095321,2.3848146498714559e-17,0.19472930380095321,0,false,9,5.5668221499598401e-17,1.0523240235298565,1.0523240235298565
2.0,0.4,0.1,3,16,6,0.20596181450930101,6.4135837991599792e-19,-0.20596181450930104,2.5745556848050288e-17,0.20596181450930101,0.054536860316117305,true,9,1.0639031584089828e-16,1.1687160445290101,1376.7061356381989
2.0,0.4,0.1,5,36,15,0.21000450574336985,9.6273927488484605e-19,-0.21000450574336985,2.6556727840591748e-17,0.21000450574336985,0.019250497601270893,true,9,1.0130288501516591e-16,1.2672638731235282,15124992436.643902
2.0,0.4,0.1,7,64,28,0.21093815912626696,1.337449750678219e-18,-0.21093815912626701,2.6843023485018143e-17,0.21093815912626698,0.0044261947992930714,true,9,2.6595122630592308e-16,1.3467384748751676,6.0224756436448614e+17
2.0,0.4,0.1,9,100,45,0.21113169286136765,1.2518417393546393e-18,-0.21113169286136765,2.7047921348186058e-17,0.21113169286136765,0.00091664937877302831,true,9,3.0056198690752477e-16,1.4111863694329456,6.8009921665550122e+25
