case_id,lmax,rms_d,rms_matched_pairwise,rms_collective_residual,delta_d,delta_d_applicable,delta_b,delta_b_applicable,delta_r,delta_r_applicable,physical_residual,balanced_condition,raw_condition
n2_pair_f0.1_d2.1,1,0.0098184182483527539,0.0098184182483527539,8.5023607794799466e-19,0,false,0,false,0,false,8.5784850110415752e-17,1.0110946527705362,1.0110946527705362
n2_pair_f0.1_d2.1,3,0.0099187099212858735,0.0099187099212858718,1.4992127237341574e-18,0.010111362639801525,true,0.010111362639801436,true,1.2367473197267708e-16,true,1.3426216122422628e-16,1.0299581186158226,50.659174537722393
n2_pair_f0.1_d2.1,5,0.0099432552337696736,0.0099432552337696736,8.6563941655273991e-19,0.0024685389147448599,true,0.002468538914744947,true,1.2336406132648463e-16,true,9.3817716720693882e-17,1.0410256421742119,396515387.1941269
n2_pair_f0.1_d2.1,7,0.0099469137560457745,0.0099469137560457745,1.501744280419302e-18,0.00036780476495819374,true,0.00036780476495810652,true,1.2331866497334875e-16,true,1.9227268692090286e-16,1.047018807020321,10946932073021240
n2_pair_f0.1_d2.1,9,0.0099473423041284079,0.0099473423041284079,1.5016630100970117e-18,4.3081666391984207e-05,true,4.3081666391984207e-05,true,2.2154309745942971e-20,true,2.1745048937955017e-16,1.0501324475304785,7.8406185006602197e+23
n2_pair_f0.1_d2.5,1,0.0048926672170301697,0.0048926672170301697,4.2367601476913964e-19,0,false,0,false,0,false,1.3398812564585655e-16,1.0066187172931136,1.0066187172931136
n2_pair_f0.1_d2.5,3,0.0049119052929698665,0.0049119052929698665,7.4665731348482465e-19,0.003916621920058338,true,0.0039166219200584265,true,1.2486422039080825e-16,true,9.5485246975008043e-17,1.0130320697878408,10.365897925234576
n2_pair_f0.1_d2.5,5,0.004914168584618973,0.004914168584618973,4.2620377905280367e-19,0.00046056451058494575,true,0.00046056451058485749,true,1.248059651916194e-16,true,9.4953766362994865e-17,1.014468111381313,33719227.166027501
n2_pair_f0.1_d2.5,7,0.0049143327407276506,0.0049143327407276506,4.2623457517997182e-19,3.3403539674301347e-05,true,3.3403539674301347e-05,true,4.3059916560460733e-20,true,1.9639759456674653e-16,1.0146977438021223,451795301914537.12
n2_pair_f0.1_d3.0,1,0.0023673627816643917,0.0023673627816643921,3.6887360389935995e-19,0,false,0,false,0,false,1.4467572390814989e-16,1.0038741290064856,1.0038741290064856
