record_type,predictor,response,scope,point_count,prefactor,exponent,r_squared_log,rmse_log,max_abs_log_residual,spearman,selected,median_error_factor,p90_error_factor,maximum_error_factor,fraction_within_factor_2
calibration_fit,eta,epsilon_a,calibration_n_le_4,168,1.8559963067143632,1.0565911785455437,0.98116939122317404,0.26950576804208048,0.70183189732223017,0.98779446574101981,,,,,
calibration_fit,eta,epsilon_b,calibration_n_le_4,142,0.47433468176396937,0.94995230129664199,0.95507209935190374,0.38026694230919372,0.96620896731763217,0.97277135316084751,,,,,
calibration_fit,lambda_max,epsilon_a,calibration_n_le_4,168,0.94844499563885876,1.0487353446836789,0.98615945148231487,0.23105349130712635,0.80693628424220121,0.99168586009139903,,,,,
calibration_fit,lambda_max,epsilon_b,calibration_n_le_4,142,0.24645304782633867,0.95303586808355656,0.96415715518686795,0.33965009913058924,0.95809782505446073,0.97842729259990346,,,,,
calibration_fit,rho_l1,epsilon_a,calibration_n_le_4,168,2.6353684041458636,1.1088518115798773,0.98722686446700236,0.22196507422252662,0.80188416103194493,0.99227074169497032,,,,,
calibration_fit,rho_l1,epsilon_b,calibration_n_le_4,142,0.65065244338121997,1.0144638088529034,0.97873974499076277,0.26158614905731969,0.78457822413530165,0.98715818194391769,,,,,
cross_validation,eta,epsilon_a,leave_n_family_out,168,,,,0.29572460861555683,,,false,,,,
cross_validation,lambda_max,epsilon_a,leave_n_family_out,168,,,,0.24630178255151594,,,false,,,,
cross_validation,rho_l1,epsilon_a,leave_n_family_out,168,,,,0.23203390779877014,,,true,,,,
holdout_performance,eta,epsilon_a,holdout_all,137,,,,0.53209798076584258,,0.98249969132376413,,1.4281149406415574,2.424005933345037,3.5094493145181125,0.76642335766423353
holdout_performance,eta,epsilon_a,holdout_n6,68,,,,0.47326631877411551,,0.98698853027228894,,1.4386708709376093,2.1155326745690171,2.7105200694710874,0.86764705882352944
holdout_performance,eta,epsilon_a,holdout_n10,69,,,,0.58431011220416129,,0.97916134083559869,,1.4117330412711853,2.5625902930076077,3.5094493145181125,0.66666666666666663
holdout_performance,lambda_max,epsilon_a,holdout_all,137,,,,0.31441891912041636,,0.99696872822039173,,1.3204719677456571,1.6349455102631765,1.8028057654718834,1
holdout_performance,lambda_max,epsilon_a,holdout_n6,68,,,,0.2494550725046423,,0.99722288536360937,,1.2484833614014583,1.4423635691910557,1.5490883004371443,1
holdout_performance,lambda_max,epsilon_a,holdout_n10,69,,,,0.36736873847364343,,0.99701307161304886,,1.4154598553282218,1.7056559332515218,1.8028057654718834,1
holdout_performance,rho_l1,epsilon_a,holdout_all,137,,,,0.2320007775714556,,0.99705042283495426,,1.2294242478993347,1.4345931747220635,1.5933123541981697,1
holdout_performance,rho_l1,epsilon_a,holdout_n6,68,,,,0.1965479872155958,,0.99675535366645029,,1.1853099998758223,1.3508031534732079,1.4452142044835998,1
holdout_performance,rho_l1,epsilon_a,holdout_n10,69,,,,0.26229261958175215,,0.99656558275484131,,1.264449698281531,1.4834377134937253,1.5933123541981697,1
