case_id,particle_count,family,f1,distance_ratio,rho_analytic,partial_order,relative_solution_error,rho_reference
n4_irregular_f0.4_d4.0,4,irregular,0.40000000000000002,4,0.005993594530818676,0,0.0059789059592976436,0.0059789059592976436
n4_irregular_f0.4_d4.0,4,irregular,0.40000000000000002,4,0.005993594530818676,1,3.5828382465396725e-05,3.5835138057925543e-05
n4_irregular_f0.4_d4.0,4,irregular,0.40000000000000002,4,0.005993594530818676,2,2.1472425125155793e-07,2.1478128747511473e-07
n4_irregular_f0.4_d4.0,4,irregular,0.40000000000000002,4,0.005993594530818676,3,1.2869197826183674e-09,1.2873119499330414e-09
n4_irregular_f0.4_d4.0,4,irregular,0.40000000000000002,4,0.005993594530818676,4,7.7129957182569399e-12,7.7156258625762023e-12
n4_irregular_f0.4_d4.0,4,irregular,0.40000000000000002,4,0.005993594530818676,5,4.6073243154957736e-14,4.6244332971779861e-14
n4_irregular_f0.4_d4.0,4,irregular,0.40000000000000002,4,0.005993594530818676,6,2.2929378046282147e-16,2.7716978118101753e-16
n4_irregular_f0.4_d4.0,4,irregular,0.40000000000000002,4,0.005993594530818676,7,2.2072371365474459e-16,1.661243284594756e-18
n4_irregular_f0.4_d4.0,4,irregular,0.40000000000000002,4,0.005993594530818676,8,2.20723329249247e-16,9.956818664906382e-21
n4_irregular_f0.4_d4.0,4,irregular,0.40000000000000002,4,0.005993594530818676,9,2.20723329249247e-16,5.96771338943362e-23
n4_irregular_f0.4_d4.0,4,irregular,0.40000000000000002,4,0.005993594530818676,10,2.20723329249247e-16,3.5768054332402729e-25
n4_irregular_f0.4_d4.0,4,irregular,0.40000000000000002,4,0.005993594530818676,11,2.20723329249247e-16,2.1437921482471425e-27
n4_irregular_f0.4_d4.0,4,irregular,0.40000000000000002,4,0.005993594530818676,12,2.20723329249247e-16,1.2849020894946094e-29
n6_irregular_f0.8_d2.5,6,irregular,0.80000000000000004,2.5,0.067218488828234266,0,0.065731932741648499,0.065731932741648499
n6_irregular_f0.8_d2.5,6,irregular,0.80000000000000004,2.5,0.067218488828234266,1,0.0044109646333963795,0.004418401186652746
n6_irregular_f0.8_d2.5,6,irregular,0.80000000000000004,2.5,0.067218488828234266,2,0.0002964246987864857,0.00029699825080367463
n6_irregular_f0.8_d2.5,6,irregular,0.80000000000000004,2.5,0.067218488828234266,3,1.9924008544721684e-05,1.9963773603651917e-05
n6_irregular_f0.8_d2.5,6,irregular,0.80000000000000004,2.5,0.067218488828234266,4,1.3392392457239671e-06,1.3419346929464747e-06
n6_irregular_f0.8_d2.5,6,irregular,0.80000000000000004,2.5,0.067218488828234266,5,9.002113170084829e-08,9.0202822166042591e-08
n6_irregular_f0.8_d2.5,6,irregular,0.80000000000000004,2.5,0.067218488828234266,6,6.0510756050675582e-09,6.0632973940433367e-09
n6_irregular_f0.8_d2.5,6,irregular,0.80000000000000004,2.5,0.067218488828234266,7,4.0674387217921788e-10,4.0756568814376395e-10
n6_irregular_f0.8_d2.5,6,irregular,0.80000000000000004,2.5,0.067218488828234266,8,2.7340655950007624e-11,2.7395949655263205e-11
n6_irregular_f0.8_d2.5,6,irregular,0.80000000000000004,2.5,0.067218488828234266,9,1.8377435267007001e-12,1.8415143358411781e-12
n6_irregular_f0.8_d2.5,6,irregular,0.80000000000000004,2.5,0.067218488828234266,10,1.2344904131239526e-13,1.2378381081077348e-13
n6_irregular_f0.8_d2.5,6,irregular,0.80000000000000004,2.5,0.067218488828234266,11,8.1838197245321729e-15,8.3205607041002414e-15
n6_irregular_f0.8_d2.5,6,irregular,0.80000000000000004,2.5,0.067218488828234266,12,5.3452042512654303e-16,5.5929551673320714e-16
n10_compact_f1.0_d2.1,10,compact,1,2.1000000000000001,0.2544601331856266,0,0.24984985666371345,0.24984985666371345
n10_compact_f1.0_d2.1,10,compact,1,2.1000000000000001,0.2544601331856266,1,0.063573161988290022,0.063576827803058247
n10_compact_f1.0_d2.1,10,compact,1,2.1000000000000001,0.2544601331856266,2,0.016176832604414462,0.016177768070285845
n10_compact_f1.0_d2.1,10,compact,1,2.1000000000000001,0.2544601331856266,3,0.004116358968568881,0.004116597017811115
n10_compact_f1.0_d2.1,10,compact,1,2.1000000000000001,0.2544601331856266,4,0.0010474492513171943,0.0010475098254237696
n10_compact_f1.0_d2.1,10,compact,1,2.1000000000000001,0.2544601331856266,5,0.00026653407598930113,0.00026654948969058483
n10_compact_f1.0_d2.1,10,compact,1,2.1000000000000001,0.2544601331856266,6,6.782229647457452e-05,6.782621864722703e-05
n10_compact_f1.0_d2.1,10,compact,1,2.1000000000000001,0.2544601331856266,7,1.7258070593824927e-05,1.7259068630450818e-05
n10_compact_f1.0_d2.1,10,compact,1,2.1000000000000001,0.2544601331856266,8,4.3914909417629279e-06,4.3917449023643862e-06
n10_compact_f1.0_d2.1,10,compact,1,2.1000000000000001,0.2544601331856266,9,1.1174593698500444e-06,1.1175239927729382e-06
n10_compact_f1.0_d2.1,10,compact,1,2.1000000000000001,0.2544601331856266,10,2.843488600591522e-07,2.843653040391351e-07
n10_compact_f1.0_d2.1,10,compact,1,2.1000000000000001,0.2544601331856266,11,7.2355448797513335e-08,7.2359633139169525e-08
n10_compact_f1.0_d2.1,10,compact,1,2.1000000000000001,0.2544601331856266,12,1.8411577124186518e-08,1.8412641885856159e-08
