case_id,split,particle_count,family,f1,distance_ratio,rho_frozen,rho_analytic,rho_absolute_difference,rho_near_field,near_field_relative_difference,spectral_norm,infinity_norm,spectral_norm_to_rho,infinity_norm_to_rho,normalized_commutator
n2_pair_f0.1_d2.1,calibration,2,pair,0.10000000000000001,2.1000000000000001,0.0055167482766554244,0.0055167482766554244,0,0.0053989849908217249,0.021346503398029695,0.0055167482766554244,0.0055167482766554227,1,0.99999999999999967,1.4842065227666463e-19
n2_pair_f0.1_d2.5,calibration,2,pair,0.10000000000000001,2.5,0.0032984845004941287,0.0032984845004941292,4.3368086899420177e-19,0.003200000000000001,0.029857499854668013,0.0032984845004941296,0.0032984845004941292,1.0000000000000002,1,3.986919009721705e-19
n2_pair_f0.1_d3.0,calibration,2,pair,0.10000000000000001,3,0.0019333900942426941,0.0019333900942426947,6.5052130349130266e-19,0.0018518518518518515,0.04217371477884891,0.0019333900942426941,0.0019333900942426941,0.99999999999999967,0.99999999999999967,1.1420537677473521e-18
n2_pair_f0.1_d4.0,calibration,2,pair,0.10000000000000001,4,0.00084143200111476651,0.00084143200111476651,0,0.00078125000000000004,0.071523309114740918,0.0008414320011147664,0.0008414320011147664,0.99999999999999989,0.99999999999999989,3.2702612363391033e-19
n2_pair_f0.1_d6.0,calibration,2,pair,0.10000000000000001,6,0.00026995147661320826,0.00026995147661320831,5.4210108624275222e-20,0.00023148148148148144,0.14250707428745585,0.00026995147661320831,0.00026995147661320831,1,1,4.4347478928203381e-18
n2_pair_f0.1_d10.0,calibration,2,pair,0.10000000000000001,10,7.0710678118654768e-05,7.0710678118654768e-05,0,5.0000000000000016e-05,0.29289321881345243,7.0710678118654781e-05,7.0710678118654781e-05,1.0000000000000002,1.0000000000000002,2.3254664867038154e-17
n2_pair_f0.4_d2.1,calibration,2,pair,0.40000000000000002,2.1000000000000001,0.022066993106621698,0.022066993106621698,0,0.0215959399632869,0.021346503398029695,0.022066993106621698,0.022066993106621691,1,0.99999999999999967,1.4842065227666463e-19
n2_pair_f0.4_d2.5,calibration,2,pair,0.40000000000000002,2.5,0.013193938001976515,0.013193938001976517,1.7347234759768071e-18,0.012800000000000004,0.029857499854668013,0.013193938001976518,0.013193938001976517,1.0000000000000002,1,3.986919009721705e-19
n2_pair_f0.4_d3.0,calibration,2,pair,0.40000000000000002,3,0.0077335603769707762,0.0077335603769707788,2.6020852139652106e-18,0.007407407407407406,0.04217371477884891,0.0077335603769707762,0.0077335603769707762,0.99999999999999967,0.99999999999999967,1.1420537677473521e-18
n2_pair_f0.4_d4.0,calibration,2,pair,0.40000000000000002,4,0.0033657280044590661,0.0033657280044590661,0,0.0031250000000000002,0.071523309114740918,0.0033657280044590656,0.0033657280044590656,0.99999999999999989,0.99999999999999989,3.2702612363391033e-19
