case_id,lmax,mpmath_dps,quantity,relative_error_or_absolute_if_unresolved,absolute_error,quantity_resolved
dimer_axis,9,80,q,9.5352506800096181e-17,9.8275759543639122e-18,true
dimer_axis,9,80,d,6.7081407883807396e-17,7.9790105877458802e-20,true
dimer_axis,9,80,b,2.407681443774223e-16,0.0025926263960386236,true
dimer_axis,9,80,total,3.1284021404032688e-16,1.5700928350397937e-16,true
dimer_axis,9,80,interaction,3.1284021404032688e-16,1.5700928350397937e-16,true
dimer_axis,9,80,external_scattered,3.3375083154927963e-16,1.5700928379809798e-16,true
dimer_axis,9,80,scattered_scattered,4.3743123167378678e-19,1.3754887238192767e-20,true
trimer_scalene,9,80,q,2.5107420750623529e-16,3.181110944161922e-17,true
trimer_scalene,9,80,d,2.3455518820419097e-16,3.4301653725942147e-19,true
trimer_scalene,9,80,b,2.3703579786597858e-16,0.0010406604603250512,true
trimer_scalene,9,80,total,1.2189455070614234e-16,6.2160252178758829e-17,true
trimer_scalene,9,80,interaction,1.2189455070614234e-16,6.2160252178758829e-17,true
trimer_scalene,9,80,external_scattered,1.1484266153022669e-16,5.5619465775679633e-17,true
trimer_scalene,9,80,scattered_scattered,2.4654006544895997e-16,6.3890356092506796e-18,true
