case_id,geometry,particle_count,ka,f0,f1,lmax,system_dimension,condition_number_effective_incident,condition_number_scattered,condition_number_balanced,legacy_residual_relative,balanced_backward_error,effective_incident_closure_error,scattering_closure_error,production_solver,balanced_vs_scattered_b_relative,balanced_vs_scattered_b_absolute,balanced_vs_scattered_b_relative_applicable,balanced_vs_scattered_d_relative,balanced_vs_scattered_d_absolute,balanced_vs_scattered_d_relative_applicable,balanced_vs_legacy_b_relative,balanced_vs_legacy_b_absolute,balanced_vs_legacy_b_relative_applicable,balanced_vs_legacy_d_relative,balanced_vs_legacy_d_absolute,balanced_vs_legacy_d_relative_applicable,total_balanced_vs_scattered_relative,total_balanced_vs_scattered_absolute,total_balanced_vs_scattered_relative_applicable,total_balanced_vs_legacy_relative,total_balanced_vs_legacy_absolute,total_balanced_vs_legacy_relative_applicable,interaction_balanced_vs_scattered_relative,interaction_balanced_vs_scattered_absolute,interaction_balanced_vs_scattered_relative_applicable,interaction_balanced_vs_legacy_relative,interaction_balanced_vs_legacy_absolute,interaction_balanced_vs_legacy_relative_applicable,external_scattered_balanced_vs_scattered_relative,external_scattered_balanced_vs_scattered_absolute,external_scattered_balanced_vs_scattered_relative_applicable,external_scattered_balanced_vs_legacy_relative,external_scattered_balanced_vs_legacy_absolute,external_scattered_balanced_vs_legacy_relative_applicable,scattered_scattered_balanced_vs_scattered_relative,scattered_scattered_balanced_vs_scattered_absolute,scattered_scattered_balanced_vs_scattered_relative_applicable,scattered_scattered_balanced_vs_legacy_relative,scattered_scattered_balanced_vs_legacy_absolute,scattered_scattered_balanced_vs_legacy_relative_applicable
dimer_axis,dimer,2,0.10000000000000001,0,0.80000000000000004,2,6,2.0743342130271483,2.0743342130271492,1.0931960256828301,1.872616582621347e-16,1.9685021237526959e-17,3.024889503631564e-18,1.1868502143999946e-16,balanced_sqrt,1.406373763391674e-16,1.5382991533842712e-15,true,2.4364802494336791e-16,2.8973996805014039e-19,true,1.5189564326218492e-16,1.6614426798568193e-15,true,2.4367921904889663e-16,2.8977706327855994e-19,true,1.9768365226459266e-19,9.3988220108179929e-20,true,1.1675572570043537e-16,5.5511230798867151e-17,true,1.9768365226459266e-19,9.3988220108179929e-20,true,1.1675572570043537e-16,5.5511230798867151e-17,true,1.9591135140473216e-19,9.0648851039606428e-20,true,1.1997150686550042e-16,5.5511225750164359e-17,true,2.6272284588962928e-19,3.3481917081610685e-21,true,3.7154621180236943e-19,4.7350581231065125e-21,true
dimer_axis,dimer,2,0.10000000000000001,0,0.80000000000000004,3,12,576.48469950950209,576.484699509498,1.1148376660111652,4.2674611978874888e-15,1.518845097258798e-17,1.1650455360288503e-18,1.425744012265791e-16,balanced_sqrt,3.0125787196855277e-16,6.7457499449819544e-14,true,2.9200742769930029e-16,3.4730639382685151e-19,true,3.9918802269745844e-16,8.9385965736023316e-14,true,3.895328279273917e-16,4.6330068659743924e-19,true,7.5832878557736487e-20,3.7285699111271046e-20,true,3.5702241925760023e-16,1.7554167471411216e-16,true,7.5832878557736487e-20,3.7285699111271046e-20,true,3.5702241925760023e-16,1.7554167471411216e-16,true,7.4700927938168699e-20,3.4956147683793762e-20,true,2.6525750373446531e-16,1.2412671074784187e-16,true,2.9235448734931602e-16,6.9388951952485871e-18,true,4.1345160550734855e-15,9.8130779005108914e-17,true
dimer_axis,dimer,2,0.10000000000000001,0,0.80000000000000004,4,20,981583.16150047968,981583.16150115069,1.1253662219364424,1.6623203276513445e-13,3.0298914745858942e-17,1.8563276184692202e-20,1.1969139332861974e-16,balanced_sqrt,3.1964656118163288e-16,2.8750284385127914e-12,true,2.9053377547257824e-16,3.4557026416517059e-19,true,4.2642585213493585e-16,3.8354438955104173e-12,true,8.5121156082370794e-16,1.012458546190817e-18,true,2.001440712824553e-19,9.9796456256895469e-20,true,1.4699210053808433e-14,7.3293656102138943e-15,true,2.001440712824553e-19,9.9796456256895469e-20,true,1.4699210053808433e-14,7.3293656102138943e-15,true,1.1816714413587528e-16,5.5511235430958805e-17,true,1.5602072064327177e-14,7.329366397970836e-15,true,2.6886517811939406e-16,7.7579198567406167e-18,true,6.024347594819187e-16,1.7382840781635641e-17,true
dimer_axis,dimer,2,0.10000000000000001,0,0.80000000000000004,5,30,2380826876.9469447,2380826877.1307507,1.1300134683863645,4.9066172291794023e-12,2.5578090637118709e-17,5.4824984513024682e-22,1.6534831320160451e-16,balanced_sqrt,3.6129023076218854e-16,1.6179417350294129e-10,true,3.7166343395695611e-16,4.4207403646179345e-19,true,3.7113354752732189e-15,1.6620223983006734e-09,true,3.7289840466199615e-15,4.4354296892759088e-18,true,1.5671498508917742e-16,7.8504635694393256e-17,true,2.8727395745339831e-14,1.4390670657010133e-14,true,1.5671498508917742e-16,7.8504635694393256e-17,true,2.8727395745339831e-14,1.4390670657010133e-14,true,1.6693861133207416e-16,7.8504634391111286e-17,true,3.2111279632934739e-14,1.5100666330569837e-14,true,6.3973805976948929e-16,1.9626155876059676e-17,true,6.0797441333020146e-14,1.8651697241483307e-15,true
dimer_axis,dimer,2,0.10000000000000001,0,0.80000000000000004,6,42,7813551293039.4004,7813551281247.7471,1.1319003982321483,4.0333731395419758e-10,2.5550614770028117e-17,1.1719442728949647e-23,1.8793902058309175e-16,balanced_sqrt,3.2893999566544128e-16,8.5428407656144292e-09,true,3.3624569039470116e-16,3.9994771012148573e-19,true,9.9394944214022374e-15,2.5813680078938822e-07,true,1.6905800168151328e-14,2.0108617770198506e-17,true,9.8853614979454468e-20,4.9588127893161121e-20,true,2.950983447417607e-13,1.4803074690954721e-13,true,9.8853614979454468e-20,4.9588127893161121e-20,true,2.950983447417607e-13,1.4803074690954721e-13,true,9.4777510693103182e-20,4.4582805180273339e-20,true,3.1258412947677158e-13,1.4703780722872838e-13,true,1.6834860277695139e-19,5.2588005556206563e-21,true,1.6784960368701304e-13,5.2432130387174199e-15,true
dimer_axis,dimer,2,0.10000000000000001,0,0.80000000000000004,7,56,33441377813855852,33441383638215304,1.1326133961616607,1.4067615361684186e-08,2.5181251965225919e-17,1.3110798307092199e-25,1.0854099431401493e-16,balanced_sqrt,2.4745874883298197e-16,4.2639966361728982e-07,true,2.4013649104884223e-16,2.8563074368486161e-19,true,8.5028364613092064e-14,0.00014651357545423109,true,1.0112036902333967e-13,1.2027778901770291e-16,true,1.1759284107053004e-19,5.9010670676147019e-20,true,8.9162502785426856e-13,4.474370242810088e-13,true,1.1759284107053004e-19,5.9010670676147019e-20,true,8.9162502785426856e-13,4.474370242810088e-13,true,1.6687903765244788e-16,7.8504641579009857e-17,true,9.4169193775463441e-13,4.4299864795052494e-13,true,1.5629139209923504e-16,4.906541391512138e-18,true,1.4671945975777439e-12,4.6060444697091091e-14,true
dimer_axis,dimer,2,0.10000000000000001,0,0.80000000000000004,8,72,1.8133715075387186e+20,1.8134161562610853e+20,1.1328673030310312,8.1536670680761552e-07,1.7443223137620966e-17,2.1304925086546123e-27,6.3503743405881026e-17,balanced_sqrt,3.1560772396288149e-16,4.0703418770323506e-05,true,3.1627267522025137e-16,3.7619111140826867e-19,true,3.0748519678094303e-12,0.39655869549384087,true,3.4785991664546589e-12,4.1376261343511154e-15,true,2.4732786086869546e-16,1.2412670845252867e-16,true,5.9627977867953669e-12,2.9925559532327325e-12,true,2.4732786086869546e-16,1.2412670845252867e-16,true,5.9627977867953669e-12,2.9925559532327325e-12,true,2.6385422584444357e-16,1.2412670838725982e-16,true,2.8051227601244464e-12,1.3196326635363794e-12,true,3.9794810700327592e-16,1.2509268946708013e-17,true,5.5421099686748921e-11,1.7421302654874798e-12,true
dimer_axis,dimer,2,0.10000000000000001,0,0.80000000000000004,9,90,1.2248024709316481e+24,1.2171697522654483e+24,1.1329535742333885,6.3050939142170092e-05,1.2885916894467221e-17,1.0935674583369482e-29,1.0144482852702818e-16,balanced_sqrt,2.6138487966161213e-16,0.0028146304000822072,true,2.4417457609190606e-16,2.9043390551228556e-19,true,4.0956412191095354e-12,44.102460318601231,true,1.4634268155548357e-12,1.7406757586138675e-15,true,2.2121153661341749e-16,1.1102237918175634e-16,true,2.8159098579012275e-11,1.4132581726041458e-11,true,2.2121153661341749e-16,1.1102237918175634e-16,true,2.8159098579012275e-11,1.4132581726041458e-11,true,2.3599756645055751e-16,1.1102237173310211e-16,true,2.9362730009396644e-11,1.3813362465189861e-11,true,3.3100483995703688e-16,1.0408342887369381e-17,true,1.4742458314908428e-11,4.6357195612729043e-13,true
dimer_diagonal,dimer,2,0.050000000000000003,0,0.40000000000000002,2,6,1.1158896441645312,1.115889644164531,1.0079575137967673,2.2798149474123296e-17,2.8312712747141305e-17,5.4792063019369778e-18,1.0112546232235832e-16,balanced_sqrt,2.6133941418018687e-17,2.2891807904892684e-16,true,2.4181985004891118e-16,1.7548813673518558e-20,true,1.0528445866085626e-16,9.2223042995466349e-16,true,1.7978120100602314e-16,1.3046682469689557e-20,true,1.7796408090869422e-16,3.0046291974743185e-18,true,4.595012810549882e-16,7.7579192288977285e-18,true,1.7796408090869422e-16,3.0046291974743185e-18,true,4.595012810549882e-16,7.7579192288977285e-18,true,1.7853328800105365e-16,3.0046291974743185e-18,true,3.259556970124784e-16,5.4856772946510957e-18,true,1.8883040429238043e-16,1.0164395367051604e-20,true,3.2268458657514256e-14,1.7369521233057538e-18,true
dimer_diagonal,dimer,2,0.050000000000000003,0,0.40000000000000002,3,12,21.435849689592757,21.435849689592761,1.008218563862364,5.5002156120530386e-16,2.678898313643128e-17,2.7220358551591512e-18,8.3917959416176963e-17,balanced_sqrt,1.5181002569128987e-16,7.360289130353463e-15,true,2.3331263254695518e-16,1.6931453247333068e-20,true,2.3305524320875233e-16,1.1299345781348361e-14,true,3.1311420542820509e-16,2.2722638171838173e-20,true,2.0520948762515284e-16,3.4694469519536142e-18,true,3.5543325876194138e-16,6.0092583949486369e-18,true,2.0520948762515284e-16,3.4694469519536142e-18,true,3.5543325876194138e-16,6.0092583949486369e-18,true,2.0606786065089873e-16,3.4694469519536142e-18,true,2.5238055549082484e-16,4.2491873609703695e-18,true,2.5457203596496275e-16,1.7928308245703755e-20,true,7.348021756722012e-14,5.1748652813063877e-18,true
