case_id,field_channel,particle,component,lmax,control_radius_over_a,theta_order,phi_count,analytic_force,integrated_force,absolute_error,relative_error_or_absolute_if_unresolved,force_resolved
dimer_axis,effective_total,0,x,4,1.01,24,48,0.35257977168881222,0.35257977168881216,5.5511151231257827e-17,1.5744281348123429e-16,true
dimer_axis,effective_total,0,y,4,1.01,24,48,6.539355445563922e-19,-5.9955277979177426e-17,6.0609213523733818e-17,1.7190212936330238e-16,true
dimer_axis,effective_total,0,z,4,1.01,24,48,0,-1.4709728660827758e-16,1.4709728660827758e-16,4.172028528571004e-16,true
dimer_axis,effective_total,0,x,4,1.01,32,64,0.35257977168881222,0.35257977168881083,1.3877787807814457e-15,3.9360703370308569e-15,true
dimer_axis,effective_total,0,y,4,1.01,32,64,6.539355445563922e-19,4.5420348314360324e-16,4.5354954759904684e-16,1.2863742733356546e-15,true
dimer_axis,effective_total,0,z,4,1.01,32,64,0,-3.7474554506083428e-16,3.7474554506083428e-16,1.062867399527349e-15,true
dimer_axis,effective_total,0,x,4,1.04,24,48,0.35257977168881222,0.35257977168881111,1.1102230246251565e-15,3.1488562696246856e-15,true
dimer_axis,effective_total,0,y,4,1.04,24,48,6.539355445563922e-19,1.8656495619218118e-17,1.8002560074661726e-17,5.1059537501064667e-17,true
dimer_axis,effective_total,0,z,4,1.04,24,48,0,3.0504158227140367e-16,3.0504158227140367e-16,8.6517040047502822e-16,true
dimer_axis,effective_total,0,x,4,1.04,32,64,0.35257977168881222,0.35257977168881138,8.3266726846886741e-16,2.3616422022185142e-15,true
dimer_axis,effective_total,0,y,4,1.04,32,64,6.539355445563922e-19,6.1120819776910871e-16,6.1055426222455231e-16,1.7316769459009946e-15,true
dimer_axis,effective_total,0,z,4,1.04,32,64,0,-1.5583359255777475e-16,1.5583359255777475e-16,4.4198109214079888e-16,true
dimer_axis,effective_total,1,x,4,1.01,24,48,-0.35257977168881222,-0.35257977168881449,2.2759572004815709e-15,6.4551553527306055e-15,true
dimer_axis,effective_total,1,y,4,1.01,24,48,4.3670354117397299e-17,-1.91207463307952e-16,2.3487781742534928e-16,6.6616929354827827e-16,true
dimer_axis,effective_total,1,z,4,1.01,24,48,0,4.1736090088508387e-16,4.1736090088508387e-16,1.1837346733931396e-15,true
