sentinel_order,case_id,particle_count,family,rho_l1,applicable,reason,rms_c_d,rms_c_m,rms_c_s,rms_c,closure_rms,mu_dm,mu_dm_applicable,mu_dm_reason,mu_ds,mu_ds_applicable,mu_ds_reason,mu_ms,mu_ms_applicable,mu_ms_reason,mu_dc,mu_dc_applicable,mu_dc_reason,mu_mc,mu_mc_applicable,mu_mc_reason,mu_sc,mu_sc_applicable,mu_sc_reason,p_d,p_d_applicable,p_d_reason,p_m,p_m_applicable,p_m_reason,p_s,p_s_applicable,p_s_reason,projection_sum,projection_sum_applicable,projection_sum_reason,r_s_over_d,r_s_over_d_applicable,r_s_over_d_reason,r_m_over_d,r_m_over_d_applicable,r_m_over_d_reason,cancellation_ratio,cancellation_ratio_applicable,cancellation_ratio_reason
1,n2_pair_f1.0_d6.0,2,pair,0.0026995147661320832,true,applicable,4.8826720472017193e-05,9.2534595062736084e-05,4.7527950758113122e-05,3.8200761673943054e-06,7.484627756700706e-20,-0.99999999999999978,true,applicable,0.99999999999999978,true,applicable,-1,true,applicable,1,true,applicable,-1,true,applicable,0.99999999999999989,true,applicable,12.781609144019283,true,applicable,-24.223232995339572,true,applicable,12.441623851320271,true,applicable,0.99999999999998224,true,applicable,0.97340043112974584,true,applicable,1.8951630207432848,true,applicable,49.44646599067913,true,applicable
2,n2_pair_f1.0_d4.0,2,pair,0.0084143200111476638,true,applicable,0.00089742513787845202,0.00045101319650560356,0.0008887794281564076,0.0013351913695292539,2.1684043449710089e-18,-1,true,applicable,1,true,applicable,-1,true,applicable,1,true,applicable,-1,true,applicable,1,true,applicable,0.67213221891544705,true,applicable,-0.33778917898833971,true,applicable,0.66565696007289421,true,applicable,1.0000000000000016,true,applicable,0.9903660936638311,true,applicable,0.50256358716651994,true,applicable,1.675578357976681,true,applicable
3,n2_pair_f0.8_d2.5,2,pair,0.026387876003953037,true,applicable,0.02070181729191109,0.00014892682829109605,0.022237065324903143,0.042789955788523154,1.7690777709386487e-17,-1,true,applicable,1,true,applicable,-0.99999999999999989,true,applicable,1,true,applicable,-1,true,applicable,1,true,applicable,0.4838008572437833,true,applicable,-0.0034804155682497864,true,applicable,0.519679558324466,true,applicable,0.99999999999999956,true,applicable,1.0741600609909705,true,applicable,0.0071939012015764855,true,applicable,1.0069608311364993,true,applicable
4,n2_pair_f1.0_d2.1,2,pair,0.055167482766554234,false,all_relevant_channels_not_confirmed,0,0,0,0,0,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed
5,n3_compact_f0.4_d6.0,3,compact,0.0021596118129056665,true,applicable,1.0516185801923105e-05,1.0085509901739607e-05,1.0088169543771079e-05,1.0518845443954682e-05,3.3399494758768356e-19,-1,true,applicable,1,true,applicable,-1,true,applicable,1,true,applicable,-1,true,applicable,1,true,applicable,0.9997471545669393,true,applicable,-0.95880388731596777,true,applicable,0.95905673274901881,true,applicable,0.99999999999999034,true,applicable,0.95929928719272395,true,applicable,0.95904637781269142,true,applicable,2.9176077746319256,true,applicable
6,n3_compact_f0.1_d2.1,3,compact,0.011033496553310861,true,applicable,0.00048664295228389206,5.4502633615523609e-05,0.0004493400692634943,0.00088148038793186233,4.6764401865546168e-19,-0.99999999999999989,true,applicable,1,true,applicable,-1,true,applicable,1,true,applicable,-1,true,applicable,1,true,applicable,0.55207462235848304,true,applicable,-0.061830795513667873,true,applicable,0.50975617315518529,true,applicable,1.0000000000000004,true,applicable,0.92334650518346262,true,applicable,0.11199717032730909,true,applicable,1.1236615910273362,true,applicable
7,n3_compact_f0.4_d2.5,3,compact,0.026387876003953033,true,applicable,0.007181346417174001,0.00029806845775021525,0.006961748518088443,0.013845026477512228,3.1770392127042921e-18,-1,true,applicable,1,true,applicable,-1,true,applicable,0.99999999999999989,true,applicable,-1,true,applicable,1,true,applicable,0.51869502949945934,true,applicable,-0.021528919300685543,true,applicable,0.50283388980122634,true,applicable,1,true,applicable,0.96942106865080402,true,applicable,0.041505929450415091,true,applicable,1.0430578386013714,true,applicable
8,n3_compact_f0.8_d2.1,3,compact,0.088267972426486929,true,applicable,0.33489940832698439,0.00053278910085345871,0.43902721190231708,0.77339383112844795,5.5511151231257827e-17,-0.99999999999999989,true,applicable,1,true,applicable,-0.99999999999999989,true,applicable,1,true,applicable,-1,true,applicable,1,true,applicable,0.43302570417239744,true,applicable,-0.00068889753112728305,true,applicable,0.56766319335873006,true,applicable,1.0000000000000002,true,applicable,1.3109226262760842,true,applicable,0.0015908929296562433,true,applicable,1.0013777950622547,true,applicable
9,n3_irregular_f0.1_d3.0,3,irregular,0.0028389581530360573,true,applicable,1.2197154129676475e-05,9.2872943381296253e-06,1.1267811489854884e-05,1.4208836488887965e-05,7.9766326917683554e-20,-0.99604668384252482,true,applicable,0.99210775684134134,true,applicable,-0.98968745352903842,true,applicable,0.99413196816438254,true,applicable,-0.98623502749501279,true,applicable,0.99777233981863955,true,applicable,0.85338309371231236,true,applicable,-0.64463089529411566,true,applicable,0.79124780158179964,true,applicable,0.99999999999999634,true,applicable,0.92380660029863526,true,applicable,0.76143125186333671,true,applicable,2.305062767333196,true,applicable
10,n3_irregular_f0.8_d4.0,3,irregular,0.009938913727557815,true,applicable,0.00072499488919318433,3.8352085732991874e-05,0.00071299413594433511,0.0013952723319989779,1.6239748983573846e-18,-0.99572555367671811,true,applicable,0.98738947165910129,true,applicable,-0.98901416180580293,true,applicable,0.99680156244879659,true,applicable,-0.99529326111236738,true,applicable,0.99687757631005613,true,applicable,0.51794622579507121,true,applicable,-0.027357793603606372,true,applicable,0.50941156780853603,true,applicable,1.0000000000000009,true,applicable,0.98344712021045511,true,applicable,0.052899801508493757,true,applicable,1.0581024772098704,true,applicable
11,n3_irregular_f1.0_d3.0,3,irregular,0.028389581530360551,true,applicable,0.012551132200869211,0.001678530472052141,0.012568151077493709,0.02340438757990957,1.5755918841194651e-17,-0.99645164069790615,true,applicable,0.99274640233456257,true,applicable,-0.98968083561671882,true,applicable,0.9979130812317889,true,applicable,-0.99410950118701413,true,applicable,0.99840394862550397,true,applicable,0.53515346063865321,true,applicable,-0.071296165498956621,true,applicable,0.53614270486030324,true,applicable,0.99999999999999978,true,applicable,1.0013559634582863,true,applicable,0.13373538300679333,true,applicable,1.1449910261022349,true,applicable
12,n3_irregular_f1.0_d2.1,3,irregular,0.080676724779565265,false,all_relevant_channels_not_confirmed,0,0,0,0,0,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed,0,false,all_relevant_channels_not_confirmed
13,n3_linear_f0.1_d3.0,3,linear,0.0028723477911963041,true,applicable,9.5196135075075153e-06,6.9679703420938396e-06,7.4615170610123925e-06,1.0013160226426037e-05,4.2102451232672419e-20,-1,true,applicable,1,true,applicable,-1,true,applicable,1,true,applicable,-1,true,applicable,1,true,applicable,0.95071019460809336,true,applicable,-0.69588123874263563,true,applicable,0.7451710441345456,true,applicable,1.0000000000000033,true,applicable,0.7838046213880393,true,applicable,0.73195937383367959,true,applicable,2.3917624774852744,true,applicable
14,n3_linear_f0.8_d4.0,3,linear,0.010030161281933956,true,applicable,0.00059639162108079957,2.8481464695873988e-05,0.0004446710291233269,0.0010125811855082551,2.6557421006064811e-18,-1,true,applicable,1,true,applicable,-0.99999999999999989,true,applicable,1,true,applicable,-1,true,applicable,1,true,applicable,0.58898153512643692,true,applicable,-0.028127586314551166,true,applicable,0.43914605118811162,true,applicable,0.99999999999999734,true,applicable,0.74560240856080462,true,applicable,0.047756312612606773,true,applicable,1.0562551726290998,true,applicable
15,n3_linear_f1.0_d3.0,3,linear,0.028723477911963061,true,applicable,0.009605522624412579,0.0012639103256871843,0.008441901759288651,0.016783514058014051,3.1671572627542281e-18,-1,true,applicable,0.99999999999999978,true,applicable,-1,true,applicable,0.99999999999999978,true,applicable,-0.99999999999999989,true,applicable,1,true,applicable,0.57231891910180666,true,applicable,-0.075306656360422497,true,applicable,0.50298773725861556,true,applicable,0.99999999999999978,true,applicable,0.87885918230346283,true,applicable,0.13158163018375879,true,applicable,1.1506133127208447,true,applicable
16,n3_linear_f1.0_d2.1,3,linear,0.081763586247051059,true,applicable,0.23252816973381599,0.0064129301790221832,0.3377527671717237,0.5638680067265176,3.204937810639273e-17,-0.99999999999999967,true,applicable,1,true,applicable,-1,true,applicable,0.99999999999999978,true,applicable,-1,true,applicable,1,true,applicable,0.4123804985562779,true,applicable,-0.011373105234772663,true,applicable,0.59899260667849474,true,applicable,1,true,applicable,1.4525240858273747,true,applicable,0.0275791538993461,true,applicable,1.0227462104695451,true,applicable
17,n4_compact_f0.4_d6.0,4,compact,0.0025876432840475539,true,applicable,1.1846364913938664e-05,9.8184917900021034e-06,1.1321475349981159e-05,1.3349348473917877e-05,1.5813449534461326e-19,-0.99999999999999989,true,applicable,1,true,applicable,-0.99999999999999978,true,applicable,1,true,applicable,-1,true,applicable,1,true,applicable,0.88741146709026575,true,applicable,-0.73550344491984709,true,applicable,0.84809197782956958,true,applicable,0.99999999999998823,true,applicable,0.95569193015995058,true,applicable,0.82881895512516879,true,applicable,2.4710068898396829,true,applicable
18,n4_compact_f0.1_d2.1,4,compact,0.013024703240875866,true,applicable,0.00045490129547666697,5.3045568633850142e-05,0.00040887539514566766,0.00081073112198848537,8.5585040594495128e-19,-1,true,applicable,1,true,applicable,-1,true,applicable,1,true,applicable,-1,true,applicable,0.99999999999999989,true,applicable,0.56110007761997305,true,applicable,-0.065429298561704333,true,applicable,0.50432922094173005,true,applicable,0.99999999999999878,true,applicable,0.89882222629686903,true,applicable,0.11660896366159279,true,applicable,1.1308585971234075,true,applicable
19,n4_compact_f0.4_d2.5,4,compact,0.031187722478002788,true,applicable,0.0070342633539921132,0.00029130315845257395,0.0066108148548229152,0.013353775050362457,3.1868905207277775e-18,-1,true,applicable,1,true,applicable,-0.99999999999999978,true,applicable,1,true,applicable,-1,true,applicable,0.99999999999999989,true,applicable,0.52676215732727838,true,applicable,-0.021814292763952709,true,applicable,0.49505213543667409,true,applicable,0.99999999999999978,true,applicable,0.93980201225635362,true,applicable,0.041412034749488361,true,applicable,1.0436285855279053,true,applicable
20,n4_compact_f1.0_d2.5,4,compact,0.077969306195006943,true,applicable,0.12242985175095139,0.0056114919805038688,0.12586948370079939,0.24268784347124694,2.4037033579794548e-17,-1,true,applicable,1,true,applicable,-1,true,applicable,1,true,applicable,-1,true,applicable,1,true,applicable,0.50447459584211352,true,applicable,-0.023122262327773761,true,applicable,0.5186476664856603,true,applicable,1,true,applicable,1.0280947162857386,true,applicable,0.045834344322484753,true,applicable,1.0462445246555476,true,applicable
21,n4_irregular_f0.1_d3.0,4,irregular,0.003408578045201502,true,applicable,1.3122411852008878e-05,9.2558554888850241e-06,1.185715523355678e-05,1.5800146832073861e-05,1.252850209022303e-19,-0.99524197097815625,true,applicable,0.99783001853828224,true,applicable,-0.99121171473840075,true,applicable,0.99632121055466227,true,applicable,-0.98461557876716843,true,applicable,0.99850839819913695,true,applicable,0.82746935207274119,true,applicable,-0.57679587449616154,true,applicable,0.74932652242341813,true,applicable,0.99999999999999778,true,applicable,0.90358048255752599,true,applicable,0.70534712621964135,true,applicable,2.1667787608754194,true,applicable
