record_type,candidate,scope,point_count,prefactor,exponent,rmse_log,median_factor,p90_factor,maximum_factor,fraction_within_factor_2,spearman,reference_derived,value,recommendation
global_oof,P0_frozen_rho_l1,all,28,2.6353684041458636,1.1088518115798773,0.81060335579950271,1.6049065112056535,2.6375248835426581,15.157639966319513,0.6071428571428571,0.97099069512862612,false,0,not_applicable
stratum_oof,P0_frozen_rho_l1,n2_pair,4,0,0,1.5844437298080241,3.116385754041759,11.70757138942324,15.157639966319513,0.25,1,false,0,not_applicable
stratum_oof,P0_frozen_rho_l1,n3_compact,4,0,0,0.75275868748321706,2.1591158707277316,2.6478123800854374,2.7825759718329328,0.5,1,false,0,not_applicable
stratum_oof,P0_frozen_rho_l1,n3_irregular,4,0,0,0.55579899240032582,1.5450607971528543,2.1634467692719692,2.423186492371447,0.75,1,false,0,not_applicable
stratum_oof,P0_frozen_rho_l1,n3_linear,4,0,0,0.52889087558731862,1.4645564104190407,2.1439099300148312,2.4337881710628566,0.75,1,false,0,not_applicable
stratum_oof,P0_frozen_rho_l1,n4_compact,4,0,0,0.51269341161242132,1.5647731603570747,2.0485301338339177,2.2182892167464021,0.75,1,false,0,not_applicable
stratum_oof,P0_frozen_rho_l1,n4_irregular,4,0,0,0.56941592786254247,1.7284562575171534,2.1562750882646076,2.2320876010739448,0.75,1,false,0,not_applicable
stratum_oof,P0_frozen_rho_l1,n4_linear,4,0,0,0.5888207851947882,1.7417814221680543,2.2640812602264715,2.3415895925433321,0.5,1,false,0,not_applicable
global_oof,P1_eta,all,28,0,0,0.79509059112256186,1.3110593224942959,2.378254419902941,35.404797373179854,0.8214285714285714,0.92993979200875754,false,0,not_applicable
stratum_oof,P1_eta,n2_pair,4,0,0,1.8383942028852343,1.8378947497013598,25.462571746646177,35.404797373179854,0.5,1,false,0,not_applicable
stratum_oof,P1_eta,n3_compact,4,0,0,0.60281304907477551,1.5203595747878331,2.3780319197923827,2.7172338481673628,0.75,1,false,0,not_applicable
stratum_oof,P1_eta,n3_irregular,4,0,0,0.1634189779099125,1.1184126088473301,1.271953777149202,1.3299443617503104,1,1,false,0,not_applicable
