sentinel_order,case_id,particle_count,family,stratum,rho_band,f1,distance_ratio,eta,lambda_max,rho_l1,epsilon_a_t08,final_lmax_e,state_source,interaction_confirmed,all_channels_confirmed,epsilon_a_e,epsilon_a_e_applicable,epsilon_a_e_reason,predicted_epsilon_a,prediction_factor,frozen_log_residual,diagnostics_pass,special_case,historical_t12_gate,t12_1_diagnostic_gate
1,n2_pair_f1.0_d6.0,2,pair,n2_pair,1,1,6,0.0046296296296296285,0.0046296296296296285,0.0026995147661320832,0.0031420431666203215,8,t12,true,true,0.00024653935235086007,true,applicable,0.0037369547404639235,15.157639966319506,-2.7185046930507211,true,largest_frozen_prediction_factor,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
2,n2_pair_f1.0_d4.0,2,pair,n2_pair,2,1,4,0.015625,0.015625,0.0084143200111476638,0.011720559154343639,9,t12,true,true,0.017338746159560232,true,applicable,0.013182413238180894,1.315293781668226,0.27406004879057111,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
3,n2_pair_f0.8_d2.5,2,pair,n2_pair,3,0.80000000000000004,2.5,0.051200000000000016,0.051200000000000016,0.026387876003953037,0.062205040472239508,13,t12,true,true,0.12057318984999543,true,applicable,0.046817991930159931,2.5753601314182539,0.94598938119809839,true,ten_percent_false_safe,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
4,n2_pair_f1.0_d2.1,2,pair,n2_pair,4,1,2.1000000000000001,0.10797969981643449,0.10797969981643449,0.055167482766554234,0.20590001141955952,21,t12_1,true,false,0.38790756344523031,true,applicable,0.1060606870531788,3.6574113766652632,1.2967556230417525,true,extended_large_error_check,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
5,n3_compact_f0.4_d6.0,3,compact,n3_compact,1,0.40000000000000002,6,0.0018518518518518515,0.003703703703703703,0.0021596118129056665,0.0024436353380021922,8,t12,true,true,0.0024442518457082098,true,applicable,0.0029178233438417606,1.1937490602554237,-0.17709882559190593,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
6,n3_compact_f0.1_d2.1,3,compact,n3_compact,2,0.10000000000000001,2.1000000000000001,0.01079796998164345,0.021595939963286917,0.011033496553310861,0.027969874818365166,15,t12_1,true,true,0.049539008615673751,true,applicable,0.017803290590136703,2.7825759718329333,1.0233771072388316,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
7,n3_compact_f0.4_d2.5,3,compact,n3_compact,3,0.40000000000000002,2.5,0.025600000000000008,0.051200000000000016,0.026387876003953033,0.050457845455106592,12,t12,true,true,0.092927521932736554,true,applicable,0.046817991930159925,1.9848677421141827,0.68555228326152351,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
8,n3_compact_f0.8_d2.1,3,compact,n3_compact,4,0.80000000000000004,2.1000000000000001,0.086383759853147599,0.17276751970629534,0.088267972426486929,0.23629743824141414,20,t12_1,true,true,0.41675012779141246,true,applicable,0.17860485029728018,2.3333639993412811,0.84731100287567551,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
9,n3_irregular_f0.1_d3.0,3,irregular,n3_irregular,1,0.10000000000000001,3,0.003703703703703703,0.0063085202688885596,0.0028389581530360573,0.0044527360171864091,11,t12,true,true,0.0051835772263992899,true,applicable,0.0039515917324717308,1.3117694279507335,0.27137693418644826,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
10,n3_irregular_f0.8_d4.0,3,irregular,n3_irregular,2,0.80000000000000004,4,0.012500000000000001,0.021291255907498891,0.009938913727557815,0.012776729547344681,9,t12,true,true,0.024302660006384553,true,applicable,0.015855756556110882,1.5327341789325213,0.42705318559304839,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
11,n3_irregular_f1.0_d3.0,3,irregular,n3_irregular,3,1,3,0.037037037037037028,0.063085202688885594,0.028389581530360551,0.044005625065313157,11,t12,true,true,0.079071602542228225,true,applicable,0.050771954211072626,1.5573874153731877,0.44300968359207138,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
12,n3_irregular_f1.0_d2.1,3,irregular,n3_irregular,4,1,2.1000000000000001,0.10797969981643449,0.18392187372852939,0.080676724779565265,0.21276439862094376,21,t12_1,true,false,0.39171842587690042,true,applicable,0.16165426272806013,2.4231864923714475,0.88508340642162975,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
13,n3_linear_f0.1_d3.0,3,linear,n3_linear,1,0.10000000000000001,3,0.003703703703703703,0.007407407407407406,0.0028723477911963041,0.0046095146860786621,11,t12,true,true,0.0048473376923904056,true,applicable,0.004003159133609482,1.2108780916784996,0.1913457920209849,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
14,n3_linear_f0.8_d4.0,3,linear,n3_linear,2,0.80000000000000004,4,0.012500000000000001,0.025000000000000001,0.010030161281933956,0.013922363987542812,9,t12,true,true,0.023410581916133485,true,applicable,0.016017251583736552,1.4615854532686434,0.37952177342447202,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
15,n3_linear_f1.0_d3.0,3,linear,n3_linear,3,1,3,0.037037037037037028,0.074074074074074056,0.028723477911963061,0.044640615562366051,11,t12,true,true,0.075481561368781022,true,applicable,0.051434517022872162,1.4675273675694378,0.38357892165657148,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
16,n3_linear_f1.0_d2.1,3,linear,n3_linear,4,1,2.1000000000000001,0.10797969981643449,0.21595939963286898,0.081763586247051059,0.21515386207966297,21,t12_1,true,true,0.39931370979467729,true,applicable,0.16407085651184403,2.4337881710628566,0.88944896163381382,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
17,n4_compact_f0.4_d6.0,4,compact,n4_compact,1,0.40000000000000002,6,0.0018518518518518515,0.004358432204802358,0.0025876432840475539,0.0028342308604550636,7,t12,true,true,0.0031926701180250575,true,applicable,0.0035656252770914915,1.1168160646979524,-0.11048183750162544,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
18,n4_compact_f0.1_d2.1,4,compact,n4_compact,2,0.10000000000000001,2.1000000000000001,0.01079796998164345,0.025413598861821332,0.013024703240875866,0.02720198547300717,15,t12_1,true,true,0.047469690884079783,true,applicable,0.02139923438554342,2.2182892167464021,0.796736275714375,true,none,NO-GO_T13,READY_T12_2_RHO1_RECALIBRATION_STUDY
