record_type,model,scope,point_count,rmse_log,mae_log,median_absolute_log_ratio,fraction_within_factor_2,fraction_within_factor_1_5,spearman,maximum_log_underestimation,evidence_role
global_oof,P0_frozen_rho1,all,28,0.81060335579950271,0.63300313661288332,0.47262697844430002,0.6071428571428571,0.42857142857142855,0.97099069512862612,1.2967556230417525,confirmatory_oof
global_oof,recalibrated_rho1,all,28,0.64584897371040118,0.3786559305780956,0.225653435328387,0.9285714285714286,0.7142857142857143,0.96004378762999454,0.75138421515223941,confirmatory_oof
group_oof,P0_frozen_rho1,n2_pair,4,1.5844437298080241,1.3088274365202857,1.1213725021199255,0.25,0.25,1,1.2967556230417525,diagnostic_oof
group_oof,recalibrated_rho1,n2_pair,4,1.4994951904422207,0.99697002488418807,0.48017260790899829,0.75,0.5,1,0.59357429757215563,diagnostic_oof
group_oof,P0_frozen_rho1,n3_compact,4,0.75275868748321706,0.68333480474198416,0.76643164306859957,0.5,0.25,1,1.0233771072388316,diagnostic_oof
group_oof,recalibrated_rho1,n3_compact,4,0.38697358762932815,0.26699099740466575,0.11638231629923912,0.75,0.75,1,0.75138421515223941,diagnostic_oof
group_oof,P0_frozen_rho1,n3_irregular,4,0.55579899240032582,0.5066308024482995,0.43503143459255988,0.75,0.25,1,0.88508340642162975,diagnostic_oof
group_oof,recalibrated_rho1,n3_irregular,4,0.25656871820059485,0.21522848225021537,0.16993930204645968,1,0.75,1,0.44717408062446218,diagnostic_oof
group_oof,P0_frozen_rho1,n3_linear,4,0.52889087558731862,0.46097386218396053,0.38155034754052175,0.75,0.75,1,0.88944896163381382,diagnostic_oof
group_oof,recalibrated_rho1,n3_linear,4,0.22067566746355671,0.19348408523123778,0.17441899112219095,1,1,1,0.34878872172395869,diagnostic_oof
group_oof,P0_frozen_rho1,n4_compact,4,0.51269341161242132,0.44988927892089264,0.44616950123378507,0.75,0.5,1,0.796736275714375,diagnostic_oof
group_oof,recalibrated_rho1,n4_compact,4,0.37662547955447961,0.31675272907371688,0.29755559351018501,1,0.5,1,0.43495178495533882,diagnostic_oof
group_oof,P0_frozen_rho1,n4_irregular,4,0.56941592786254247,0.51487996792316482,0.53657863709184184,0.75,0.5,1,0.80293729154187599,diagnostic_oof
group_oof,recalibrated_rho1,n4_irregular,4,0.36347712395717452,0.33624612144458571,0.28744723867514554,1,0.75,1,0.56674852118080121,diagnostic_oof
group_oof,P0_frozen_rho1,n4_linear,4,0.5888207851947882,0.50648580355159623,0.53531494142965785,0.5,0.5,1,0.85083001179364448,diagnostic_oof
group_oof,recalibrated_rho1,n4_linear,4,0.36486198124493746,0.32491907375805895,0.23763435324695648,1,0.75,1,0.61109029861778463,diagnostic_oof
