model,case_id,is_historical_10pct_false_safe,leave_one_case_out_prefactor,leave_one_case_out_alpha_lambda,leave_one_case_out_alpha_rho,delta_prefactor,delta_alpha_lambda,delta_alpha_rho,held_out_prediction,held_out_observed,held_out_log_residual
M1,n2_pair_f1.0_d6.0,false,3.3050991727721666,1.2697084484558643,0,-1.191326339394946,-0.11865165592059501,0,0.0035901190075525559,0.00024653935235086007,-2.6784190055026467
M1,n2_pair_f1.0_d4.0,false,4.5190736759304304,1.3922213856764232,0,0.022648163763317797,0.0038612812999638813,0,0.013818058776675676,0.017338746159560232,0.22696731591198374
M1,n2_pair_f0.8_d2.5,true,4.3367879929409581,1.38328030456909,0,-0.15963751922615455,-0.0050797998073692785,0,0.071076617269872175,0.12057318984999543,0.52849854150383879
M1,n2_pair_f1.0_d2.1,false,4.1261897416306752,1.3702920948817499,0,-0.37023577053643741,-0.018068009494709436,0,0.19540943895604171,0.38790756344523031,0.68567002844081981
M1,n3_compact_f0.4_d6.0,false,4.6769366779268484,1.4030681013643564,0,0.1805111657597358,0.014707996987897154,0,0.0018138131644597146,0.0024442518457082098,0.29830773257639359
M1,n3_compact_f0.1_d2.1,false,4.4866834531336783,1.3966538247741866,0,-0.0097420590334342805,0.0082937203977273555,0,0.021165077782522308,0.049539008615673751,0.85040786304559379
M1,n3_compact_f0.4_d2.5,false,4.417997849856742,1.3858874108823265,0,-0.078427662310370572,-0.002472693494132816,0,0.071848712183161106,0.092927521932736554,0.25725716657959674
M1,n3_compact_f0.8_d2.1,false,4.4492414659114567,1.3859452946123698,0,-0.047184046255655865,-0.0024148097640894761,0,0.39034638299275343,0.41675012779141246,0.065452321807407773
M1,n3_irregular_f0.1_d3.0,false,4.619941862459477,1.3994459942294353,0,0.12351635029236441,0.011085889852975983,0,0.0038525995283558989,0.0051835772263992899,0.29674727955115576
M1,n3_irregular_f0.8_d4.0,false,4.4955736933348343,1.3896611301387614,0,-0.00085181883227836153,0.001301025762302066,0,0.021357549544400459,0.024302660006384553,0.12918052383207307
M1,n3_irregular_f1.0_d3.0,false,4.5782449817961952,1.3914170777100623,0,0.081819469629082597,0.0030569733336029969,0,0.097925920118327292,0.079071602542228225,-0.21385747239753602
M1,n3_irregular_f1.0_d2.1,false,4.5714714916254557,1.3921801475262248,0,0.075045979458343126,0.003820043149765473,0,0.43280593749180746,0.39171842587690042,-0.099746165872986986
M1,n3_linear_f0.1_d3.0,false,4.4877464340277538,1.3875353003774664,0,-0.0086790781393588645,-0.00082480399899287349,0,0.0049672384102463383,0.0048473376923904056,-0.024434408986479701
M1,n3_linear_f0.8_d4.0,false,4.5051717917462106,1.3874435403659815,0,0.0087462795790980152,-0.0009165640104777939,0,0.026973889244835115,0.023410581916133485,-0.14168119430736265
M1,n3_linear_f1.0_d3.0,false,4.7182307481976364,1.3972834575176616,0,0.22180523603052382,0.0089233531412022948,0,0.1242746361632745,0.075481561368781022,-0.49860551815483184
M1,n3_linear_f1.0_d2.1,false,4.7697333783257019,1.4022349026767333,0,0.27330786615858926,0.013874798300274049,0,0.55606741390299297,0.39931370979467729,-0.33114218687564795
