model,quantity,seed,valid_samples,attempts,q025,median,q975
M1,alpha_lambda,1203,10000,10000,1.2274604152617545,1.3884368132143452,1.6818611354593525
M1,alpha_rho,1203,10000,10000,0,0,0
M1,fraction_within_factor_2,1203,10000,10000,0.6785714285714286,0.9285714285714286,1
M1,prefactor,1203,10000,10000,2.6098535924570592,4.413553443510783,11.709846644380008
M1,rmse_log,1203,10000,10000,0.20151139882397431,0.5519366621539944,0.77708271865067335
M1,spearman,1203,10000,10000,0.94014277869302598,0.95893429373251771,0.98183819482663737
M2,alpha_lambda,1203,10000,10000,-0.07867791848893646,1.2907547141937481,3.9225772841891229
M2,alpha_rho,1203,10000,10000,-2.4409070444865013,0.11640277940375672,1.360922350995216
M2,fraction_within_factor_2,1203,10000,10000,0.6785714285714286,0.9285714285714286,1
M2,prefactor,1203,10000,10000,1.102048123732597,5.0396777007270535,10.663595233825873
M2,rmse_log,1203,10000,10000,0.18648597383018514,0.54936688868227601,0.76648763124442976
M2,spearman,1203,10000,10000,0.94041558617098198,0.95881383855024716,0.98732782369146022
P0,fraction_within_factor_2,1203,10000,10000,0.4642857142857143,0.6071428571428571,0.7142857142857143
P0,rmse_log,1203,10000,10000,0.54535547320512878,0.80577169594840492,1.1349328747744607
P0,spearman,1203,10000,10000,0.9554210236653824,0.97028068244358823,0.9867205081454351
P3,fraction_within_factor_2,1203,10000,10000,0.8571428571428571,0.9285714285714286,1
P3,rmse_log,1203,10000,10000,0.27535698716397955,0.57639720591968235,0.90277447936341226
P3,spearman,1203,10000,10000,0.9554210236653824,0.97028068244358823,0.9867205081454351
