model,scope,held_out_group,training_count,test_count,prefactor,intercept,alpha_lambda,alpha_rho,design_rank,standardized_condition_number,log_predictor_correlation
M1,outer_fold,n2_pair,24,4,2.9038082378694203,1.0660230609907009,1.2457273168209444,0,2,1.0000000000000002,0
M1,outer_fold,n3_compact,24,4,4.5472396775520316,1.5145203845933497,1.4086878855733078,0,2,1.0000000000000004,0
M1,outer_fold,n3_irregular,24,4,4.8019850220253151,1.5690293786824343,1.4088343827099989,0,2,1.0000000000000004,0
M1,outer_fold,n3_linear,24,4,5.0626661936288517,1.6218932602649496,1.4116481246865882,0,2,1.0000000000000002,0
M1,outer_fold,n4_compact,24,4,4.9288692695378078,1.5951096046565161,1.4218455553918847,0,2,1.0000000000000004,0
M1,outer_fold,n4_irregular,24,4,4.8649035797805329,1.5820468962803191,1.4132581354018743,0,2,1.0000000000000004,0
M1,outer_fold,n4_linear,24,4,4.8978183049625308,1.5887898620808927,1.4104821368952323,0,2,1.0000000000000002,0
M1,descriptive_full_fit,,28,0,4.4964255121671126,1.5032827504990056,1.3883601043764593,0,2,1.0000000000000004,0
M2,outer_fold,n2_pair,24,4,6.6691880954318705,1.8974981276956568,0.30774977126438369,0.96350231060178615,3,21.66476941910415,0.99574795794495585
M2,outer_fold,n3_compact,24,4,3.4490900258379371,1.2381104356256316,1.7161290359607793,-0.31686084823955674,3,20.809821064090237,0.99539222161509011
M2,outer_fold,n3_irregular,24,4,5.7501285948970438,1.7492222188891018,1.2082824977226436,0.20794102834252995,3,19.690484135307365,0.99485484442698324
M2,outer_fold,n3_linear,24,4,3.0382218533093059,1.1112724276130672,2.0098938180202159,-0.61738436676612929,3,25.680215490101194,0.99697186927551673
M2,outer_fold,n4_compact,24,4,4.8342532963907665,1.575726679830892,1.4433250430772135,-0.022143892684988196,3,21.608759941833128,0.9957259341272432
M2,outer_fold,n4_irregular,24,4,6.074435902542259,1.8040891293666694,1.166493619203256,0.25586272215193334,3,19.828312153330007,0.99492594367670739
M2,outer_fold,n4_linear,24,4,5.6968395768864832,1.7399115608752544,1.2395855009880241,0.17699263711792176,3,20.893885963809318,0.99542914052062226
M2,descriptive_full_fit,,28,0,5.0396777007270535,1.6173421317700578,1.2602714475189609,0.13234182295409233,3,20.95288536113825,0.99545478722843073
