model,scope_type,scope,point_count,rmse_log,mae_log,fraction_within_factor_2,fraction_within_factor_1_5,spearman,worst_multiplicative_ratio
P0,global,all_28,28,0.81060335579950271,0.63300313661288332,0.6071428571428571,0.42857142857142855,0.97099069512862612,15.157639966319513
P0,group,n2_pair,4,1.5844437298080241,1.3088274365202857,0.25,0.25,1,15.157639966319513
P0,group,n3_compact,4,0.75275868748321706,0.68333480474198416,0.5,0.25,1,2.7825759718329328
P0,group,n3_irregular,4,0.55579899240032582,0.5066308024482995,0.75,0.25,1,2.423186492371447
P0,group,n3_linear,4,0.52889087558731862,0.46097386218396053,0.75,0.75,1,2.4337881710628566
P0,group,n4_compact,4,0.51269341161242132,0.44988927892089264,0.75,0.5,1,2.2182892167464021
P0,group,n4_irregular,4,0.56941592786254247,0.51487996792316482,0.75,0.5,1,2.2320876010739448
P0,group,n4_linear,4,0.5888207851947882,0.50648580355159623,0.5,0.5,1,2.3415895925433321
P0,particle_count,2,4,1.5844437298080241,1.3088274365202857,0.25,0.25,1,15.157639966319513
P0,particle_count,3,12,0.62055988693388631,0.55031315645808154,0.66666666666666663,0.41666666666666669,0.95804195804195813,2.7825759718329328
P0,particle_count,4,12,0.55791246335237654,0.49041835013188456,0.66666666666666663,0.5,0.97902097902097918,2.3415895925433321
P0,family,compact,8,0.64401093775348228,0.56661204183143843,0.625,0.375,0.97619047619047628,2.7825759718329328
P0,family,irregular,8,0.56264865540440845,0.51075538518573216,0.75,0.375,0.97619047619047628,2.423186492371447
P0,family,linear,8,0.55965859028381193,0.48372983286777838,0.625,0.625,0.97619047619047628,2.4337881710628566
P0,family,pair,4,1.5844437298080241,1.3088274365202857,0.25,0.25,1,15.157639966319513
P0,f1,0.10000000000000001,8,0.63300174360381012,0.52806400475208548,0.5,0.5,0.95238095238095244,2.7825759718329328
P0,f1,0.40000000000000002,4,0.4375504181200191,0.36884430491289588,1,0.5,1,1.9848677421141825
P0,f1,0.80000000000000004,8,0.63342709709115652,0.5929578125167867,0.625,0.375,0.90476190476190477,2.5753601314182544
P0,f1,1,8,1.1841140243167709,0.91006700841977162,0.5,0.375,0.95238095238095244,15.157639966319513
P0,distance_ratio,2.1000000000000001,10,0.89607714198598121,0.88091817996314392,0.10000000000000001,0,0.95151515151515142,3.6574113766652641
P0,distance_ratio,2.5,4,0.6650753811055623,0.63097016673179795,0.75,0.25,0.79999999999999993,2.5753601314182544
P0,distance_ratio,3,8,0.30902605296177466,0.28803812433121972,1,0.875,0.95238095238095244,1.5573874153731875
P0,distance_ratio,4,3,0.365841545923695,0.36021166926936382,1,0.66666666666666663,0.5,1.5327341789325211
P0,distance_ratio,6,3,1.5741492937014754,1.0020284520480842,0.66666666666666663,0.66666666666666663,-0.5,15.157639966319513
P3,global,all_28,28,0.57785441409107763,0.33640699508320016,0.9285714285714286,0.75,0.97099069512862612,13.24994401667135
P3,group,n2_pair,4,1.3273736751982874,0.87133814815637733,0.75,0.5,1,13.24994401667135
P3,group,n3_compact,4,0.3664567812202722,0.24017049729264645,0.75,0.75,1,2.0464420079866286
P3,group,n3_irregular,4,0.22553822881415078,0.18749431631674063,1,1,1,1.4771045682816117
P3,group,n3_linear,4,0.19786385917874244,0.16970283521068535,1,1,1,1.3585032373951371
P3,group,n4_compact,4,0.35057739803751425,0.28414495230142528,1,0.5,1,1.7002498337704279
P3,group,n4_irregular,4,0.33336259203316848,0.30456434250695491,1,0.75,1,1.7119266860580191
P3,group,n4_linear,4,0.34226582048535142,0.29743387379757058,1,0.75,1,1.7954877828550333
P3,particle_count,2,4,1.3273736751982874,0.87133814815637733,0.75,0.5,1,13.24994401667135
P3,particle_count,3,12,0.27343992145018614,0.19912254960669076,0.91666666666666663,0.91666666666666663,0.95804195804195813,2.0464420079866286
P3,particle_count,4,12,0.34214081976789285,0.29538105620198357,1,0.66666666666666663,0.97902097902097918,1.7954877828550333
P3,family,compact,8,0.35860499474845309,0.26215772479703586,0.875,0.625,0.97619047619047628,2.0464420079866286
P3,family,irregular,8,0.2846033295867223,0.24602932941184777,1,0.875,0.97619047619047628,1.7119266860580191
P3,family,linear,8,0.2795496365957359,0.23356835450412797,1,0.875,0.97619047619047628,1.7954877828550333
P3,family,pair,4,1.3273736751982874,0.87133814815637733,0.75,0.5,1,13.24994401667135
P3,f1,0.10000000000000001,8,0.45680918847279639,0.42302617942348159,0.875,0.5,0.95238095238095244,2.0464420079866286
P3,f1,0.40000000000000002,4,0.08701052298999648,0.075123898575155224,1,1,1,1.1400758890611786
P3,f1,0.80000000000000004,8,0.21608030855090696,0.20075781200211307,1,1,0.90476190476190477,1.4406469247652431
P3,f1,1,8,0.95370555394407364,0.51607854207802806,0.875,0.625,0.95238095238095244,13.24994401667135
P3,distance_ratio,2.1000000000000001,10,0.40945319915959427,0.33853795929479114,0.90000000000000002,0.5,0.95151515151515142,2.0464420079866286
P3,distance_ratio,2.5,4,0.33284877781125455,0.28290436623452136,1,0.75,0.79999999999999993,1.7002498337704279
P3,distance_ratio,3,8,0.25357502122880288,0.2433882635732264,1,1,0.95238095238095244,1.4771045682816117
P3,distance_ratio,4,3,0.11015019714340631,0.10218459063663277,1,1,0.5,1.1648168148379774
P3,distance_ratio,6,3,1.4921088299521414,0.88291297464929863,0.66666666666666663,0.66666666666666663,-0.5,13.24994401667135
M1,global,all_28,28,0.62938909202473037,0.4000971648050578,0.8928571428571429,0.7142857142857143,0.94690749863163659,14.554217960790458
M1,group,n2_pair,4,1.4162528497939564,1.0046059577189634,0.5,0.25,1,14.554217960790458
M1,group,n3_compact,4,0.50069071492811623,0.40520786540268461,0.75,0.75,1,2.4185178320579412
M1,group,n3_irregular,4,0.20757357738908508,0.1942236104967906,1,1,1,1.3575209813908016
M1,group,n3_linear,4,0.33674577949310791,0.27593836338325461,1,0.75,1,1.7017857135643015
M1,group,n4_compact,4,0.39525510150560189,0.34112327168212131,1,0.75,1,1.784097895187124
M1,group,n4_irregular,4,0.31257047038433072,0.29479890848407531,1,0.75,1,1.5950030597408444
M1,group,n4_linear,4,0.32563733399943773,0.28478217646751508,1,0.75,1,1.5072431116529339
M1,particle_count,2,4,1.4162528497939564,1.0046059577189634,0.5,0.25,1,14.554217960790458
M1,particle_count,3,12,0.36840905800109003,0.29178994642757661,0.91666666666666663,0.83333333333333337,0.91608391608391626,2.4185178320579412
M1,particle_count,4,12,0.34639407592930277,0.30690145221123721,1,0.75,0.97202797202797209,1.784097895187124
M1,family,compact,8,0.45106417907069046,0.37316556854240296,0.875,0.75,0.97619047619047628,2.4185178320579412
M1,family,irregular,8,0.26531781789618303,0.24451125949043295,1,0.875,1,1.5950030597408444
M1,family,linear,8,0.33123812680659376,0.28036026992538488,1,0.75,0.97619047619047628,1.7017857135643015
M1,family,pair,4,1.4162528497939564,1.0046059577189634,0.5,0.25,1,14.554217960790458
M1,f1,0.10000000000000001,8,0.45248602566333029,0.36153361686015617,0.875,0.5,0.73809523809523814,2.4185178320579412
M1,f1,0.40000000000000002,4,0.30246495015377728,0.26649387850934392,1,1,1,1.4720225940054208
M1,f1,0.80000000000000004,8,0.29829517850334536,0.26637364067191055,1,0.875,0.80952380952380965,1.6833734991282463
M1,f1,1,8,1.0232258118735562,0.63918588003096377,0.75,0.625,0.95238095238095244,14.554217960790458
M1,distance_ratio,2.1000000000000001,10,0.49347833221676551,0.42997499805346806,0.80000000000000004,0.5,0.72121212121212108,2.4185178320579412
M1,distance_ratio,2.5,4,0.35328346356304297,0.30398234901077414,1,0.75,0.79999999999999993,1.6833734991282463
M1,distance_ratio,3,8,0.28671115733652935,0.23731488884316848,1,0.875,0.76190476190476208,1.7017857135643015
M1,distance_ratio,4,3,0.13033859444677404,0.12203710036782074,1,1,0.5,1.1841919424403868
M1,distance_ratio,6,3,1.5757137431179244,1.1408036087050109,0.66666666666666663,0.66666666666666663,-0.5,14.554217960790458
M2,global,all_28,28,0.66245756703733627,0.42609748353184196,0.9285714285714286,0.6785714285714286,0.9436234263820471,17.329935700128704
M2,group,n2_pair,4,1.475112167982171,0.98934432476275225,0.75,0.5,1,17.329935700128704
M2,group,n3_compact,4,0.53078298016336045,0.44663584015842772,0.75,0.5,1,2.4859225643679492
M2,group,n3_irregular,4,0.21533805613350249,0.19922565017627333,1,1,1,1.3894849478055724
