model,held_out_group,training_count,test_count,inner_prediction_count,maximum_inner_underprediction_log,safety_factor,valid,outer_group_excluded_from_fit_and_margin
P0,n2_pair,24,4,24,1.0233771072388316,2.7825759718329328,true,true
P0,n3_compact,24,4,24,1.2967556230417525,3.6574113766652641,true,true
P0,n3_irregular,24,4,24,1.2967556230417525,3.6574113766652641,true,true
P0,n3_linear,24,4,24,1.2967556230417525,3.6574113766652641,true,true
P0,n4_compact,24,4,24,1.2967556230417525,3.6574113766652641,true,true
P0,n4_irregular,24,4,24,1.2967556230417525,3.6574113766652641,true,true
P0,n4_linear,24,4,24,1.2967556230417525,3.6574113766652641,true,true
P3,n2_pair,24,4,24,0.71610267938127503,2.0464420079866286,true,true
P3,n3_compact,24,4,24,0.58527673034730787,1.7954877828550333,true,true
P3,n3_irregular,24,4,24,0.71610267938127503,2.0464420079866286,true,true
P3,n3_linear,24,4,24,0.71610267938127503,2.0464420079866286,true,true
P3,n4_compact,24,4,24,0.71610267938127503,2.0464420079866286,true,true
P3,n4_irregular,24,4,24,0.71610267938127503,2.0464420079866286,true,true
P3,n4_linear,24,4,24,0.71610267938127503,2.0464420079866286,true,true
M1,n2_pair,24,4,24,0.75608078708771975,2.1299122614975046,true,true
M1,n3_compact,24,4,24,0.82754651431973159,2.2876990123546688,true,true
M1,n3_irregular,24,4,24,0.91282745889701067,2.4913567930886757,true,true
M1,n3_linear,24,4,24,0.86067872000149537,2.3647651625663215,true,true
M1,n4_compact,24,4,24,0.94389434716800347,2.5699703122019222,true,true
M1,n4_irregular,24,4,24,0.91737502133401039,2.5027121937854822,true,true
M1,n4_linear,24,4,24,0.89563294256586756,2.4488853027811706,true,true
M2,n2_pair,24,4,24,0.66952836116982306,1.953315843751368,true,true
M2,n3_compact,24,4,24,0.79081468015103384,2.2051922209891055,true,true
M2,n3_irregular,24,4,24,0.93065128362871041,2.5361603996006092,true,true
M2,n3_linear,24,4,24,0.92775568731904334,2.5288273248425721,true,true
M2,n4_compact,24,4,24,1.0631964284817079,2.8956118286800527,true,true
M2,n4_irregular,24,4,24,0.93150818385616363,2.5383345674132944,true,true
M2,n4_linear,24,4,24,0.91176255560271624,2.4887051511541527,true,true
