model,rule,tolerance,comparison,predicted_safe_count,observed_safe_count,false_safe_count,false_unsafe_count,safe_precision,safe_coverage,false_safe_ids,false_unsafe_ids
P0,point_diagnostic,0.01,prediction < tolerance; observed < tolerance,7,7,0,0,1,1,,
P0,point_diagnostic,0.050000000000000003,prediction < tolerance; observed < tolerance,18,14,4,0,0.77777777777777779,1,n2_pair_f0.8_d2.5;n3_compact_f0.4_d2.5;n4_irregular_f0.8_d3.0;n4_linear_f0.8_d3.0,
P0,point_diagnostic,0.10000000000000001,prediction < tolerance; observed < tolerance,21,20,1,0,0.95238095238095233,1,n2_pair_f0.8_d2.5,
P0,conservative,0.01,prediction < tolerance; observed < tolerance,0,7,0,7,0,0,,n2_pair_f1.0_d6.0;n3_compact_f0.4_d6.0;n3_irregular_f0.1_d3.0;n3_linear_f0.1_d3.0;n4_compact_f0.4_d6.0;n4_irregular_f0.1_d3.0;n4_linear_f0.1_d3.0
P0,conservative,0.050000000000000003,prediction < tolerance; observed < tolerance,8,14,0,6,1,0.5714285714285714,,n3_compact_f0.1_d2.1;n3_irregular_f0.8_d4.0;n3_linear_f0.8_d4.0;n4_compact_f0.1_d2.1;n4_irregular_f0.1_d2.1;n4_linear_f0.1_d2.1
P0,conservative,0.10000000000000001,prediction < tolerance; observed < tolerance,14,20,0,6,1,0.69999999999999996,,n3_compact_f0.4_d2.5;n3_irregular_f1.0_d3.0;n3_linear_f1.0_d3.0;n4_compact_f0.4_d2.5;n4_irregular_f0.8_d3.0;n4_linear_f0.8_d3.0
P3,point_diagnostic,0.01,prediction < tolerance; observed < tolerance,7,7,0,0,1,1,,
P3,point_diagnostic,0.050000000000000003,prediction < tolerance; observed < tolerance,14,14,0,0,1,1,,
P3,point_diagnostic,0.10000000000000001,prediction < tolerance; observed < tolerance,20,20,1,1,0.94999999999999996,0.94999999999999996,n2_pair_f0.8_d2.5,n4_compact_f0.4_d2.5
P3,conservative,0.01,prediction < tolerance; observed < tolerance,7,7,0,0,1,1,,
P3,conservative,0.050000000000000003,prediction < tolerance; observed < tolerance,13,14,0,1,1,0.9285714285714286,,n4_compact_f0.1_d2.1
P3,conservative,0.10000000000000001,prediction < tolerance; observed < tolerance,14,20,0,6,1,0.69999999999999996,,n3_compact_f0.4_d2.5;n3_irregular_f1.0_d3.0;n3_linear_f1.0_d3.0;n4_compact_f0.4_d2.5;n4_irregular_f0.8_d3.0;n4_linear_f0.8_d3.0
M1,point_diagnostic,0.01,prediction < tolerance; observed < tolerance,7,7,0,0,1,1,,
M1,point_diagnostic,0.050000000000000003,prediction < tolerance; observed < tolerance,14,14,0,0,1,1,,
M1,point_diagnostic,0.10000000000000001,prediction < tolerance; observed < tolerance,20,20,1,1,0.94999999999999996,0.94999999999999996,n2_pair_f0.8_d2.5,n3_linear_f1.0_d3.0
M1,conservative,0.01,prediction < tolerance; observed < tolerance,4,7,0,3,1,0.5714285714285714,,n3_linear_f0.1_d3.0;n4_irregular_f0.1_d3.0;n4_linear_f0.1_d3.0
M1,conservative,0.050000000000000003,prediction < tolerance; observed < tolerance,9,14,0,5,1,0.6428571428571429,,n3_irregular_f0.8_d4.0;n3_linear_f0.8_d4.0;n4_compact_f0.1_d2.1;n4_irregular_f0.1_d2.1;n4_linear_f0.1_d2.1
M1,conservative,0.10000000000000001,prediction < tolerance; observed < tolerance,14,20,0,6,1,0.69999999999999996,,n3_compact_f0.4_d2.5;n3_irregular_f1.0_d3.0;n3_linear_f1.0_d3.0;n4_compact_f0.4_d2.5;n4_irregular_f0.8_d3.0;n4_linear_f0.8_d3.0
M2,point_diagnostic,0.01,prediction < tolerance; observed < tolerance,7,7,0,0,1,1,,
M2,point_diagnostic,0.050000000000000003,prediction < tolerance; observed < tolerance,14,14,0,0,1,1,,
M2,point_diagnostic,0.10000000000000001,prediction < tolerance; observed < tolerance,20,20,1,1,0.94999999999999996,0.94999999999999996,n2_pair_f0.8_d2.5,n3_linear_f1.0_d3.0
M2,conservative,0.01,prediction < tolerance; observed < tolerance,4,7,0,3,1,0.5714285714285714,,n3_linear_f0.1_d3.0;n4_irregular_f0.1_d3.0;n4_linear_f0.1_d3.0
M2,conservative,0.050000000000000003,prediction < tolerance; observed < tolerance,9,14,0,5,1,0.6428571428571429,,n3_irregular_f0.8_d4.0;n3_linear_f0.8_d4.0;n4_compact_f0.1_d2.1;n4_irregular_f0.1_d2.1;n4_linear_f0.1_d2.1
M2,conservative,0.10000000000000001,prediction < tolerance; observed < tolerance,14,20,0,6,1,0.69999999999999996,,n3_compact_f0.4_d2.5;n3_irregular_f1.0_d3.0;n3_linear_f1.0_d3.0;n4_compact_f0.4_d2.5;n4_irregular_f0.8_d3.0;n4_linear_f0.8_d3.0
