case_id,particle_count,family,rho_band,f1,distance_ratio,rho_l1,reference_lmax_d,final_lmax_e,total_confirmed,interaction_confirmed,external_scattered_confirmed,scattered_scattered_confirmed,convergence_status,threshold_metric_applicable,threshold_metric_reason,mechanism_decomposition_applicable,mechanism_decomposition_reason,prediction_metric_applicable,prediction_metric_reason,rms_model_a,rms_model_d,rms_model_e_total,rms_model_e_external,rms_model_e_interaction,rms_model_e_external_scattered,rms_model_e_scattered_scattered,epsilon_a_t08,epsilon_a_e,epsilon_d_e,epsilon_a_e_external_scattered,epsilon_d_e_external_scattered,symmetric_rms_a_e,x_d_minus_a,x_mie_external,x_scattered_scattered,cancellation_ratio,cancellation_ratio_applicable,decomposition_max_abs_error,decomposition_relative_error,predicted_epsilon_a,prediction_factor,epsilon_a_e_over_epsilon_a_t08,ratio_t08_applicable,final_truncation_uncertainty,max_abs_interaction_fz,predicted_safe_1pct,observed_safe_1pct,false_safe_1pct,predicted_safe_5pct,observed_safe_5pct,false_safe_5pct,predicted_safe_10pct,observed_safe_10pct,false_safe_10pct,diagnostics_pass,finite
n2_pair_f1.0_d6.0,2,pair,1,1,6,0.0026995147661320832,5,8,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.015490972665714239,0.015539799386186257,0.015494792741881633,0,0.015494792741881633,0.01544726479112352,4.7527950758113122e-05,0.0031420431666203215,0.00024653935235086007,0.0029046302880174854,0.0028294895686539149,0.005990354688288204,0.000246569746923718,0.0031511696403683453,0.005971980174515004,0.0030673498864975134,49.44646599067913,true,8.1315162936412833e-20,1.9592875714323809e-14,0.0037369547404639235,15.157639966319506,0.078464661138327202,true,1.5685843691458139e-10,0,true,true,false,true,true,false,true,true,false,true,true
n2_pair_f1.0_d4.0,2,pair,2,1,4,0.0084143200111476638,7,9,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.075671032566280341,0.076568457704158793,0.077006223935809595,0,0.077006223935809595,0.07611744450765319,0.0008887794281564076,0.011720559154343639,0.017338746159560232,0.005684816230123328,0.0058647783600770283,0.0059252277769290679,0.017490376761007322,0.011653929929436905,0.0058568408299250795,0.011541657060048435,1.675578357976681,true,2.1684043449710089e-18,1.6240401147406427e-15,0.013182413238180894,1.315293781668226,1.4793446226611546,true,6.7499386807004969e-09,0,false,false,false,true,true,false,true,true,false,true,true
n2_pair_f0.8_d2.5,2,pair,3,0.80000000000000004,2.5,0.026387876003953037,9,13,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.31209785834128417,0.33279967563319524,0.35488781412980736,0,0.35488781412980736,0.33265074880490419,0.022237065324903143,0.062205040472239508,0.12057318984999543,0.062239777239950209,0.061785192239786679,0.00044769725853958595,0.1283084706452304,0.058333412610045224,0.00041964480706746125,0.062659422047017618,1.0069608311364993,true,2.0816681711721685e-17,4.1343295134068336e-16,0.046817991930159931,2.5753601314182539,1.9383186464415871,true,7.5674060261047798e-08,0,false,false,false,false,false,false,true,false,true,true,true
n2_pair_f1.0_d2.1,2,pair,4,1,2.1000000000000001,0.055167482766554234,13,13,false,false,false,false,unconfirmed,false,unconfirmed,false,unconfirmed,false,unconfirmed_or_unresolved,0.97642527555988634,1.2295999113479104,1.5947144158282127,0,1.5947144158282127,1.2224038067762444,0.37231060905196828,0.20590001141955952,0.38771151381811436,0.22895290897002421,0.20122526603140997,0.0058868473181900843,0.48094558404528082,0.15875860484809015,0.004512472264777764,0.23346538123480201,1.0232774736057735,true,1.1102230246251565e-16,1.2697072909952641e-16,0.1060606870531788,0,0,false,0.00028309361185921926,0,false,false,false,false,false,false,false,false,false,true,true
n3_compact_f0.4_d6.0,3,compact,1,0.40000000000000002,6,0.0021596118129056665,5,8,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.0042929842745084408,0.0043035004603103636,0.0043035031199523954,0,0.0043035031199523954,0.0042934149504086239,1.0088169543771079e-05,0.0024436353380021922,0.0024442518457082098,6.1801791643780341e-07,0.00010031080274281652,0.0023490647929988047,0.0024472426844323698,0.0024436338277917719,0.0023435581712442609,0.0023441761891606744,2.9176077746319256,true,4.2182240773264157e-19,3.1752053908124948e-14,0.0029178233438417606,1.1937490602554237,1.0002522912058236,true,5.9867128331011178e-11,0,true,true,false,true,true,false,true,true,false,true,true
n3_compact_f0.1_d2.1,3,compact,2,0.10000000000000001,2.1000000000000001,0.011033496553310861,9,13,true,true,true,false,unconfirmed,true,applicable,false,unconfirmed,true,applicable,0.016912181870641654,0.017398824822925547,0.0177936576062513,0,0.0177936576062513,0.017344321387632936,0.00044933621861836277,0.027969874818365166,0.049538760108543481,0.022189523484313745,0.02491533149860848,0.0031424368860851035,0.050796969553007179,0.027349236624229736,0.0030630821666178549,0.025252605650931553,1.1236640626413081,true,1.7347234759768071e-18,1.3788275709256699e-15,0.017803290590136703,2.7825620133386306,1.7711470083525749,true,5.7162694466491056e-07,0,false,false,false,true,true,false,true,true,false,true,true
n3_compact_f0.4_d2.5,3,compact,3,0.40000000000000002,2.5,0.026387876003953033,9,12,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.13514233689513458,0.1423236833123086,0.14898736337264681,0,0.14898736337264681,0.14202561485455836,0.006961748518088443,0.050457845455106592,0.092927521932736554,0.044726478202524109,0.048465046016330372,0.0020986950702903337,0.097455679321548,0.048201043730212445,0.0020006291205025705,0.046727107323026686,1.0430578386013714,true,3.4694469519536142e-18,2.2875776134473125e-16,0.046817991930159925,1.9848677421141827,1.8416862847506266,true,1.029557129470023e-07,0,false,false,false,false,false,false,true,true,false,true,true
n3_compact_f0.8_d2.1,3,compact,4,0.80000000000000004,2.1000000000000001,0.088267972426486929,13,13,false,false,false,false,unconfirmed,false,unconfirmed,false,unconfirmed,false,unconfirmed_or_unresolved,1.0823796397210659,1.4172790480480504,1.855571767196446,0,1.855571767196446,1.4167304304700421,0.43884133672640413,0.23629743824141414,0.41668672758671244,0.23620359335958493,0.2360017005056109,0.00038724203716466765,0.52634779843864776,0.18048313422712753,0.00029565958466661372,0.23649925294425156,1.0014190976822275,true,0,0,0.17860485029728018,0,0,false,0.00010747888176258163,0,false,false,false,false,false,false,false,false,false,true,true
n3_irregular_f0.1_d3.0,3,irregular,1,0.10000000000000001,3,0.0028389581530360573,7,11,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.0027270950277445399,0.0027392493250438868,0.0027411256490062872,0,0.0027411256490062872,0.0027299623020864152,1.1267811489854884e-05,0.0044527360171864091,0.0051835772263992899,0.00089960498435453422,0.0011208548514119027,0.0034019862952069592,0.0051968774959282524,0.0044496880812808373,0.0033881315661310365,0.004110651218757407,2.305062767333196,true,8.3856261778175734e-20,5.5934540883986063e-15,0.0039515917324717308,1.3117694279507335,1.1641330647925281,true,1.2726212674266738e-09,0,true,true,false,true,true,false,true,true,false,true,true
n3_irregular_f0.8_d4.0,3,irregular,2,0.80000000000000004,4,0.009938913727557815,7,9,true,true,true,true,confirmed,true,applicable,true,applicable,true,applicable,0.056020793686439481,0.056743385426347707,0.05741232982860419,0,0.05741232982860419,0.0567050442261407,0.00071299413594433511,0.012776729547344681,0.024302660006384553,0.011758574977910658,0.012112077177626026,0.00067634345861795106,0.024600791880934756,0.012627860450142796,0.00066801131128951243,0.012418832994112432,1.0581024772098704,true,2.1684043449710089e-18,1.1278479246816863e-15,0.015855756556110882,1.5327341789325213,1.9021033447041418,true,3.6359274760413541e-09,0,false,false,false,true,true,false,true,true,false,true,true
