case_id,particle_count,family,rho_band,f1,distance_ratio,rho_l1,coordinates_xyz,lmax,final_lmax,system_dimension,active_modes_per_particle,balanced_condition_number,balanced_backward_error,effective_incident_closure_error,scattering_closure_error,force_decomposition_residual,max_abs_fz,total_forces_xyz,external_forces_xyz,interaction_forces_xyz,external_scattered_forces_xyz,scattered_scattered_forces_xyz,production_solver,finite,campaign_complete,total_rms,total_successive_change,total_absolute_change,total_change_applicable,total_minimum_confirmed_lmax,total_confirmed,interaction_rms,interaction_successive_change,interaction_absolute_change,interaction_change_applicable,interaction_minimum_confirmed_lmax,interaction_confirmed,external_scattered_rms,external_scattered_successive_change,external_scattered_absolute_change,external_scattered_change_applicable,external_scattered_minimum_confirmed_lmax,external_scattered_confirmed,scattered_scattered_rms,scattered_scattered_successive_change,scattered_scattered_absolute_change,scattered_scattered_change_applicable,scattered_scattered_minimum_confirmed_lmax,scattered_scattered_confirmed
n2_pair_f1.0_d6.0,2,pair,1,1,6,0.0026995147661320832,-3:0:0;3:0:0,2,8,6,3,1.0059088807334462,1.7937269726595232e-17,2.8799119948568573e-17,1.2772456820507234e-16,0,0,0.01547260698449225:0:0;-0.01547260698449225:1.898424698527326e-18:0,0:0:0;0:0:0,0.01547260698449225:0:0;-0.01547260698449225:1.898424698527326e-18:0,0.015431024175124677:0:0;-0.015431024175124677:1.8934024109650843e-18:0,4.1582809367572755e-05:0:0;-4.1582809367572748e-05:5.0222875622416023e-21:0,balanced_sqrt,true,true,0.01547260698449225,0,0,false,6,true,0.01547260698449225,0,0,false,6,true,0.015431024175124677,0,0,false,6,true,4.1582809367572755e-05,0,0,false,8,true
n2_pair_f1.0_d6.0,2,pair,1,1,6,0.0026995147661320832,-3:0:0;3:0:0,3,8,12,6,1.0059432171577032,2.4002676787130596e-17,1.7137194445787977e-17,1.4048172542062475e-16,0,0,0.015493292024189843:-1.6757478796440993e-21:0;-0.015493292024189843:1.8974314788883304e-18:0,0:0:0;0:0:0,0.015493292024189843:-1.6757478796440993e-21:0;-0.015493292024189843:1.8974314788883304e-18:0,0.015446203994870244:-1.6757012539770055e-21:0;-0.015446203994870244:1.8915252758334693e-18:0,4.7088029319599978e-05:-4.6625667093873228e-26:0;-4.7088029319599978e-05:5.9062030548609544e-21:0,balanced_sqrt,true,true,0.015493292024189843,0.0013350964833876396,2.0685039697593624e-05,true,6,true,0.015493292024189843,0.0013350964833876396,2.0685039697593624e-05,true,6,true,0.015446203994870244,0.0009827540637562754,1.5179819745567147e-05,true,6,true,4.7088029319599978e-05,0.11691336485249186,5.505219952027226e-06,true,8,true
n2_pair_f1.0_d6.0,2,pair,1,1,6,0.0026995147661320832,-3:0:0;3:0:0,4,8,20,10,1.0059450163304202,1.1303924949815633e-17,4.8742042957154498e-18,1.0088165389587682e-16,8.4866362697470367e-38,0,0.015494765834943311:5.220045423708486e-26:0;-0.015494765834943308:1.8992875987207125e-18:0,0:0:0;0:0:0,0.015494765834943311:5.220045423708486e-26:0;-0.015494765834943308:1.8992875987207125e-18:0,0.015447263332654343:2.0956368391798096e-22:0;-0.015447263332654339:1.8935413449281866e-18:0,4.7502502288969085e-05:-2.0951148346374387e-22:0;-4.7502502288969078e-05:5.746253792525955e-21:0,balanced_sqrt,true,true,0.01549476583494331,9.5116684509197712e-05,1.4738107534661982e-06,true,6,true,0.01549476583494331,9.5116684509197712e-05,1.4738107534661982e-06,true,6,true,0.015447263332654341,6.8577699575927045e-05,1.0593377840970031e-06,true,6,true,4.7502502288969085e-05,0.0087252870774631071,4.1447296936910361e-07,true,8,true
n2_pair_f1.0_d6.0,2,pair,1,1,6,0.0026995147661320832,-3:0:0;3:0:0,5,8,30,15,1.0059450993156058,1.9098217289031319e-17,4.4882694920755279e-19,9.192622753306302e-17,0,0,0.015494791404825084:-1.6762277183068201e-21:0;-0.015494791404825086:1.8992889178810642e-18:0,0:0:0;0:0:0,0.015494791404825084:-1.6762277183068201e-21:0;-0.015494791404825086:1.8992889178810642e-18:0,0.015447264724967796:-1.6759688206264172e-21:0;-0.015447264724967798:1.8931209381230611e-18:0,4.7526679857287463e-05:-2.5889768040282949e-25:0;-4.7526679857287463e-05:6.1679797580030074e-21:0,balanced_sqrt,true,true,0.015494791404825084,1.6502243306960043e-06,2.5569881775301673e-08,true,6,true,0.015494791404825084,1.6502243306960043e-06,2.5569881775301673e-08,true,6,true,0.015447264724967798,9.0133333063000822e-08,1.3923134563678663e-09,true,6,true,4.7526679857287463e-05,0.0005087157022325491,2.4177568318381538e-08,true,8,true
n2_pair_f1.0_d6.0,2,pair,1,1,6,0.0026995147661320832,-3:0:0;3:0:0,6,8,42,21,1.0059451028521769,1.4320028280753664e-17,1.4534275823715669e-20,1.007257738740146e-16,8.5830128226781547e-36,0,0.015494792681967521:-1.673598529695223e-21:0;-0.015494792681967524:1.9043125212941388e-18:0,0:0:0;0:0:0,0.015494792681967521:-1.673598529695223e-21:0;-0.015494792681967524:1.9043125212941388e-18:0,0.015447264788701502:-1.4648281777250427e-21:0;-0.015447264788701506:1.8985636238366847e-18:0,4.752789326601932e-05:-2.0877035197018023e-22:0;-4.7527893266019334e-05:5.7488974574540157e-21:0,balanced_sqrt,true,true,0.015494792681967523,8.2423977140318267e-08,1.2771424378124618e-09,true,6,true,0.015494792681967523,8.2423977140318267e-08,1.2771424378124618e-09,true,6,true,0.015447264788701504,4.125889440756946e-09,6.3733706680280111e-11,true,6,true,4.7527893266019327e-05,2.5530454823074607e-05,1.2134087318640182e-09,true,8,true
n2_pair_f1.0_d6.0,2,pair,1,1,6,0.0026995147661320832,-3:0:0;3:0:0,7,8,56,28,1.0059451029948825,1.9288221906775747e-17,8.145192719558964e-22,8.7934588992020719e-17,0,0,0.015494792739451143:-3.3502247189296882e-21:0;-0.015494792739451146:1.9009652917360865e-18:0,0:0:0;0:0:0,0.015494792739451143:-3.3502247189296882e-21:0;-0.015494792739451146:1.9009652917360865e-18:0,0.01544726479102991:-3.350246902585107e-21:0;-0.015447264791029914:1.8952154321285238e-18:0,4.752794842123242e-05:2.2183655418974577e-26:0;-4.7527948421232433e-05:5.7498596075628146e-21:0,balanced_sqrt,true,true,0.015494792739451145,3.7098671144342384e-09,5.7483622029064207e-11,true,6,true,0.015494792739451145,3.7098671144342384e-09,5.7483622029064207e-11,true,6,true,0.015447264791029912,1.5073272394820934e-10,2.3284082995012056e-12,true,6,true,4.7527948421232426e-05,1.1604795690009354e-06,5.5155213099370489e-11,true,8,true
n2_pair_f1.0_d6.0,2,pair,1,1,6,0.0026995147661320832,-3:0:0;3:0:0,8,8,72,36,1.0059451030004141,2.2585767032613295e-17,2.8076456086856401e-23,8.7220650479321287e-17,0,0,0.015494792741881631:-1.6745607495563353e-21:0;-0.015494792741881636:1.8976160175898923e-18:0,0:0:0;0:0:0,0.015494792741881631:-1.6745607495563353e-21:0;-0.015494792741881636:1.8976160175898923e-18:0,0.015447264791123518:-1.6740787866123042e-21:0;-0.015447264791123523:1.8918654158074057e-18:0,4.7527950758113115e-05:-4.8196294403111415e-25:0;-4.7527950758113129e-05:5.7506017824867181e-21:0,balanced_sqrt,true,true,0.015494792741881633,1.5685843691458139e-10,2.4304889698069535e-12,true,6,true,0.015494792741881633,1.5685843691458139e-10,2.4304889698069535e-12,true,6,true,0.01544726479112352,6.0598612193617078e-12,9.3608280852940946e-14,true,6,true,4.7527950758113122e-05,4.9168555733180425e-08,2.33688069573414e-12,true,8,true
n2_pair_f1.0_d4.0,2,pair,2,1,4,0.0084143200111476638,-2:0:0;2:0:0,2,9,6,3,1.0211028054970268,2.526398035232043e-17,1.260529742568839e-17,9.9753423833807307e-17,0,0,0.076630091199016911:1.0044575124483205e-20:0;-0.076630091199016884:9.3883295496836367e-18:0,0:0:0;0:0:0,0.076630091199016911:1.0044575124483205e-20:0;-0.076630091199016884:9.3883295496836367e-18:0,0.075986131748789584:1.0044575124483205e-20:0;-0.075986131748789557:9.3096470445418511e-18:0,0.00064395945022732519:0:0;-0.00064395945022732487:7.868250514178511e-20:0,balanced_sqrt,true,true,0.076630091199016898,0,0,false,7,true,0.076630091199016898,0,0,false,7,true,0.07598613174878957,0,0,false,6,true,0.00064395945022732498,0,0,false,9,true
n2_pair_f1.0_d4.0,2,pair,2,1,4,0.0084143200111476638,-2:0:0;2:0:0,3,9,12,6,1.0218212213450577,1.9510869588104129e-17,2.3559091815707894e-17,9.237341617731947e-17,0,0,0.076948538681904224:1.0061699390045563e-20:0;-0.076948538681904211:9.4249206227089992e-18:0,0:0:0;0:0:0,0.076948538681904224:1.0061699390045563e-20:0;-0.076948538681904211:9.4249206227089992e-18:0,0.076100460867329828:1.0053137257264385e-20:0;-0.076100460867329814:9.3212876618485818e-18:0,0.0008480778145743956:8.5621327811783423e-24:0;-0.00084807781457439538:1.0363296086041714e-19:0,balanced_sqrt,true,true,0.076948538681904224,0.0041384474395770206,0.00031844748288731989,true,7,true,0.076948538681904224,0.0041384474395770206,0.00031844748288731989,true,7,true,0.076100460867329814,0.0015023446275780996,0.00011432911854025035,true,6,true,0.00084807781457439549,0.2406835326184148,0.00020411836434707046,true,9,true
n2_pair_f1.0_d4.0,2,pair,2,1,4,0.0084143200111476638,-2:0:0;2:0:0,4,9,20,10,1.0219184666604457,1.5911201602926744e-17,1.4220049529978152e-18,1.0115925254589359e-16,0,0,0.077000338238756919:8.4180002118217921e-21:0;-0.077000338238756919:9.4373919498721292e-18:0,0:0:0;0:0:0,0.077000338238756919:8.4180002118217921e-21:0;-0.077000338238756919:9.4373919498721292e-18:0,0.076116853801308698:6.7042614642707888e-21:0;-0.076116853801308698:9.3311007090829577e-18:0,0.00088348443744822437:1.7137387475510029e-21:0;-0.00088348443744822426:1.0629124078917198e-19:0,balanced_sqrt,true,true,0.077000338238756919,0.00067271856250922994,5.1799556852701045e-05,true,7,true,0.077000338238756919,0.00067271856250922994,5.1799556852701045e-05,true,7,true,0.076116853801308698,0.00021536536470186473,1.6392933978877366e-05,true,6,true,0.00088348443744822437,0.040076113820515138,3.5406622873828829e-05,true,9,true
