sentinel_order,case_id,split,particle_count,family,rho_band,f0,f1,ka,distance_ratio,rho_l1,reference_lmax,source,validated
1,n2_pair_f1.0_d6.0,calibration,2,pair,1,0,1,0.10000000000000001,6,0.0026995147661320832,5,pre_registered_t08_calibration,true
2,n2_pair_f1.0_d4.0,calibration,2,pair,2,0,1,0.10000000000000001,4,0.0084143200111476638,7,pre_registered_t08_calibration,true
3,n2_pair_f0.8_d2.5,calibration,2,pair,3,0,0.80000000000000004,0.10000000000000001,2.5,0.026387876003953037,9,pre_registered_t08_calibration,true
4,n2_pair_f1.0_d2.1,calibration,2,pair,4,0,1,0.10000000000000001,2.1000000000000001,0.055167482766554234,13,pre_registered_t08_calibration,true
5,n3_compact_f0.4_d6.0,calibration,3,compact,1,0,0.40000000000000002,0.10000000000000001,6,0.0021596118129056665,5,pre_registered_t08_calibration,true
6,n3_compact_f0.1_d2.1,calibration,3,compact,2,0,0.10000000000000001,0.10000000000000001,2.1000000000000001,0.011033496553310861,9,pre_registered_t08_calibration,true
7,n3_compact_f0.4_d2.5,calibration,3,compact,3,0,0.40000000000000002,0.10000000000000001,2.5,0.026387876003953033,9,pre_registered_t08_calibration,true
8,n3_compact_f0.8_d2.1,calibration,3,compact,4,0,0.80000000000000004,0.10000000000000001,2.1000000000000001,0.088267972426486929,13,pre_registered_t08_calibration,true
9,n3_irregular_f0.1_d3.0,calibration,3,irregular,1,0,0.10000000000000001,0.10000000000000001,3,0.0028389581530360573,7,pre_registered_t08_calibration,true
10,n3_irregular_f0.8_d4.0,calibration,3,irregular,2,0,0.80000000000000004,0.10000000000000001,4,0.009938913727557815,7,pre_registered_t08_calibration,true
11,n3_irregular_f1.0_d3.0,calibration,3,irregular,3,0,1,0.10000000000000001,3,0.028389581530360551,7,pre_registered_t08_calibration,true
12,n3_irregular_f1.0_d2.1,calibration,3,irregular,4,0,1,0.10000000000000001,2.1000000000000001,0.080676724779565265,13,pre_registered_t08_calibration,true
13,n3_linear_f0.1_d3.0,calibration,3,linear,1,0,0.10000000000000001,0.10000000000000001,3,0.0028723477911963041,7,pre_registered_t08_calibration,true
14,n3_linear_f0.8_d4.0,calibration,3,linear,2,0,0.80000000000000004,0.10000000000000001,4,0.010030161281933956,7,pre_registered_t08_calibration,true
15,n3_linear_f1.0_d3.0,calibration,3,linear,3,0,1,0.10000000000000001,3,0.028723477911963061,7,pre_registered_t08_calibration,true
16,n3_linear_f1.0_d2.1,calibration,3,linear,4,0,1,0.10000000000000001,2.1000000000000001,0.081763586247051059,13,pre_registered_t08_calibration,true
17,n4_compact_f0.4_d6.0,calibration,4,compact,1,0,0.40000000000000002,0.10000000000000001,6,0.0025876432840475539,5,pre_registered_t08_calibration,true
18,n4_compact_f0.1_d2.1,calibration,4,compact,2,0,0.10000000000000001,0.10000000000000001,2.1000000000000001,0.013024703240875866,9,pre_registered_t08_calibration,true
19,n4_compact_f0.4_d2.5,calibration,4,compact,3,0,0.40000000000000002,0.10000000000000001,2.5,0.031187722478002788,9,pre_registered_t08_calibration,true
20,n4_compact_f1.0_d2.5,calibration,4,compact,4,0,1,0.10000000000000001,2.5,0.077969306195006943,9,pre_registered_t08_calibration,true
21,n4_irregular_f0.1_d3.0,calibration,4,irregular,1,0,0.10000000000000001,0.10000000000000001,3,0.003408578045201502,7,pre_registered_t08_calibration,true
22,n4_irregular_f0.1_d2.1,calibration,4,irregular,2,0,0.10000000000000001,0.10000000000000001,2.1000000000000001,0.0096526293793164769,9,pre_registered_t08_calibration,true
23,n4_irregular_f0.8_d3.0,calibration,4,irregular,3,0,0.80000000000000004,0.10000000000000001,3,0.027268624361612016,7,pre_registered_t08_calibration,true
24,n4_irregular_f0.8_d2.1,calibration,4,irregular,4,0,0.80000000000000004,0.10000000000000001,2.1000000000000001,0.077221035034531815,11,pre_registered_t08_calibration,true
25,n4_linear_f0.1_d3.0,calibration,4,linear,1,0,0.10000000000000001,0.10000000000000001,3,0.0034000806868721262,7,pre_registered_t08_calibration,true
26,n4_linear_f0.1_d2.1,calibration,4,linear,2,0,0.10000000000000001,0.10000000000000001,2.1000000000000001,0.0096598744644465964,9,pre_registered_t08_calibration,true
27,n4_linear_f0.8_d3.0,calibration,4,linear,3,0,0.80000000000000004,0.10000000000000001,3,0.027200645494976996,7,pre_registered_t08_calibration,true
28,n4_linear_f0.8_d2.1,calibration,4,linear,4,0,0.80000000000000004,0.10000000000000001,2.1000000000000001,0.077278995715572771,13,pre_registered_t08_calibration,true
