record_type,scope,tolerance,eligible_count,predicted_safe_count,observed_safe_count,false_safe_count,false_unsafe_count,worst_predicted_safe_error,max_rho_observed_safe,point_count,rmse_log,median_factor,p90_factor,maximum_factor,fraction_within_factor_2,spearman,t12_gate_supported,gate_recommendation,gate_failed_conditions
threshold,all,0.01,22,7,7,0,0,0.005814217887209692,0.003408578045201502,0,0,0,0,0,0,0,false,not_applicable,none
threshold,n2,0.01,3,1,1,0,0,0.00024653935235086007,0.0026995147661320832,0,0,0,0,0,0,0,false,not_applicable,none
threshold,n3,0.01,9,3,3,0,0,0.0051835772263992899,0.0028723477911963041,0,0,0,0,0,0,0,false,not_applicable,none
threshold,n4,0.01,10,3,3,0,0,0.005814217887209692,0.003408578045201502,0,0,0,0,0,0,0,false,not_applicable,none
threshold,family_pair,0.01,3,1,1,0,0,0.00024653935235086007,0.0026995147661320832,0,0,0,0,0,0,0,false,not_applicable,none
threshold,family_compact,0.01,7,2,2,0,0,0.0031926701180250575,0.0025876432840475539,0,0,0,0,0,0,0,false,not_applicable,none
threshold,family_irregular,0.01,6,2,2,0,0,0.005814217887209692,0.003408578045201502,0,0,0,0,0,0,0,false,not_applicable,none
threshold,family_linear,0.01,6,2,2,0,0,0.0053580309428356964,0.0034000806868721262,0,0,0,0,0,0,0,false,not_applicable,none
threshold,all,0.050000000000000003,22,14,14,0,0,0.049538760108543481,0.013024703240875866,0,0,0,0,0,0,0,false,not_applicable,none
threshold,n2,0.050000000000000003,3,2,2,0,0,0.017338746159560232,0.0084143200111476638,0,0,0,0,0,0,0,false,not_applicable,none
threshold,n3,0.050000000000000003,9,6,6,0,0,0.049538760108543481,0.011033496553310861,0,0,0,0,0,0,0,false,not_applicable,none
threshold,n4,0.050000000000000003,10,6,6,0,0,0.04746948171488434,0.013024703240875866,0,0,0,0,0,0,0,false,not_applicable,none
threshold,family_pair,0.050000000000000003,3,2,2,0,0,0.017338746159560232,0.0084143200111476638,0,0,0,0,0,0,0,false,not_applicable,none
threshold,family_compact,0.050000000000000003,7,4,4,0,0,0.049538760108543481,0.013024703240875866,0,0,0,0,0,0,0,false,not_applicable,none
threshold,family_irregular,0.050000000000000003,6,4,4,0,0,0.034262702514618527,0.009938913727557815,0,0,0,0,0,0,0,false,not_applicable,none
threshold,family_linear,0.050000000000000003,6,4,4,0,0,0.035973421980435023,0.010030161281933956,0,0,0,0,0,0,0,false,not_applicable,none
threshold,all,0.10000000000000001,22,21,20,1,0,0.12057318984999543,0.031187722478002788,0,0,0,0,0,0,0,false,not_applicable,none
threshold,n2,0.10000000000000001,3,3,2,1,0,0.12057318984999543,0.0084143200111476638,0,0,0,0,0,0,0,false,not_applicable,none
threshold,n3,0.10000000000000001,9,9,9,0,0,0.092927521932736554,0.028723477911963061,0,0,0,0,0,0,0,false,not_applicable,none
threshold,n4,0.10000000000000001,10,9,9,0,0,0.093113854637331059,0.031187722478002788,0,0,0,0,0,0,0,false,not_applicable,none
threshold,family_pair,0.10000000000000001,3,3,2,1,0,0.12057318984999543,0.0084143200111476638,0,0,0,0,0,0,0,false,not_applicable,none
threshold,family_compact,0.10000000000000001,7,6,6,0,0,0.093113854637331059,0.031187722478002788,0,0,0,0,0,0,0,false,not_applicable,none
threshold,family_irregular,0.10000000000000001,6,6,6,0,0,0.079071602542228225,0.028389581530360551,0,0,0,0,0,0,0,false,not_applicable,none
threshold,family_linear,0.10000000000000001,6,6,6,0,0,0.075481561368781022,0.028723477911963061,0,0,0,0,0,0,0,false,not_applicable,none
frozen_prediction_performance,all_applicable,0,0,0,0,0,0,0,0,22,0.78100497471268693,1.4773270018337583,2.5519818159527858,15.157639966319506,0.72727272727272729,0.95031055900621131,false,not_applicable,none
gate,t12,0,0,0,0,0,0,0,0,22,0.78100497471268693,1.4773270018337583,2.5519818159527858,15.157639966319506,0.72727272727272729,0.95031055900621131,false,NO-GO_T13,interaction_coverage;rmse_log;factor_two
