holdout_order,case_id,particle_count,family,stratum,target_level,f1,distance_ratio,lambda_max,rho_l1,model_d_lmax,model_e_final_lmax,model_e_extended_beyond_13,interaction_confirmed,diagnostics_pass,error_applicable,eligible,ineligibility_reason,epsilon_a_e,epsilon_d_e,epsilon_a_external_scattered,epsilon_d_external_scattered,m1_point_prediction,m1_conservative_prediction,p3_point_prediction,p3_conservative_prediction,m1_log_residual,lambda_development_min,lambda_development_max,lambda_extrapolation,rms_model_e_interaction,x_d_minus_a,x_mie_external,x_scattered_scattered,cancellation_ratio,cancellation_ratio_applicable,mechanism_mu_dm,mechanism_mu_dm_applicable,mechanism_mu_ds,mechanism_mu_ds_applicable,mechanism_mu_ms,mechanism_mu_ms_applicable,mechanism_projection_sum,mechanism_closure_rms,force_identity_relative_error,force_identity_max_abs_error,maximum_balanced_condition,maximum_backward_error,maximum_effective_incident_closure_error,maximum_scattering_closure_error,maximum_force_decomposition_residual,maximum_abs_fz
1,n6_linear_f0.1_d4.0,6,linear,n6_linear,1,0.10000000000000001,4,0.003573495370370371,0.001732512316638866,5,9,false,true,true,true,true,eligible,0.00072247737430535777,0.0021481106423349703,0.0015107727272769863,0.0034866259012155607,0.0018016882907731968,0.0046302854191289404,0.0017381388571367491,0.0035570003729585124,0.91379333995656664,0.003703703703703703,0.21595939963286898,true,0.00047918406602333373,0.0022086075356849595,0.0034819702849029381,0.0013381586880753171,9.7286596904451894,true,-0.95742105335503669,true,0.97368159603708515,true,-0.9980200181333162,true,0.99999999999999856,4.3674075199224144e-21,1.2615553823630655e-14,7.6232965252887031e-21,1.003289802873182,8.3278187602624062e-17,2.0430584302131605e-17,5.6706700447469605e-16,2.0029743131754586e-35,0
2,n6_linear_f1.0_d6.0,6,linear,n6_linear,2,1,6,0.010588134430727021,0.0055972766743282833,5,8,false,true,true,true,true,eligible,0.0048990037966583962,0.0022955946385018306,0.0024830539289153347,0.0060065465687118031,0.0081396461229716836,0.020918648887866702,0.009218091158167338,0.018864288979523754,0.5077148275904898,0.003703703703703703,0.21595939963286898,false,0.010008015027967453,0.0067888746738948994,0.0059842764300518441,0.0037202719959113224,3.3666891850764045,true,-0.93264810544917842,true,0.95860870887699612,true,-0.99676508587130219,true,0.99999999999998557,9.1226118558569663e-19,1.8607158739199495e-14,1.6127507315721878e-18,1.010160635333665,3.9092103053363499e-17,2.5730568982222177e-17,2.4293501377788916e-16,0,0
3,n6_linear_f0.1_d2.1,6,linear,n6_linear,3,0.10000000000000001,2.1000000000000001,0.024695357272832699,0.011194361890108773,9,13,false,true,true,true,true,eligible,0.036488707171682608,0.016129072522675664,0.017601320264307125,0.0031691430383468007,0.026377803717325062,0.067790172454614911,0.024711033224401886,0.050569696451169287,-0.32447993193481323,0.003703703703703703,0.21595939963286898,false,0.0063570608564039177,0.020364992361124507,0.0031082073128927382,0.019236567423828201,1.1704927471639979,true,-0.99833666011060052,true,0.99926920909889905,true,-0.99980782658218204,true,0.99999999999999978,7.453288325659555e-20,3.4526632147679535e-16,1.6263032587282567e-19,1.0530813076978989,5.849126966632353e-17,2.053467675611574e-17,5.1473663988035975e-16,0,0
4,n6_linear_f0.8_d3.0,6,linear,n6_linear,4,0.80000000000000004,3,0.067764060356652944,0.031607864889256015,7,11,false,true,true,true,true,eligible,0.070159940781062829,0.031080464155287885,0.039992207479184534,0.0005696716904895155,0.1071207579310927,0.27529716770347684,0.10819714442051745,0.22141918148634299,0.42317927288284002,0.003703703703703703,0.21595939963286898,false,0.10230060836905533,0.039271867123714305,0.00055168536006185967,0.031631834388946692,1.0184641845081159,true,-0.98329568452111671,true,0.98883779708026132,true,-0.99943875272027227,true,1.0000000000000004,2.5233917574586943e-18,3.9775338387918681e-16,6.9388939039072284e-18,1.0700128371415576,4.7262022463196399e-17,1.2434702289627503e-17,3.6860924989650369e-16,0,0
5,n6_compact_f0.8_d10.0,6,compact,n6_compact,1,0.80000000000000004,10,0.0033539600717839005,0.0020086992910548617,5,6,false,true,true,true,true,eligible,0.0033779971460046305,0.0011713217127522224,0.0014904725179009249,0.00078251683147838476,0.0016498736805339472,0.0042401263778555623,0.0021452284033942745,0.0043900855214321285,-0.71658424577831581,0.003703703703703703,0.21595939963286898,true,0.0028803227511328129,0.0022686888956278853,0.00078106593793286468,0.0019124685633309815,1.4689838926480046,true,-0.99992778278510763,true,0.97211942974883125,true,-0.96923120024455778,true,1.0000000000000071,1.6074472770492045e-19,1.649284869870013e-14,2.0328790734103208e-19,1.0027908935554921,3.570080165649564e-17,2.7733696873772286e-17,2.362820611644497e-16,0,0
6,n6_compact_f0.1_d3.0,6,compact,n6_compact,2,0.10000000000000001,3,0.015527592924925459,0.006784012632833139,7,10,false,true,true,true,true,eligible,0.014523333654409769,0.0048281639310946024,0.0064731186256254628,0.0033984277565789148,0.013850598943542694,0.035595628091120032,0.012118430077559555,0.024799664381566531,-0.047428096849426032,0.003703703703703703,0.21595939963286898,false,0.004565134111398932,0.0097776558178432355,0.0033712993298495768,0.0081086862179283892,1.4636888383519766,true,-0.99706392755292017,true,0.99482150740567454,true,-0.9841178896036461,true,0.99999999999999689,2.698266407496749e-19,4.0703122918247032e-15,3.5236570605778894e-19,1.0122398487560391,6.2027997778700105e-17,4.4583328514894737e-17,4.4373279857162366e-16,0,0
7,n6_compact_f0.4_d4.0,6,compact,n6_compact,3,0.40000000000000002,4,0.026202813060811729,0.011856915750418511,7,9,false,true,true,true,true,eligible,0.025657574156579394,0.010613861331060714,0.013070566272546495,0.0022945637967077626,0.028639455333059765,0.073602549963596609,0.026817475320429426,0.054880408043871454,0.10994650742801225,0.003703703703703703,0.21595939963286898,false,0.02372599888469305,0.015168960784432804,0.0022657525377696376,0.012821571931179259,1.1792340565299724,true,-0.99878348377225257,true,0.98774858356267126,true,-0.97885184588800123,true,0.99999999999999944,1.2097481005456251e-18,2.015328441694464e-15,1.5178830414797062e-18,1.0190543025807592,6.5598440373488925e-17,2.6992103759251011e-17,3.5125059537834916e-16,0,0
8,n6_compact_f1.0_d4.0,6,compact,n6_compact,4,1,4,0.065507032652029312,0.0296422893760463,7,9,false,true,true,true,true,eligible,0.063578804727576835,0.026605576815161937,0.03247677573970801,0.0060183920654321484,0.10219950357344977,0.26264969010554018,0.098752350380616541,0.20209095820630801,0.47464666455257165,0.003703703703703703,0.21595939963286898,false,0.15423931423306844,0.037267737713535809,0.0058278649708825301,0.032290042815554025,1.1857040380514483,true,-0.99873026576896407,true,0.98861572810657217,true,-0.97978058208809304,true,1,9.8258470040774209e-18,9.5604029965305917e-16,1.0408340855860843e-17,1.0489115896451784,3.8017662176379004e-17,2.156897703376969e-17,2.4049125037162814e-16,0,0
9,n6_irregular_f1.0_d10.0,6,irregular,n6_irregular,1,1,10,0.0034146865344347188,0.0018938801579050119,5,6,false,true,true,true,true,eligible,0.0022204293222727548,0.004311214203203087,0.0039060208999673802,0.0060385979205485928,0.0016914926724152875,0.0043470859514143801,0.0019729093520398323,0.0040374445759639929,-0.272089188372936,0.003703703703703703,0.21595939963286898,true,0.0030522600280767876,0.0021377356128180901,0.0060280685170860078,0.0018078011841472215,4.4917463546386074,true,-0.99731698893145615,true,0.96743618113984409,true,-0.96439972347387426,true,1.0000000000000013,1.4131108825443372e-19,2.0838276567961087e-14,1.6347735882007997e-19,1.0028079124430513,3.0206188820839023e-17,2.3903356718865103e-17,1.2352146469907852e-16,0,0
10,n6_irregular_f0.1_d3.0,6,irregular,n6_irregular,2,0.10000000000000001,3,0.012646987164573027,0.0049475877137842893,7,10,false,true,true,true,true,eligible,0.0096670929006243567,0.0027128677981893934,0.0037877727214441778,0.0034273775704070108,0.010416983697607705,0.026771338845543207,0.0077341168550775505,0.015827421626908131,0.074709888507180078,0.003703703703703703,0.21595939963286898,false,0.002974455553060511,0.0071343548500487986,0.0034075950643539508,0.005918600339459559,1.7027404642815827,true,-0.99396692688634558,true,0.98900980107395919,true,-0.97385724683125441,true,1.0000000000000007,1.288363982539419e-19,4.4737417568372812e-15,1.9481757786848908e-19,1.0094900861826401,4.6775028906899473e-17,2.5637255761995129e-17,4.3911695779167948e-16,0,0
11,n6_irregular_f0.1_d2.5,6,irregular,n6_irregular,3,0.10000000000000001,2.5,0.021853993820382198,0.0084023111035292902,7,12,false,true,true,true,true,eligible,0.021183296979520577,0.0080420961668607113,0.010079338335959951,0.0033502343116436338,0.022260670103660889,0.057209261296129368,0.016429631412029265,0.033622287897313356,0.049608456068890514,0.003703703703703703,0.21595939963286898,false,0.0061959452139580956,0.013241409793936263,0.003313481388870285,0.011235356417479251,1.3118943489841377,true,-0.99074052731276663,true,0.99366721340825004,true,-0.97422371139150876,true,0.99999999999999956,2.5226494874536929e-19,1.8767391831029283e-15,3.5236570605778894e-19,1.0190425646538024,5.4844610258015864e-17,3.2904165488260056e-17,3.3784778476746127e-16,0,0
12,n6_irregular_f1.0_d4.0,6,irregular,n6_irregular,4,1,4,0.053354477100542468,0.021751039794110992,7,9,false,true,true,true,true,eligible,0.045694660605234048,0.018234417666056615,0.022506180022063806,0.0060099524676280932,0.076863864657965547,0.19753785025207801,0.063576715556131397,0.13010606144388426,0.52005441035458211,0.003703703703703703,0.21595939963286898,false,0.099417684089332367,0.027825976764878538,0.005870081169682558,0.023895684363722261,1.2603604345774824,true,-0.99643687943982473,true,0.98262875744760458,true,-0.97301048572506876,true,1.0000000000000002,4.1436911803775976e-18,9.1171358553646419e-16,6.0715321659188248e-18,1.0382348767991409,3.7347949694759941e-17,2.5058191078955135e-17,2.5189786757434501e-16,5.6987679979584244e-17,0
13,n10_linear_f0.1_d4.0,10,linear,n10_linear,1,0.10000000000000001,4,0.0036926938657407412,0.0019210938400393322,5,9,false,true,true,true,true,eligible,0.00078383804537082203,0.0021482563959411708,0.0015120367478853251,0.0034872258073154593,0.001885662221540537,0.004846095928199904,0.0020133625934406593,0.0041202297885258692,0.87783192512009844,0.003703703703703703,0.21595939963286898,true,0.00037262733227138049,0.0022474002313485112,0.003482566512206341,0.0013397354795628683,9.0193404937025612,true,-0.95179883503957174,true,0.97105081540520288,true,-0.99750513118672979,true,0.99999999999999589,2.3192177622019789e-20,7.9402323942157127e-14,5.2092526256139471e-20,1.0034995508529823,7.9783054556062724e-17,2.3136713124502107e-17,5.9133150864863198e-16,3.9909709170001725e-35,0
14,n10_linear_f1.0_d6.0,10,linear,n10_linear,2,1,6,0.010941315157750341,0.0061542180794446491,5,8,false,true,true,true,true,eligible,0.0049224569524708838,0.0023766170650656878,0.0026432225620923165,0.0060064184229577672,0.0085190225575644523,0.021893635061919135,0.01054990771738157,0.021589774333231969,0.5484938245307045,0.003703703703703703,0.21595939963286898,false,0.0077412632245166674,0.0068161921370144827,0.0059846091929073135,0.0036471002903351703,3.3414008043281624,true,-0.92346032241514475,true,0.95460794742795796,true,-0.99577666922340646,true,1.0000000000000062,2.9589076443567683e-19,7.763073119462663e-15,6.6407383064737147e-19,1.0108414773036889,4.8227749113438642e-17,2.2134886932750029e-17,3.3471107651562749e-16,1.5734707676348169e-32,0
15,n10_linear_f0.1_d2.1,10,linear,n10_linear,3,0.10000000000000001,2.1000000000000001,0.025519102408747146,0.012381356660967053,9,13,false,true,true,true,true,eligible,0.036721129231263298,0.016214253101036347,0.01775494611947763,0.0031708359205246308,0.027607232733707555,0.070949768527677537,0.02852060540300301,0.058365764989915768,-0.2852745238031702,0.003703703703703703,0.21595939963286898,false,0.0049379002474814505,0.020514140832362786,0.0031095967397231149,0.019323070977085056,1.1695394299750264,true,-0.99795433037278669,true,0.99903805474403062,true,-0.99978983144184463,true,1.0000000000000011,2.0959430046928481e-19,1.1559953763329119e-15,5.4210108624275222e-19,1.0532566271689325,5.5445443704620241e-17,1.7734341403069484e-17,4.5246439957676238e-16,1.1116173807576039e-16,0
16,n10_linear_f0.8_d3.0,10,linear,n10_linear,4,0.80000000000000004,3,0.070024417009602186,0.035042150548050537,7,11,false,true,true,true,true,eligible,0.07103056943137874,0.031321038823769957,0.040681492909609832,0.00057096560422541806,0.11211349233266348,0.28812834689222294,0.12529803739706338,0.25641516724763008,0.45640134287680006,0.003703703703703703,0.21595939963286898,false,0.079574227504291967,0.039929895573907255,0.0005528068536431711,0.031873489468184503,1.0186627036073088,true,-0.98111115191645104,true,0.98736576973781276,true,-0.9993668074091725,true,1,2.2945265486608786e-18,4.0388192945209751e-16,6.9388939039072284e-18,1.0733513906342438,6.0472158741220723e-17,2.1101554479001919e-17,3.9608585158506768e-16,1.1115917697859545e-16,0
