holdout_order,case_id,particle_index,position_x,position_y,position_z,model_a_x,model_a_y,model_a_z,model_d_x,model_d_y,model_d_z,model_e_total_x,model_e_total_y,model_e_total_z,model_e_interaction_x,model_e_interaction_y,model_e_interaction_z,model_e_external_scattered_x,model_e_external_scattered_y,model_e_external_scattered_z,model_e_scattered_scattered_x,model_e_scattered_scattered_y,model_e_scattered_scattered_z
1,n6_linear_f0.1_d4.0,0,-10,0,0,0.00082711569055914536,0,0,0.00082881827368571823,0,0,0.00082703742006373995,-1.523330310240481e-27,0,0.00082703742006373995,-1.523330310240481e-27,0,0.00082593920490130364,-6.5413030479065052e-24,0,1.098215162436319e-06,6.5397797175962648e-24,0
1,n6_linear_f0.1_d4.0,1,-6,0,0,6.8099462828745327e-05,0,0,6.876836888092307e-05,9.2800487684781981e-20,0,6.8684685013012021e-05,9.2473159673227374e-20,0,6.8684685013012021e-05,9.2473159673227374e-20,0,6.8521748767662934e-05,9.2307210964412453e-20,0,1.6293624534908646e-07,1.6594870881491624e-22,0
1,n6_linear_f0.1_d4.0,2,-2,0,0,1.1879810223686739e-05,0,0,1.1997961106437077e-05,9.9203545908779216e-20,0,1.1984458725387598e-05,9.9071704374573175e-20,0,1.1984458725387598e-05,9.9071704374573175e-20,0,1.1954774941987446e-05,9.8873547479146296e-20,0,2.9683783400151602e-08,1.9815689542688504e-22,0
1,n6_linear_f0.1_d4.0,3,2,0,0,-1.1879810223686746e-05,0,0,-1.1997961106437377e-05,1.0078238218318949e-19,0,-1.1984458725388083e-05,1.0045998712544521e-19,0,-1.1984458725388083e-05,1.0045998712544521e-19,0,-1.1954774941987929e-05,1.0025653239615873e-19,0,-2.968378340015284e-08,2.0345472928647812e-22,0
1,n6_linear_f0.1_d4.0,4,6,0,0,-6.809946282874534e-05,0,0,-6.8768368880923057e-05,1.0122094781497013e-19,0,-6.8684685013012414e-05,1.0137819124732087e-19,0,-6.8684685013012414e-05,1.0137819124732087e-19,0,-6.8521748767663327e-05,1.0119757952441238e-19,0,-1.6293624534908741e-07,1.8061172290848373e-22,0
1,n6_linear_f0.1_d4.0,5,10,0,0,-0.00082711569055914536,0,0,-0.00082881827368571823,1.0139637406768238e-19,0,-0.00082703742006373963,1.0161631134506159e-19,0,-0.00082703742006373963,1.0161631134506159e-19,0,-0.00082593920490130332,1.0149499422250567e-19,0,-1.0982151624363188e-06,1.2131712255591827e-22,0
2,n6_linear_f1.0_d6.0,0,-15,0,0,0.01718354704411567,0,0,0.017288446010541192,0,0,0.017248670606108029,5.3621037040951589e-20,0,0.017248670606108029,5.3621037040951589e-20,0,0.017185243978453245,5.4438162066841993e-20,0,6.3426627654782544e-05,-8.1712502589040479e-22,0
2,n6_linear_f1.0_d6.0,1,-9,0,0,0.0016366460002485122,0,0,0.0016890617476510352,1.9086376295093153e-18,0,0.0016901760845179344,1.9167003095662104e-18,0,0.0016901760845179344,1.9167003095662104e-18,0,0.001678764271913319,1.904218462198817e-18,0,1.1411812604615317e-05,1.2481847367393336e-20,0
2,n6_linear_f1.0_d6.0,2,-3,0,0,0.00031802016047750555,0,0,0.00032790019799451212,2.055995681787608e-18,0,0.00032827050640509735,2.0641845586385356e-18,0,0.00032827050640509735,2.0641845586385356e-18,0,0.00032590004129561353,2.0509865393006891e-18,0,2.3704651094838036e-06,1.31980193378465e-20,0
2,n6_linear_f1.0_d6.0,3,3,0,0,-0.0003180201604775037,0,0,-0.00032790019799452198,2.0910809323300586e-18,0,-0.00032827050640509253,2.1044403309287936e-18,0,-0.00032827050640509253,2.1044403309287936e-18,0,-0.00032590004129560876,2.092015816453075e-18,0,-2.3704651094837735e-06,1.2424514475718384e-20,0
2,n6_linear_f1.0_d6.0,4,9,0,0,-0.0016366460002485116,0,0,-0.0016890617476510252,2.105115032547039e-18,0,-0.0016901760845179276,2.1179538714892013e-18,0,-0.0016901760845179276,2.1179538714892013e-18,0,-0.0016787642719133123,2.1050874687662296e-18,0,-1.1411812604615275e-05,1.2866402722971714e-20,0
