model,scope_type,scope,point_count,rmse_log,mae_log,median_factor,p90_factor,maximum_factor,fraction_within_factor_2,fraction_within_factor_1_5,spearman,mean_log_bias,median_log_bias
M1,global,all,24,0.46509569258754629,0.40502271159815578,1.5178004582424443,1.9900378974917947,2.4937643099280042,0.875,0.45833333333333331,0.96434782608695646,0.22511433192046271,0.35642964104064845
M1,particle_count,N=6,12,0.45486374483448461,0.36951956918971868,1.4550595148402032,2.0108968859094549,2.4937643099280042,0.83333333333333337,0.5,0.965034965034965,0.14275599203380351,0.092328197967596171
M1,particle_count,N=10,12,0.47510733541182842,0.44052585400659289,1.5230290159579389,1.8435798721023546,2.4056783575087355,0.91666666666666663,0.41666666666666669,0.95804195804195813,0.3074726718071219,0.38778118064958583
M1,family,linear,8,0.58505113468285164,0.54214612358693537,1.619936876471995,2.4321041432345161,2.4937643099280042,0.75,0.25,1,0.3897075096524395,0.48205808523364491
M1,family,compact,8,0.41252375357436677,0.36284745918935868,1.4741152164215259,1.7394406135106955,2.0474277430205521,0.875,0.5,1,0.17184437353242321,0.35642964104064845
M1,family,irregular,8,0.36943379966333761,0.31007455201817335,1.2774877000326126,1.7343218977141133,1.8561282579246943,1,0.625,0.90476190476190477,0.11379111257652538,0.14518281843804726
M1,target_level,1,6,0.6615037499564197,0.61744220258674132,1.8588983792681395,2.4497213337183696,2.4937643099280042,0.5,0.16666666666666666,-0.65714285714285725,0.11686953473843863,0.069610379262969202
M1,target_level,2,6,0.35252376674395453,0.29304246670783535,1.3400563520377387,1.696067230965314,1.7306443997012977,1,0.66666666666666663,0.77142857142857146,0.27723310109136001,0.28995408138460588
M1,target_level,3,6,0.24826341550688003,0.22247628425557031,1.2861992277987091,1.4002015095714562,1.4170919761648855,1,1,0.59999999999999998,0.019224799009575844,0.079777481748451382
M1,target_level,4,6,0.49169205021950907,0.48712989284247632,1.5929149100748512,1.7691237149171366,1.8561282579246943,1,0,0.94285714285714295,0.48712989284247632,0.46552400371468583
P3,global,all,24,0.4288762777308382,0.34263742261777352,1.3403364206640056,2.0647416250772688,2.5685951394310895,0.875,0.66666666666666663,0.96434782608695646,0.13165406123138482,0.036493244504043711
P3,particle_count,N=6,12,0.42641823665535855,0.36485305471087298,1.433976979324177,1.8509286939313569,2.4058038617581929,0.91666666666666663,0.58333333333333337,0.98601398601398615,0.094815858913146547,-0.036988180706532349
P3,particle_count,N=10,12,0.43132031096187984,0.32042179052467396,1.233329426879497,2.1052980726220105,2.5685951394310895,0.83333333333333337,0.75,0.94405594405594428,0.16849226354962307,0.047541264017185461
P3,family,linear,8,0.64873832544863885,0.60736618102608453,1.8228136152696475,2.4546412450600621,2.5685951394310895,0.625,0.25,1,0.44674656048988953,0.59986048227606514
P3,family,compact,8,0.24168658159351639,0.17397603076363718,1.123844002394474,1.5596561287262396,1.5746561721165986,1,0.75,0.97619047619047628,0.012126114120757907,0.036493244504043711
P3,family,irregular,8,0.26931536564502528,0.24657005606359872,1.2696316825280856,1.47657628207514,1.4923803867422456,1,1,0.90476190476190477,-0.063910490916493021,-0.13069481782247822
P3,target_level,1,6,0.5854059411065744,0.49056265936428428,1.5222296332386325,2.4871995005946412,2.5685951394310895,0.66666666666666663,0.5,0.25714285714285717,0.17144376894016311,0.023292398108739842
P3,target_level,2,6,0.42419625274613276,0.32535627766978997,1.2241892849754366,2.0124227724265245,2.1432199040533857,0.83333333333333337,0.66666666666666663,0.085714285714285729,0.14904938853462577,-0.048016818388524493
P3,target_level,3,6,0.22402389235718564,0.18162298673101573,1.2169407289519079,1.3829754468434103,1.4766160055035817,1,1,0.7142857142857143,-0.1668846792552536,-0.19465496370843105
P3,target_level,4,6,0.40362131426305686,0.37300776670600405,1.5172651345412658,1.658614564220716,1.7640015897396317,1,0.5,0.59999999999999998,0.37300776670600405,0.41677494528277109
