holdout_order,case_id,particle_count,family,stratum,target_level,f1,distance_ratio,lambda_max,rho_l1,lmax,final_lmax,standard_lmax_cap,extension_lmax_cap,extended_beyond_13,full_modes_per_particle,active_modes_per_particle,system_dimension,expected_system_dimension,mode_dimension_consistent,production_solver,physical_residual_relative,balanced_condition_number,balanced_backward_error,effective_incident_closure_error,scattering_closure_error,force_decomposition_residual,max_abs_fz,fz_tolerance,finite,diagnostics_pass,coordinates_xyz,total_forces_xyz,external_forces_xyz,interaction_forces_xyz,external_scattered_forces_xyz,scattered_scattered_forces_xyz,campaign_complete,total_rms,total_successive_change,total_absolute_change,total_change_applicable,total_minimum_confirmed_lmax,total_confirmed,interaction_rms,interaction_successive_change,interaction_absolute_change,interaction_change_applicable,interaction_minimum_confirmed_lmax,interaction_confirmed,external_scattered_rms,external_scattered_successive_change,external_scattered_absolute_change,external_scattered_change_applicable,external_scattered_minimum_confirmed_lmax,external_scattered_confirmed,scattered_scattered_rms,scattered_scattered_successive_change,scattered_scattered_absolute_change,scattered_scattered_change_applicable,scattered_scattered_minimum_confirmed_lmax,scattered_scattered_confirmed
1,n6_linear_f0.1_d4.0,6,linear,n6_linear,1,0.10000000000000001,4,0.003573495370370371,0.001732512316638866,2,9,13,21,false,9,3,18,18,true,balanced_sqrt,1.0240703542431073e-16,1.0031982834475375,4.8181390376061978e-17,8.9949916546162511e-18,1.5703939424791803e-16,0,0,1.3599778326407705e-17,true,true,-10:0:0;-6:0:0;-2:0:0;2:0:0;6:0:0;10:0:0,0.00082585822044717501:0:0;6.8562142016494239e-05:9.2703057919709573e-20:0;1.1966997287210737e-05:9.8902444129351565e-20:0;-1.1966997287210857e-05:1.0039343574939205e-19:0;-6.8562142016494117e-05:1.0086427520835219e-19:0;-0.00082585822044717479:1.0107353719011227e-19:0,0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0,0.00082585822044717501:0:0;6.8562142016494239e-05:9.2703057919709573e-20:0;1.1966997287210737e-05:9.8902444129351565e-20:0;-1.1966997287210857e-05:1.0039343574939205e-19:0;-6.8562142016494117e-05:1.0086427520835219e-19:0;-0.00082585822044717479:1.0107353719011227e-19:0,0.0008250032061682507:0:0;6.8434185084686769e-05:9.2528741054044203e-20:0;1.1943389382291234e-05:9.8709428561214468e-20:0;-1.1943389382291354e-05:1.0019331876146378e-19:0;-6.8434185084686647e-05:1.0067667511142275e-19:0;-0.00082500320616825048:1.0096236676230224e-19:0,8.5501427892433962e-07:0:0;1.2795693180746984e-07:1.7431686566536815e-22:0;2.3607904919502914e-08:1.9301556813709286e-22:0;-2.3607904919503155e-08:2.0011698792826701e-22:0;-1.2795693180746963e-07:1.8760009692943487e-22:0;-8.5501427892433951e-07:1.1117042781003547e-22:0,true,0.00047849966096196161,0,0,false,6,true,0.00047849966096196161,0,0,false,6,true,0.00047800145481857942,0,0,false,6,true,4.9932612146664826e-07,0,0,false,9,true
1,n6_linear_f0.1_d4.0,6,linear,n6_linear,1,0.10000000000000001,4,0.003573495370370371,0.001732512316638866,3,9,13,21,false,16,6,36,36,true,balanced_sqrt,2.0437683211458488e-16,1.0032875745257734,4.3449169236604558e-17,2.0430584302131605e-17,1.7965571543643183e-16,7.8253836430847841e-38,0,1.3616939515397211e-17,true,true,-10:0:0;-6:0:0;-2:0:0;2:0:0;6:0:0;10:0:0,0.00082689729290638756:-2.3703492242871235e-25:0;6.8685073403131552e-05:9.2554600471120129e-20:0;1.1984275533265684e-05:9.9074226447089787e-20:0;-1.1984275533266146e-05:1.004885864307125e-19:0;-6.8685073403131498e-05:1.0114540745767666e-19:0;-0.00082689729290638734:1.0138982430217203e-19:0,0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0,0.00082689729290638756:-2.3703492242871235e-25:0;6.8685073403131552e-05:9.2554600471120129e-20:0;1.1984275533265684e-05:9.9074226447089787e-20:0;-1.1984275533266146e-05:1.004885864307125e-19:0;-6.8685073403131498e-05:1.0114540745767666e-19:0;-0.00082689729290638734:1.0138982430217203e-19:0,0.00082583542487728832:-6.7902806638256708e-24:0;6.852341924432309e-05:9.2397178805615405e-20:0;1.1954703828577637e-05:9.8891551161215346e-20:0;-1.1954703828578099e-05:1.0030035412861354e-19:0;-6.8523419244323036e-05:1.0096141419913154e-19:0;-0.00082583542487728811:1.0125992651530319e-19:0,1.0618680290992112e-06:6.5532457413969585e-24:0;1.6165415880846308e-07:1.5742166550472673e-22:0;2.9571704688046124e-08:1.8267528587444473e-22:0;-2.9571704688047262e-08:1.8823230209895992e-22:0;-1.6165415880846292e-07:1.8399325854510668e-22:0;-1.0618680290992108e-06:1.2989778686883317e-22:0,true,0.00047910346662085517,0.0012610532537016136,6.041749854419518e-07,true,6,true,0.00047910346662085517,0.0012610532537016136,6.041749854419518e-07,true,6,true,0.0004784845949839324,0.0010100221083839556,4.8328001945491444e-07,true,6,true,6.2036824118187302e-07,0.19512656766537628,1.2105032559042522e-07,true,9,true
1,n6_linear_f0.1_d4.0,6,linear,n6_linear,1,0.10000000000000001,4,0.003573495370370371,0.001732512316638866,4,9,13,21,false,25,10,60,60,true,balanced_sqrt,1.240980853554419e-15,1.003288663700761,3.2286622330207934e-17,7.9866924252944985e-18,1.4821368256380477e-16,2.0029743131754586e-35,0,1.361914150033957e-17,true,true,-10:0:0;-6:0:0;-2:0:0;2:0:0;6:0:0;10:0:0,0.00082703203604209585:2.0953140587322418e-22:0;6.8684134236133868e-05:9.2787724776314578e-20:0;1.1984440651540617e-05:9.9150777592463274e-20:0;-1.1984440651540744e-05:1.0064374628983717e-19:0;-6.8684134236134017e-05:1.0116943605412026e-19:0;-0.00082703203604209564:1.0140644135235632e-19:0,0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0,0.00082703203604209585:2.0953140587322418e-22:0;6.8684134236133868e-05:9.2787724776314578e-20:0;1.1984440651540617e-05:9.9150777592463274e-20:0;-1.1984440651540744e-05:1.0064374628983717e-19:0;-6.8684134236134017e-05:1.0116943605412026e-19:0;-0.00082703203604209564:1.0140644135235632e-19:0,0.00082593830297852911:2.1605377363130015e-22:0;6.8521348708199513e-05:9.2619054430369895e-20:0;1.1954769648984906e-05:9.8957834810196318e-20:0;-1.1954769648985033e-05:1.0044439483629407e-19:0;-6.8521348708199662e-05:1.009883467772475e-19:0;-0.0008259383029785289:1.0127265406816187e-19:0,1.0937330635667802e-06:-6.522367758075942e-24:0;1.6278552793435936e-07:1.6867034594468113e-22:0;2.9671002555711442e-08:1.9294278226695556e-22:0;-2.967100255571176e-08:1.993514535431017e-22:0;-1.6278552793435978e-07:1.8108927687275841e-22:0;-1.0937330635667796e-06:1.3378728419445016e-22:0,true,0.00047918094207840113,0.00016235189446821074,7.7795933739490388e-08,true,6,true,0.00047918094207840113,0.00016235189446821074,7.7795933739490388e-08,true,6,true,0.00047854368385523015,0.00012414486286132961,5.9408740005363025e-08,true,6,true,6.386526209755199e-07,0.028824696114181394,1.840896772214483e-08,true,9,true
1,n6_linear_f0.1_d4.0,6,linear,n6_linear,1,0.10000000000000001,4,0.003573495370370371,0.001732512316638866,5,9,13,21,false,36,15,90,90,true,balanced_sqrt,6.8049428209472749e-14,1.0032897832639531,2.9000252510782521e-17,1.3673035693855663e-19,1.6110712409033039e-16,4.1076378300016012e-37,0,1.3619222186910012e-17,true,true,-10:0:0;-6:0:0;-2:0:0;2:0:0;6:0:0;10:0:0,0.00082703692163519445:1.0571400612354312e-25:0;6.8684720838474626e-05:9.2577525395840697e-20:0;1.1984458767634712e-05:9.909771095465887e-20:0;-1.1984458767635073e-05:1.0045978404357184e-19:0;-6.8684720838474504e-05:1.0127339796879677e-19:0;-0.00082703692163519445:1.0161635591062786e-19:0,0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0,0.00082703692163519445:1.0571400612354312e-25:0;6.8684720838474626e-05:9.2577525395840697e-20:0;1.1984458767634712e-05:9.909771095465887e-20:0;-1.1984458767635073e-05:1.0045978404357184e-19:0;-6.8684720838474504e-05:1.0127339796879677e-19:0;-0.00082703692163519445:1.0161635591062786e-19:0,0.00082593919480803367:1.319788994929646e-23:0;6.8521788999418876e-05:9.2411007030131e-20:0;1.1954775212658996e-05:9.890401407836661e-20:0;-1.1954775212659357e-05:1.0026020299990891e-19:0;-6.8521788999418754e-05:1.0108696723178854e-19:0;-0.00082593919480803367:1.0147549405861923e-19:0,1.0977268271607394e-06:-1.3092175943172917e-23:0;1.629318390557477e-07:1.665183657097024e-22:0;2.9683554975715132e-08:1.9369687629226415e-22:0;-2.9683554975716035e-08:1.9958104366292722e-22:0;-1.6293183905574744e-07:1.8643073700822864e-22:0;-1.0977268271607392e-06:1.4086185200862516e-22:0,true,0.00047918378098471814,5.9287836573606635e-06,2.8409769695744882e-09,true,6,true,0.00047918378098471814,5.9287836573606635e-06,2.8409769695744882e-09,true,6,true,0.00047854421799808949,1.1999681232923054e-06,5.7423780718355128e-10,true,6,true,6.4094515747773303e-07,0.0035999315185005786,2.3073586740344078e-09,true,9,true
1,n6_linear_f0.1_d4.0,6,linear,n6_linear,1,0.10000000000000001,4,0.003573495370370371,0.001732512316638866,6,9,13,21,false,49,21,126,126,true,balanced_sqrt,2.9890064638736521e-12,1.0032897926102937,8.3278187602624062e-17,6.9313371224553493e-21,5.6706700447469605e-16,0,0,1.3619229346108948e-17,true,true,-10:0:0;-6:0:0;-2:0:0;2:0:0;6:0:0;10:0:0,0.0008270373628036713:2.0949669831671569e-22:0;6.8684680740519505e-05:9.2473169138276012e-20:0;1.1984458689317014e-05:9.8967083930087546e-20:0;-1.1984458689317942e-05:1.0051237028019595e-19:0;-6.8684680740519071e-05:1.0127367037267604e-19:0;-0.00082703736280367152:1.0140700984436557e-19:0,0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0,0.0008270373628036713:2.0949669831671569e-22:0;6.8684680740519505e-05:9.2473169138276012e-20:0;1.1984458689317014e-05:9.8967083930087546e-20:0;-1.1984458689317942e-05:1.0051237028019595e-19:0;-6.8684680740519071e-05:1.0127367037267604e-19:0;-0.00082703736280367152:1.0140700984436557e-19:0,0.0008259391965021991:2.094925467961665e-22:0;6.8521744933640344e-05:9.2304348847329418e-20:0;1.195477492785297e-05:9.8771557822785058e-20:0;-1.1954774927853895e-05:1.0031801940535892e-19:0;-6.852174493363991e-05:1.0108163565657223e-19:0;-0.00082593919650219931:1.0127919030583268e-19:0,1.0981663014722217e-06:4.1515205491963383e-27:0;1.6293580687916293e-07:1.6882029094659615e-22:0;2.9683761464043526e-08:1.955261073024817e-22:0;-2.9683761464046007e-08:1.9435087483702709e-22:0;-1.6293580687916195e-07:1.9203471610381224e-22:0;-1.0981663014722215e-06:1.2781953853289044e-22:0,true,0.00047918403287663735,5.3373786045707272e-07,2.5575866047276803e-10,true,6,true,0.00047918403287663735,5.3373786045707272e-07,2.5575866047276803e-10,true,6,true,0.00047854421686716509,5.3204521010794762e-08,2.5460715901073701e-11,true,6,true,6.4119638919424067e-07,0.00039573052115780583,2.5374098126034017e-10,true,9,true
1,n6_linear_f0.1_d4.0,6,linear,n6_linear,1,0.10000000000000001,4,0.003573495370370371,0.001732512316638866,7,9,13,21,false,64,28,168,168,true,balanced_sqrt,1.1549153096542307e-10,1.0032898027261674,6.1342672244481557e-17,9.238187261487037e-23,4.5835760066775494e-16,1.075809273855549e-37,0,1.3619230213067153e-17,true,true,-10:0:0;-6:0:0;-2:0:0;2:0:0;6:0:0;10:0:0,0.00082703741544174175:2.9496980459073519e-26:0;6.8684685342948714e-05:9.257769631378904e-20:0;1.1984458725304526e-05:9.9097927048855693e-20:0;-1.1984458725306559e-05:1.008265050663622e-19:0;-6.8684685342949229e-05:1.0106429588921233e-19:0;-0.00082703741544174066:1.0140705052145178e-19:0,0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0,0.00082703741544174175:2.9496980459073519e-26:0;6.8684685342948714e-05:9.257769631378904e-20:0;1.1984458725304526e-05:9.9097927048855693e-20:0;-1.1984458725306559e-05:1.008265050663622e-19:0;-6.8684685342949229e-05:1.0106429588921233e-19:0;-0.00082703741544174066:1.0140705052145178e-19:0,0.00082593920483681194:-6.5412243532361074e-24:0;6.8521749109834199e-05:9.2405064736149032e-20:0;1.1954774942670465e-05:9.8909786519717634e-20:0;-1.1954774942672491e-05:1.0064370847057341e-19:0;-6.8521749109834714e-05:1.0085471789144104e-19:0;-0.00082593920483681085:1.0128573417862624e-19:0,1.0982106049298271e-06:6.5707213336951811e-24:0;1.6293623311451101e-07:1.7263157764000356e-22:0;2.9683782634062265e-08:1.8814052913806174e-22:0;-2.9683782634067549e-08:1.8279659578878807e-22:0;-1.6293623311451215e-07:2.0957799777129581e-22:0;-1.0982106049298256e-06:1.2131634282554103e-22:0,true,0.00047918406338001745,6.3663546542956088e-08,3.0506556921636563e-11,true,6,true,0.00047918406338001745,6.3663546542956088e-08,3.0506556921636563e-11,true,6,true,0.00047854422186163222,1.1247179418317401e-08,5.3822727228768659e-12,true,6,true,6.4122171823099997e-07,3.9892285489866357e-05,2.5579799845973695e-11,true,9,true
1,n6_linear_f0.1_d4.0,6,linear,n6_linear,1,0.10000000000000001,4,0.003573495370370371,0.001732512316638866,8,9,13,21,false,81,36,216,216,true,balanced_sqrt,3.1917151525650593e-09,1.0032898027938224,5.2750793819404826e-17,7.2343804105808258e-24,4.2479140715205598e-16,1.9560168518072435e-38,0,1.3619230280941998e-17,true,true,-10:0:0;-6:0:0;-2:0:0;2:0:0;6:0:0;10:0:0,0.00082703741962297642:-2.0610378041316867e-25:0;6.8684684979398623e-05:9.2577792996982755e-20:0;1.1984458725283176e-05:9.909789936142757e-20:0;-1.1984458725284115e-05:1.0069559742204856e-19:0;-6.8684684979399327e-05:1.0116882012684359e-19:0;-0.00082703741962297567:1.0119752001492164e-19:0,0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0,0.00082703741962297642:-2.0610378041316867e-25:0;6.8684684979398623e-05:9.2577792996982755e-20:0;1.1984458725283176e-05:9.909789936142757e-20:0;-1.1984458725284115e-05:1.0069559742204856e-19:0;-6.8684684979399327e-05:1.0116882012684359e-19:0;-0.00082703741962297567:1.0119752001492164e-19:0,0.00082593920483651953:-2.5084372870668753e-25:0;6.8521748735250534e-05:9.2413239931421472e-20:0;1.1954774941948312e-05:9.8902422064454963e-20:0;-1.1954774941949247e-05:1.0051553601220532e-19:0;-6.8521748735251239e-05:1.0096166358641334e-19:0;-0.00082593920483651877:1.0105661817409165e-19:0,1.0982147864569037e-06:4.4739948293518845e-26:0;1.6293624414808413e-07:1.6455306556128688e-22:0;2.9683783334864563e-08:1.9547729697260301e-22:0;-2.9683783334866995e-08:1.800614098432399e-22:0;-1.6293624414808583e-07:2.0715654043025039e-22:0;-1.0982147864569025e-06:1.4090184082999654e-22:0,true,0.00047918406576815125,5.0568143997769935e-09,2.4231448839200731e-12,true,6,true,0.00047918406576815125,5.0568143997769935e-09,2.4231448839200731e-12,true,6,true,0.00047854422184357949,4.5192561820231814e-10,2.1626639330196544e-13,true,6,true,6.4122410638890182e-07,3.7650085167246718e-06,2.4142142216833823e-12,true,9,true
1,n6_linear_f0.1_d4.0,6,linear,n6_linear,1,0.10000000000000001,4,0.003573495370370371,0.001732512316638866,9,9,13,21,false,100,45,270,270,true,balanced_sqrt,1.380354642050978e-07,1.003289802873182,2.3584104349345655e-17,3.6299595269931051e-26,2.1062832249317442e-16,9.6119890557153069e-38,0,1.3619230288194721e-17,true,true,-10:0:0;-6:0:0;-2:0:0;2:0:0;6:0:0;10:0:0,0.00082703742006373995:-1.523330310240481e-27:0;6.8684685013012021e-05:9.2473159673227374e-20:0;1.1984458725387598e-05:9.9071704374573175e-20:0;-1.1984458725388083e-05:1.0045998712544521e-19:0;-6.8684685013012414e-05:1.0137819124732087e-19:0;-0.00082703742006373963:1.0161631134506159e-19:0,0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0,0.00082703742006373995:-1.523330310240481e-27:0;6.8684685013012021e-05:9.2473159673227374e-20:0;1.1984458725387598e-05:9.9071704374573175e-20:0;-1.1984458725388083e-05:1.0045998712544521e-19:0;-6.8684685013012414e-05:1.0137819124732087e-19:0;-0.00082703742006373963:1.0161631134506159e-19:0,0.00082593920490130364:-6.5413030479065052e-24:0;6.8521748767662934e-05:9.2307210964412453e-20:0;1.1954774941987446e-05:9.8873547479146296e-20:0;-1.1954774941987929e-05:1.0025653239615873e-19:0;-6.8521748767663327e-05:1.0119757952441238e-19:0;-0.00082593920490130332:1.0149499422250567e-19:0,1.098215162436319e-06:6.5397797175962648e-24:0;1.6293624534908646e-07:1.6594870881491624e-22:0;2.9683783400151602e-08:1.9815689542688504e-22:0;-2.968378340015284e-08:2.0345472928647812e-22:0;-1.6293624534908741e-07:1.8061172290848373e-22:0;-1.0982151624363188e-06:1.2131712255591827e-22:0,true,0.00047918406602333373,5.3260115806361951e-10,2.5521398848966143e-13,true,6,true,0.00047918406602333373,5.3260115806361951e-10,2.5521398848966143e-13,true,6,true,0.00047854422188239811,8.7396934903698016e-11,4.1823298208396766e-14,true,6,true,6.4122432113638038e-07,3.385288432109446e-07,2.1707292767302211e-13,true,9,true
2,n6_linear_f1.0_d6.0,6,linear,n6_linear,2,1,6,0.010588134430727021,0.0055972766743282833,2,8,13,21,false,9,3,18,18,true,balanced_sqrt,1.3210121024460212e-16,1.0101048343927654,2.1497932069337555e-17,7.3485230119825986e-18,1.000035956136029e-16,0,0,2.8402918416167343e-16,true,true,-15:0:0;-9:0:0;-3:0:0;3:0:0;9:0:0;15:0:0,0.017223535156639363:-2.6785533665288548e-20:0;0.0016869746648601417:1.8883801234028426e-18:0;0.00032771069839362336:2.049093325394574e-18:0;-0.00032771069839362699:2.0959680093088288e-18:0;-0.0016869746648601387:2.0758788590598624e-18:0;-0.017223535156639363:2.1160571595577955e-18:0,0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0,0.017223535156639363:-2.6785533665288548e-20:0;0.0016869746648601417:1.8883801234028426e-18:0;0.00032771069839362336:2.049093325394574e-18:0;-0.00032771069839362699:2.0959680093088288e-18:0;-0.0016869746648601387:2.0758788590598624e-18:0;-0.017223535156639363:2.1160571595577955e-18:0,0.017166989851288682:-2.5948485738248281e-20:0;0.0016768087926349754:1.8770799763877992e-18:0;0.00032558406314746427:2.0358575050482499e-18:0;-0.00032558406314746791:2.0826798734670646e-18:0;-0.0016768087926349723:2.0633231401542584e-18:0;-0.017166989851288682:2.1085237282144332e-18:0,5.6545305350680133e-05:-8.3704792704026712e-22:0;1.0165872225166393e-05:1.1300147015043608e-20:0;2.1266352461590612e-06:1.3235820346324224e-20:0;-2.1266352461590828e-06:1.3288135841764241e-20:0;-1.0165872225166376e-05:1.2555718905604007e-20:0;-5.6545305350680133e-05:7.533431343362405e-21:0,true,0.0099933884996317064,0,0,false,6,true,0.0099933884996317064,0,0,false,6,true,0.0099603084501013687,0,0,false,6,true,3.3192564894216253e-05,0,0,false,8,true
2,n6_linear_f1.0_d6.0,6,linear,n6_linear,2,1,6,0.010588134430727021,0.0055972766743282833,3,8,13,21,false,16,6,36,36,true,balanced_sqrt,2.2233797110844216e-16,1.0101601612467959,1.2468597928274308e-17,2.5730568982222177e-17,9.2720366948954232e-17,0,0,2.8441989001546997e-16,true,true,-15:0:0;-9:0:0;-3:0:0;3:0:0;9:0:0;15:0:0,0.017247141042049382:7.8161221076763702e-24:0;0.001690157901208517:1.9164382446941014e-18:0;0.00032826706462273352:2.0438131318309744e-18:0;-0.00032826706462272761:2.0974542772489915e-18:0;-0.001690157901208517:2.1042377570245082e-18:0;-0.017247141042049385:2.1187033246503821e-18:0,0:0:0;0:0:0;0:0:0;0:0:0;0:0:0;0:0:0,0.017247141042049382:7.8161221076763702e-24:0;0.001690157901208517:1.9164382446941014e-18:0;0.00032826706462273352:2.0438131318309744e-18:0;-0.00032826706462272761:2.0974542772489915e-18:0;-0.001690157901208517:2.1042377570245082e-18:0;-0.017247141042049385:2.1187033246503821e-18:0,0.0171841838270178:0:0;0.0016787653195481905:1.9058875485155731e-18:0;0.00032589851572869556:2.0307072244381536e-18:0;-0.00032589851572868971:2.0843253834990274e-18:0;-0.0016787653195481905:2.0919837808986251e-18:0;-0.017184183827017804:2.1112230400213796e-18:0,6.2957215031580704e-05:7.8161221076763702e-24:0;1.1392581660326548e-05:1.055069617852828e-20:0;2.3685488940379602e-06:1.3105907392820996e-20:0;-2.3685488940379208e-06:1.3128893749964108e-20:0;-1.1392581660326546e-05:1.2253976125883202e-20:0;-6.2957215031580717e-05:7.4802846290025631e-21:0,true,0.010007135239768969,0.0013746164581962582,1.3755972799982183e-05,true,6,true,0.010007135239768969,0.0013746164581962582,1.3755972799982183e-05,true,6,true,0.0099702998390454999,0.0010022425392636526,9.992658627904948e-06,true,6,true,3.6963999897573083e-05,0.10203563670366658,3.7716452646631361e-06,true,8,true
