model,scope,tolerance,eligible_count,predicted_safe_count,observed_safe_count,false_safe_count,false_unsafe_count,safe_precision,safe_coverage,worst_predicted_safe_error,false_safe_ids,false_unsafe_ids
M1,all,0.01,24,6,11,0,5,1,0.54545454545454541,0.0033779971460046305,,n10_compact_f0.1_d4.0;n10_irregular_f0.1_d3.0;n10_linear_f1.0_d6.0;n6_irregular_f0.1_d3.0;n6_linear_f1.0_d6.0
M1,all,0.050000000000000003,24,12,20,0,8,1,0.59999999999999998,0.014523333654409769,,n10_compact_f0.1_d3.0;n10_irregular_f0.1_d2.5;n10_irregular_f1.0_d4.0;n10_linear_f0.1_d2.1;n6_compact_f0.4_d4.0;n6_irregular_f0.1_d2.5;n6_irregular_f1.0_d4.0;n6_linear_f0.1_d2.1
M1,all,0.10000000000000001,24,18,24,0,6,1,0.75,0.036721129231263298,,n10_compact_f0.1_d2.1;n10_irregular_f1.0_d4.0;n10_linear_f0.8_d3.0;n6_compact_f1.0_d4.0;n6_irregular_f1.0_d4.0;n6_linear_f0.8_d3.0
M1,N=6,0.01,12,3,5,0,2,1,0.59999999999999998,0.0033779971460046305,,n6_irregular_f0.1_d3.0;n6_linear_f1.0_d6.0
M1,N=6,0.050000000000000003,12,6,10,0,4,1,0.59999999999999998,0.014523333654409769,,n6_compact_f0.4_d4.0;n6_irregular_f0.1_d2.5;n6_irregular_f1.0_d4.0;n6_linear_f0.1_d2.1
M1,N=6,0.10000000000000001,12,9,12,0,3,1,0.75,0.036488707171682608,,n6_compact_f1.0_d4.0;n6_irregular_f1.0_d4.0;n6_linear_f0.8_d3.0
M1,N=10,0.01,12,3,6,0,3,1,0.5,0.002274346207100575,,n10_compact_f0.1_d4.0;n10_irregular_f0.1_d3.0;n10_linear_f1.0_d6.0
M1,N=10,0.050000000000000003,12,6,10,0,4,1,0.59999999999999998,0.0092130601676008225,,n10_compact_f0.1_d3.0;n10_irregular_f0.1_d2.5;n10_irregular_f1.0_d4.0;n10_linear_f0.1_d2.1
M1,N=10,0.10000000000000001,12,9,12,0,3,1,0.75,0.036721129231263298,,n10_compact_f0.1_d2.1;n10_irregular_f1.0_d4.0;n10_linear_f0.8_d3.0
P3,all,0.01,24,6,11,0,5,1,0.54545454545454541,0.0033779971460046305,,n10_compact_f0.1_d4.0;n10_irregular_f0.1_d3.0;n10_linear_f1.0_d6.0;n6_irregular_f0.1_d3.0;n6_linear_f1.0_d6.0
P3,all,0.050000000000000003,24,15,20,0,5,1,0.75,0.021183296979520577,,n10_irregular_f1.0_d4.0;n10_linear_f0.1_d2.1;n6_compact_f0.4_d4.0;n6_irregular_f1.0_d4.0;n6_linear_f0.1_d2.1
P3,all,0.10000000000000001,24,18,24,0,6,1,0.75,0.036721129231263298,,n10_compact_f0.1_d2.1;n10_irregular_f1.0_d4.0;n10_linear_f0.8_d3.0;n6_compact_f1.0_d4.0;n6_irregular_f1.0_d4.0;n6_linear_f0.8_d3.0
P3,N=6,0.01,12,3,5,0,2,1,0.59999999999999998,0.0033779971460046305,,n6_irregular_f0.1_d3.0;n6_linear_f1.0_d6.0
P3,N=6,0.050000000000000003,12,7,10,0,3,1,0.69999999999999996,0.021183296979520577,,n6_compact_f0.4_d4.0;n6_irregular_f1.0_d4.0;n6_linear_f0.1_d2.1
P3,N=6,0.10000000000000001,12,9,12,0,3,1,0.75,0.036488707171682608,,n6_compact_f1.0_d4.0;n6_irregular_f1.0_d4.0;n6_linear_f0.8_d3.0
P3,N=10,0.01,12,3,6,0,3,1,0.5,0.002274346207100575,,n10_compact_f0.1_d4.0;n10_irregular_f0.1_d3.0;n10_linear_f1.0_d6.0
P3,N=10,0.050000000000000003,12,8,10,0,2,1,0.80000000000000004,0.019662638602679139,,n10_irregular_f1.0_d4.0;n10_linear_f0.1_d2.1
P3,N=10,0.10000000000000001,12,9,12,0,3,1,0.75,0.036721129231263298,,n10_compact_f0.1_d2.1;n10_irregular_f1.0_d4.0;n10_linear_f0.8_d3.0
