scale_order,case_id,particle_count,family,target_level,f1,distance_ratio,minimum_distance,cluster_diameter,k_cluster_diameter,lambda_min,lambda_mean,lambda_median,lambda_std,lambda_p10,lambda_p90,lambda_max,lambda_mean_over_max,fraction_ge_0_9_max,first_argmax,rho_l1,final_lmax,stop_reason,interaction_confirmed,total_confirmed,external_scattered_confirmed,scattered_scattered_confirmed,diagnostics_pass,phase_a_identity_pass,error_applicable,eligible,ineligibility_reason,epsilon_a_e,m1_point_prediction,m1_conservative_prediction,p3_point_prediction,p3_conservative_prediction,m1_log_residual,final_system_dimension,case_wall_seconds,peak_memory_kib,maximum_estimated_memory_bytes,maximum_balanced_condition,maximum_backward_error,maximum_incident_closure_error,maximum_scattering_closure_error,maximum_force_decomposition_residual,maximum_abs_fz
1,t14_1_n45_linear_level1,45,linear,1,0.80000000000000004,8.5164177438405186,8.5164177438405062,374.72238072898284,37.472238072898286,0.0015565136132680659,0.0030196348494616913,0.0031082169023223085,0.00032037478905944051,0.0030135226779719822,0.0031110311744152767,0.0031111241226691655,0.97059285660098271,0.9555555555555556,22,0.0019644978225521765,7,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.0023131458140526213,0.001486393704809302,0.0038199876936037334,0.0020783846868659239,0.0042532937319585615,-0.44225556848165892,1260,34.809209783095866,431112,304819200,1.0033490464634964,2.2798799784016515e-17,2.0879849815128119e-17,1.6531464460770607e-16,3.1858870061786295e-36,0
2,t14_1_n45_linear_level2,45,linear,2,0.80000000000000004,5.571925201209786,5.5719252012097797,245.16470885323059,24.516470885323059,0.0055578645518141491,0.010782251659212113,0.011098552812844331,0.0011439666625657409,0.010760426844467357,0.011108601772886405,0.011108933664494058,0.97059285660098293,0.9555555555555556,22,0.0064001876246442555,8,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.0095217395411300431,0.0087007541172098267,0.022360679774997897,0.011154803437236785,0.022827658344794992,-0.090167854976636763,1620,75.378469098475762,594788,503884800,1.0111184973828693,2.0632923539188016e-17,2.0112909000289294e-17,1.62680051461983e-16,1.8441144326874223e-32,0
3,t14_1_n45_linear_level3,45,linear,3,0.80000000000000004,4.2262927164077695,4.2262927164077695,185.95687952194186,18.595687952194186,0.012736352539131565,0.024708511158757242,0.025433344044416325,0.0026215037397223236,0.024658497609110801,0.025456372151084716,0.025457132710914928,0.97059285660098282,0.9555555555555556,22,0.01404571146679723,9,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.022611382433888765,0.0275142003714707,0.070710678118654793,0.034125980983031802,0.069836841047429099,0.19624882153251541,2025,76.359140642918646,813900,787320000,1.0250948964219497,2.6187917511006806e-17,2.1800849030022972e-17,1.6436295377720407e-16,5.4768474066024139e-20,0
4,t14_1_n45_linear_level4,45,linear,4,0.80000000000000004,3.0865895648047825,3.0865895648047825,135.80994085141043,13.580994085141043,0.032695436591721048,0.063429114213421678,0.065289829640373623,0.0067296511331410638,0.063300724642218462,0.065348944995345978,0.065350897425260776,0.97059285660098293,0.9555555555555556,22,0.034782142965849201,11,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.064020219858690885,0.10186146774330712,0.26178094805761304,0.12397748613568166,0.2537127356726388,0.46441476201587045,2970,246.20565527887084,1452680,1693612800,1.0686405913080133,2.3786006505029204e-17,1.9926009321015319e-17,1.9041360128226867e-16,7.7731969491178733e-18,0
5,t14_1_n45_compact_level1,45,compact,1,0.80000000000000004,13.131450120481357,13.131450120481356,105.05160096385089,10.50516009638509,0.0010166902164944127,0.0023564096764948864,0.0020808340108938459,0.00059297458556199865,0.0018176753103980765,0.0030674013252503774,0.0031111241226691655,0.75741422829289839,0.40000000000000002,20,0.001877742531234733,6,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.0015761366834874686,0.0014863937048093029,0.0038199876936037356,0.0019490362695448096,0.0039885896970860476,-0.058623861900620307,945,40.177813748945482,1452680,171460800,1.0019900826005557,2.1676785959866393e-17,2.8818774052391923e-17,1.412741906391147e-16,2.0495069798591586e-19,0
6,t14_1_n45_compact_level2,45,compact,2,0.80000000000000004,8.5913420472660089,8.5913420472660071,68.730736378128086,6.8730736378128086,0.0036303097295541627,0.008414064418649763,0.0074300626019416956,0.0021173425025831365,0.0064903982131953412,0.010952812070819185,0.011108933664494057,0.75741422829289817,0.40000000000000002,27,0.0062319700340504134,6,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.0095783633650698419,0.0087007541172098232,0.02236067977499789,0.010740033266234647,0.02197885524319642,-0.096097036625857765,945,70.804127471870743,1452680,171460800,1.0075581822670834,2.4004423384676848e-17,2.3510793671834929e-17,1.6427821651951054e-16,2.9625410975843355e-17,0
7,t14_1_n45_compact_level3,45,compact,3,0.80000000000000004,6.5165135940167609,6.5165135940167591,52.132108752134101,5.2132108752134103,0.0083191852033797399,0.019281594526787522,0.017026664792551906,0.0048520830811149248,0.014873338310416852,0.025099365867646821,0.025457132710914918,0.75741422829289839,0.40000000000000002,26,0.013455922354334056,7,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.023309356560246079,0.027514200371470694,0.070710678118654779,0.032105599303143703,0.065702247105539499,0.16584739946648294,1260,154.05999139510095,1452680,304819200,1.0170429184355476,2.4906309465334847e-17,2.4220878299819987e-17,1.6577650017417301e-16,5.1375075180426679e-18,0
8,t14_1_n45_compact_level4,45,compact,4,0.80000000000000004,4.759207231461434,4.7592072314614331,38.073657851691479,3.8073657851691483,0.021356145056144346,0.049497699541602241,0.043709078983403246,0.012455761901136295,0.038181283702799211,0.06443247567910125,0.065350897425260762,0.75741422829289839,0.40000000000000002,26,0.03218733051435755,8,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.05882924178576493,0.10186146774330709,0.26178094805761298,0.11102997084990184,0.22721639649276995,0.54897469020152267,1620,246.16939703712706,1452680,503884800,1.0426856284360542,2.1763109376874968e-17,3.5431934137891511e-17,1.6595175155553337e-16,2.4025157872126168e-17,0
9,t14_1_n45_irregular_level1,45,irregular,1,0.80000000000000004,9.4288674517217412,9.4288674517217412,118.47527156267741,11.847527156267741,0.00043204595612501839,0.0018646972142847054,0.00191652686089039,0.00057961263663586097,0.0011824454318146655,0.0025898017668017459,0.0031111241226691655,0.59936445502049029,0.022222222222222223,28,0.0014486909958741228,6,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.0015467769953695744,0.0014863937048093026,0.0038199876936037352,0.0013475463565238233,0.0027576754716996782,-0.039820554363460249,945,174.82323689793702,1452680,171460800,1.0020882636525139,2.1650890775603979e-17,2.612413702099284e-17,1.4873451976915869e-16,1.6095977518848179e-17,0
10,t14_1_n45_irregular_level2,45,irregular,2,0.80000000000000004,6.1689017323172415,6.1689017323172415,77.513265694099715,7.7513265694099722,0.001542712433629291,0.0066582999716782547,0.0068433688031663241,0.0020696308079042789,0.0042221741550586122,0.0092474407632785645,0.011108933664494055,0.59936445502049007,0.022222222222222223,28,0.0050019926209900201,7,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.0091225449986575263,0.0087007541172098302,0.022360679774997907,0.0078553885467721844,0.016075597111171635,-0.04733911998436368,1260,372.75998033583164,1452680,304819200,1.0072778123618609,2.1247890675058008e-17,2.3151487165579766e-17,1.4449105035809558e-16,1.2809568915397267e-17,0
11,t14_1_n45_irregular_level3,45,irregular,3,0.80000000000000004,4.6790980707829544,4.6790980707829544,58.793637458885172,5.8793637458885177,0.0035352659709547377,0.01525810047366181,0.015682202547374229,0.0047427473896808842,0.0096754964103764295,0.021191352280689694,0.025457132710914911,0.59936445502049018,0.022222222222222223,28,0.011014305851467468,8,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.023074278055199463,0.027514200371470676,0.070710678118654738,0.024147506978128449,0.04941647266819231,0.17598375552257384,1620,729.61475239903666,1452680,503884800,1.0168188001605531,2.4068179960278321e-17,2.0984622614645714e-17,1.6130271575136095e-16,0,0
12,t14_1_n45_irregular_level4,45,irregular,4,0.80000000000000004,3.4172870283941283,3.4172870283941279,42.938774011790755,4.2938774011790759,0.0090753662819152078,0.039169005020391369,0.040257715655314434,0.012175086711319564,0.024837925803870474,0.054400230572869822,0.065350897425260762,0.59936445502049018,0.022222222222222223,28,0.026714826180697728,9,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.06211884080471556,0.10186146774330705,0.26178094805761287,0.085172895682147504,0.17430139166580957,0.49456439324504875,2025,1335.8813408869319,1452680,787320000,1.0453909795211,2.1473957661112233e-17,3.0177417504608625e-17,1.786469108709753e-16,4.4167262583977348e-17,0
13,t14_1_n105_linear_level1,105,linear,1,0.80000000000000004,8.5183218257629569,8.5183218257629392,885.90546987934749,88.590546987934758,0.0015557375707186162,0.0030711586075660401,0.0031105674521633968,0.00021461037984484954,0.0030903087668773185,0.0031111088202598045,0.0031111241226691642,0.98715399529966807,0.98095238095238091,52,0.0019671875493920596,7,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.0023110509589305932,0.0014863937048093011,0.0038199876936037313,0.0020824342333293278,0.0042615808939545649,-0.44134952777094644,2940,141.65529899997637,1836508,1659571200,1.0033512465266499,2.0112061603180244e-17,2.4265896248859878e-17,1.762647453626672e-16,2.0423100478599116e-19,0
14,t14_1_n105_linear_level2,105,linear,2,0.80000000000000004,5.5731709599745525,5.5731709599745045,579.60977983735347,57.960977983735347,0.0055550935260167628,0.010966228250424285,0.011106945953468108,0.00076631223294393129,0.01103460798747939,0.01110887902397065,0.011108933664494051,0.98715399529966807,0.98095238095238091,52,0.006412217059839671,8,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.0095152376538954475,0.0087007541172098163,0.022360679774997873,0.011184642493006431,0.022888722242000652,-0.089484775155634785,3780,331.10314829472918,2571156,2743372800,1.0111282524088496,2.0500201107275995e-17,2.0847652684802253e-17,1.9313517124056517e-16,1.0131925344114367e-20,0
15,t14_1_n105_linear_level3,105,linear,3,0.80000000000000004,4.2272376216252328,4.2272376216252212,439.6327126490242,43.963271264902424,0.012730002481277326,0.025130110264453515,0.025452577690162598,0.001756074237296243,0.025286808656353171,0.025457007497181695,0.0254571327109149,0.98715399529966819,0.98095238095238091,52,0.014077652629051227,9,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.022597951483234603,0.027514200371470669,0.070710678118654724,0.034236439422953416,0.070062887839021357,0.19684298870489125,4725,614.02912738302257,3705200,4286520000,1.0251179119213172,2.2088708655036188e-17,2.1066579593973072e-17,2.0757910901834842e-16,3.496463330337756e-18,0
16,t14_1_n105_linear_level4,105,linear,4,0.80000000000000004,3.0872796577017145,3.0872796577017141,321.07708440097832,32.107708440097831,0.03267913538513216,0.064511399489764948,0.065339204250804292,0.0045080107275194395,0.064913659267094498,0.065350575989617257,0.065350897425260762,0.98715399529966796,0.98095238095238091,52,0.034878249743195859,11,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.063976704725587377,0.10186146774330715,0.26178094805761309,0.12446511803393931,0.2547106460736675,0.46509470233352024,6930,1852.8285615859786,7393840,9220780800,1.0686882116757186,2.0176724210343109e-17,1.8639601861972418e-17,2.4097473269235716e-16,9.7441074942231783e-19,0
17,t14_1_n105_compact_level1,105,compact,1,0.80000000000000004,13.511237866452998,13.511237866453001,175.64609226388913,17.564609226388914,0.00095345819147734561,0.0025066473446332138,0.0027678763961360578,0.00055284381581807056,0.0018705048505586936,0.0030819826813479022,0.0031111241226691646,0.80570470537274974,0.48571428571428571,54,0.0018153329199019545,6,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.0013541996735843759,0.001486393704809302,0.0038199876936037334,0.0018575296438729269,0.0038013266943019994,0.093142220845659526,2205,247.00325222802348,7393840,933508800,1.0019006835151358,2.0889225684809375e-17,2.8277126411825478e-17,1.641524200552298e-16,2.5294499834956259e-19,0
18,t14_1_n105_compact_level2,105,compact,2,0.80000000000000004,8.8398208063570056,8.8398208063570038,114.91767048264119,11.491767048264119,0.0034045262687568559,0.0089505201251566004,0.0098832942897225783,0.0019740470114961721,0.0066790373783426633,0.011004877919444602,0.011108933664494051,0.80570470537274974,0.48571428571428571,54,0.0062416995966300482,6,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.0086090045830570106,0.0087007541172098302,0.022360679774997907,0.010763895715900619,0.022027688362606331,0.010601002010928272,2205,307.90525154396892,7393840,933508800,1.0072266169214186,1.9977295081151813e-17,3.1170745698060813e-17,1.7635655990532523e-16,8.3023119270086645e-19,0
19,t14_1_n105_compact_level3,105,compact,3,0.80000000000000004,6.704984173180371,6.7049841731803674,87.164794251344901,8.7164794251344908,0.0078017818504533031,0.020510931610482692,0.022648468516708375,0.0045237084194553762,0.015305622128708091,0.025218679499197264,0.025457132710914918,0.80570470537274963,0.48571428571428571,54,0.013928934367563608,7,all_channels_confirmed,true,true,true,true,true,true,true,true,eligible,0.021559059436895411,0.027514200371470638,0.070710678118654641,0.033723048423472263,0.069012262931160889,0.24390612882684015,2940,493.07403653603978,7393840,1659571200,1.0169749806737385,2.0094426776247866e-17,2.3459340132085753e-17,1.8091335090048889e-16,1.8385272628077299e-17,0
