family,target_level,particle_count,case_id,epsilon_a_e,eligible,source_task,descriptive_log_n_exponent,descriptive_log_n_prefactor
linear,1,15,t14_n15_linear_level1,0.0023359609785337352,true,T14,-0.0052232833268631698,0.0023638460533959775
linear,1,28,t14_n28_linear_level1,0.0023179508669289835,true,T14,-0.0052232833268631698,0.0023638460533959775
linear,1,45,t14_1_n45_linear_level1,0.0023131458140526213,true,T14.1,-0.0052232833268631698,0.0023638460533959775
linear,1,105,t14_1_n105_linear_level1,0.0023110509589305932,true,T14.1,-0.0052232833268631698,0.0023638460533959775
linear,2,15,t14_n15_linear_level2,0.0095714974953100291,true,T14,-0.0029279234414169145,0.0096377520067826104
linear,2,28,t14_n28_linear_level2,0.009535602102376816,true,T14,-0.0029279234414169145,0.0096377520067826104
linear,2,45,t14_1_n45_linear_level2,0.0095217395411300431,true,T14.1,-0.0029279234414169145,0.0096377520067826104
linear,2,105,t14_1_n105_linear_level2,0.0095152376538954475,true,T14.1,-0.0029279234414169145,0.0096377520067826104
linear,3,15,t14_n15_linear_level3,0.022747734540650624,true,T14,-0.0032648722913534291,0.022920683971209253
linear,3,28,t14_n28_linear_level3,0.022647221477757568,true,T14,-0.0032648722913534291,0.022920683971209253
linear,3,45,t14_1_n45_linear_level3,0.022611382433888765,true,T14.1,-0.0032648722913534291,0.022920683971209253
linear,3,105,t14_1_n105_linear_level3,0.022597951483234603,true,T14.1,-0.0032648722913534291,0.022920683971209253
linear,4,15,t14_n15_linear_level4,0.064616863936977034,true,T14,-0.0048156050238416011,0.065316344924486389
linear,4,28,t14_n28_linear_level4,0.064132119071037039,true,T14,-0.0048156050238416011,0.065316344924486389
linear,4,45,t14_1_n45_linear_level4,0.064020219858690885,true,T14.1,-0.0048156050238416011,0.065316344924486389
linear,4,105,t14_1_n105_linear_level4,0.063976704725587377,true,T14.1,-0.0048156050238416011,0.065316344924486389
compact,1,15,t14_n15_compact_level1,0.0024242623948484438,true,T14,-0.29483794195951146,0.0051095430126159346
compact,1,28,t14_n28_compact_level1,0.0018318315752920309,true,T14,-0.29483794195951146,0.0051095430126159346
compact,1,45,t14_1_n45_compact_level1,0.0015761366834874686,true,T14.1,-0.29483794195951146,0.0051095430126159346
compact,1,105,t14_1_n105_compact_level1,0.0013541996735843759,true,T14.1,-0.29483794195951146,0.0051095430126159346
compact,2,15,t14_n15_compact_level2,0.010398205676595504,true,T14,-0.098738257096553275,0.013782802515376487
compact,2,28,t14_n28_compact_level2,0.010053757118429858,true,T14,-0.098738257096553275,0.013782802515376487
compact,2,45,t14_1_n45_compact_level2,0.0095783633650698419,true,T14.1,-0.098738257096553275,0.013782802515376487
compact,2,105,t14_1_n105_compact_level2,0.0086090045830570106,true,T14.1,-0.098738257096553275,0.013782802515376487
compact,3,15,t14_n15_compact_level3,0.023275799700481881,true,T14,-0.039197881907195968,0.026342754708453261
compact,3,28,t14_n28_compact_level3,0.023319834353681092,true,T14,-0.039197881907195968,0.026342754708453261
compact,3,45,t14_1_n45_compact_level3,0.023309356560246079,true,T14.1,-0.039197881907195968,0.026342754708453261
compact,3,105,t14_1_n105_compact_level3,0.021559059436895411,true,T14.1,-0.039197881907195968,0.026342754708453261
compact,4,15,t14_n15_compact_level4,0.057522799054745166,true,T14,0.00070972048386816955,0.057713622190462679
compact,4,28,t14_n28_compact_level4,0.057686439450237846,true,T14,0.00070972048386816955,0.057713622190462679
compact,4,45,t14_1_n45_compact_level4,0.05882924178576493,true,T14.1,0.00070972048386816955,0.057713622190462679
compact,4,105,t14_1_n105_compact_level4,0.057421681334716472,true,T14.1,0.00070972048386816955,0.057713622190462679
irregular,1,15,t14_n15_irregular_level1,0.0025988502420748656,true,T14,-0.303171803800245,0.005458688373027959
irregular,1,28,t14_n28_irregular_level1,0.001895416890670808,true,T14,-0.303171803800245,0.005458688373027959
irregular,1,45,t14_1_n45_irregular_level1,0.0015467769953695744,true,T14.1,-0.303171803800245,0.005458688373027959
irregular,1,105,t14_1_n105_irregular_level1,0.0014360489970277315,true,T14.1,-0.303171803800245,0.005458688373027959
irregular,2,15,t14_n15_irregular_level2,0.011213309579970453,true,T14,-0.12789317187074137,0.01554054139637078
irregular,2,28,t14_n28_irregular_level2,0.010147751200979502,true,T14,-0.12789317187074137,0.01554054139637078
irregular,2,45,t14_1_n45_irregular_level2,0.0091225449986575263,true,T14.1,-0.12789317187074137,0.01554054139637078
irregular,2,105,t14_1_n105_irregular_level2,0.0087946460544485374,true,T14.1,-0.12789317187074137,0.01554054139637078
irregular,3,15,t14_n15_irregular_level3,0.025647153317588624,true,T14,-0.072760489432565231,0.031071641701029461
irregular,3,28,t14_n28_irregular_level3,0.024518535974590885,true,T14,-0.072760489432565231,0.031071641701029461
irregular,3,45,t14_1_n45_irregular_level3,0.023074278055199463,true,T14.1,-0.072760489432565231,0.031071641701029461
irregular,3,105,t14_1_n105_irregular_level3,0.022365303715839214,true,T14.1,-0.072760489432565231,0.031071641701029461
irregular,4,15,t14_n15_irregular_level4,0.066044775958112673,true,T14,-0.034118784534799863,0.072172941368304114
irregular,4,28,t14_n28_irregular_level4,0.06490276720920074,true,T14,-0.034118784534799863,0.072172941368304114
irregular,4,45,t14_1_n45_irregular_level4,0.06211884080471556,true,T14.1,-0.034118784534799863,0.072172941368304114
irregular,4,105,t14_1_n105_irregular_level4,0.062130434579355132,true,T14.1,-0.034118784534799863,0.072172941368304114
