scale_order,case_id,particle_index,position_x,position_y,position_z,model_a_x,model_a_y,model_a_z,model_e_total_x,model_e_total_y,model_e_total_z,model_e_interaction_x,model_e_interaction_y,model_e_interaction_z,model_e_external_scattered_x,model_e_external_scattered_y,model_e_external_scattered_z,model_e_scattered_scattered_x,model_e_scattered_scattered_y,model_e_scattered_scattered_z
1,t14_1_n45_linear_level1,0,-187.36119036449142,0,0,0.0029128384723402841,0,0,0.00291873728627312,2.6809247058180878e-20,0,0.00291873728627312,2.6809247058180878e-20,0,0.0029157982542538001,2.7124562965364337e-20,0,2.9390320193197506e-06,-3.1531590718346063e-22,0
1,t14_1_n45_linear_level1,1,-178.8447726206509,0,0,0.00029827744044231815,0,0,0.00030154142751258198,3.2170615359356759e-19,0,0.00030154142751258198,3.2170615359356759e-19,0,0.00030091728373199807,3.211134414056658e-19,0,6.2414378058393306e-07,5.9271218790177944e-22,0
1,t14_1_n45_linear_level1,2,-170.32835487681038,0,0,5.7074166961151586e-05,0,0,5.7810674880908709e-05,3.3511579729830209e-19,0,5.7810674880908709e-05,3.3511579729830209e-19,0,5.7643353714103299e-05,3.3453578400909802e-19,0,1.6732116680541291e-07,5.8001328920405195e-22,0
1,t14_1_n45_linear_level1,3,-161.81193713296986,0,0,-1.0779808867329979e-05,0,0,-1.076385015555238e-05,3.3511634187083189e-19,0,-1.076385015555238e-05,3.3511634187083189e-19,0,-1.077468120026512e-05,3.3451581022674575e-19,0,1.0831044712739914e-08,6.0053164408614062e-22,0
1,t14_1_n45_linear_level1,4,-153.29551938912934,0,0,-2.7883087592511051e-05,0,0,-2.8086175436254074e-05,3.434909922467924e-19,0,-2.8086175436254074e-05,3.434909922467924e-19,0,-2.8041503744363546e-05,3.4281850892995074e-19,0,-4.4671691890529653e-08,6.7248331684165339e-22,0
1,t14_1_n45_linear_level1,5,-144.77910164528882,0,0,-2.2281748957838262e-05,0,0,-2.2479324548235793e-05,3.7490641341127037e-19,0,-2.2479324548235793e-05,3.7490641341127037e-19,0,-2.2431761214531078e-05,3.743754024007178e-19,0,-4.7563333704714654e-08,5.3101101055257381e-22,0
1,t14_1_n45_linear_level1,6,-136.2626839014483,0,0,-8.7823603071753783e-06,0,0,-8.8823485912673416e-06,3.3846302393472037e-19,0,-8.8823485912673416e-06,3.3846302393472037e-19,0,-8.8564476942715114e-06,3.3778513740174848e-19,0,-2.5900896995830151e-08,6.778865329718915e-22,0
1,t14_1_n45_linear_level1,7,-127.74626615760778,0,0,3.041156723733121e-06,0,0,3.0434549935114828e-06,3.5689516565497108e-19,0,3.0434549935114828e-06,3.5689516565497108e-19,0,3.0442640926663866e-06,3.563501391094276e-19,0,-8.0909915490394901e-10,5.4502654554348416e-22,0
1,t14_1_n45_linear_level1,8,-119.22984841376726,0,0,8.5028565837417638e-06,0,0,8.5634671708766117e-06,3.5626623229125895e-19,0,8.5634671708766117e-06,3.5626623229125895e-19,0,8.5488155854701095e-06,3.5564527204262641e-19,0,1.4651585406501841e-08,6.2096024863251992e-22,0
1,t14_1_n45_linear_level1,9,-110.71343066992674,0,0,7.4319979512776075e-06,0,0,7.4963021651608175e-06,3.4809831329823417e-19,0,7.4963021651608175e-06,3.4809831329823417e-19,0,7.47970732106454e-06,3.4748532598619971e-19,0,1.6594844096277633e-08,6.1298731203446725e-22,0
