family,target_level,lambda_max,n28_case_id,n45_case_id,n105_case_id,n28_epsilon_a_e,n45_epsilon_a_e,n105_epsilon_a_e,ratio_45_over_28,ratio_105_over_45,ratio_105_over_28,log_ratio_105_over_45,applicable,sign
linear,1,0.0031111241226691655,t14_n28_linear_level1,t14_1_n45_linear_level1,t14_1_n105_linear_level1,0.0023179508669289835,0.0023131458140526213,0.0023110509589305932,0.99792702557033564,0.99909436962023679,0.99702327253919243,-0.00090604071071307486,true,decrease
linear,2,0.011108933664494058,t14_n28_linear_level2,t14_1_n45_linear_level2,t14_1_n105_linear_level2,0.009535602102376816,0.0095217395411300431,0.0095152376538954475,0.99854623115583674,0.99931715342490623,0.9978643772818192,-0.00068307982100314834,true,decrease
linear,3,0.025457132710914928,t14_n28_linear_level3,t14_1_n45_linear_level3,t14_1_n105_linear_level3,0.022647221477757568,0.022611382433888765,0.022597951483234603,0.99841750812990449,0.99940600930998225,0.99782445742532455,-0.00059416717237704704,true,decrease
linear,4,0.065350897425260776,t14_n28_linear_level4,t14_1_n45_linear_level4,t14_1_n105_linear_level4,0.064132119071037039,0.064020219858690885,0.063976704725587377,0.9982551767512593,0.99932029078938567,0.997576653513078,-0.00067994031764948329,true,decrease
compact,1,0.0031111241226691655,t14_n28_compact_level1,t14_1_n45_compact_level1,t14_1_n105_compact_level1,0.0018318315752920309,0.0015761366834874686,0.0013541996735843759,0.86041571984378562,0.85918923642331613,0.73925992533920004,-0.15176608274628037,true,decrease
compact,2,0.011108933664494057,t14_n28_compact_level2,t14_1_n45_compact_level2,t14_1_n105_compact_level2,0.010053757118429858,0.0095783633650698419,0.0086090045830570106,0.95271481618662168,0.89879703399561273,0.85629725103221099,-0.1066980386367853,true,decrease
compact,3,0.025457132710914918,t14_n28_compact_level3,t14_1_n45_compact_level3,t14_1_n105_compact_level3,0.023319834353681092,0.023309356560246079,0.021559059436895411,0.99955069177267286,0.92491010556954689,0.92449453584957653,-0.078058729360359319,true,decrease
compact,4,0.065350897425260762,t14_n28_compact_level4,t14_1_n45_compact_level4,t14_1_n105_compact_level4,0.057686439450237846,0.05882924178576493,0.057421681334716472,1.0198105888735411,0.97607379581443032,0.99541039249354668,-0.024217084961766902,true,decrease
irregular,1,0.0031111241226691655,t14_n28_irregular_level1,t14_1_n45_irregular_level1,t14_1_n105_irregular_level1,0.001895416890670808,0.0015467769953695744,0.0014360489970277315,0.81606162896551682,0.92841372824051704,0.75764281942190492,-0.074277817702257512,true,decrease
irregular,2,0.011108933664494055,t14_n28_irregular_level2,t14_1_n45_irregular_level2,t14_1_n105_irregular_level2,0.010147751200979502,0.0091225449986575263,0.0087946460544485374,0.89897207942750712,0.96405619876281867,0.86665960568678924,-0.036605688599019408,true,decrease
irregular,3,0.025457132710914911,t14_n28_irregular_level3,t14_1_n45_irregular_level3,t14_1_n105_irregular_level3,0.024518535974590885,0.023074278055199463,0.022365303715839214,0.94109526274781907,0.96927425691654556,0.91217941148757353,-0.031207676263424571,true,decrease
irregular,4,0.065350897425260762,t14_n28_irregular_level4,t14_1_n45_irregular_level4,t14_1_n105_irregular_level4,0.06490276720920074,0.06211884080471556,0.062130434579355132,0.95710619863846846,1.0001866386186442,0.95728483161727818,0.00018662120382404175,true,increase
