model,scope_type,scope,applicable,reason,point_count,rmse_log,mae_log,median_factor,p90_factor,maximum_factor,fraction_within_factor_2,fraction_within_factor_1_5,spearman,mean_log_bias,median_log_bias
M1,global,all,true,applicable,24,0.30428741758101263,0.23669628490332037,1.2046241646800737,1.6396919856038026,1.7739199789282882,1,0.66666666666666663,0.94931497265256559,0.12704030734961003,0.12949481015607123
M1,particle_count,N=45,true,applicable,12,0.2998410355482452,0.23502815152638434,1.1864058238291151,1.6349136797379165,1.731476807303588,1,0.66666666666666663,0.92307692307692313,0.10597748547095137,0.06301342255151135
M1,particle_count,N=105,true,applicable,12,0.30866975620815057,0.23836441828025645,1.223885454113065,1.6347465097734948,1.7739199789282882,1,0.66666666666666663,0.9370629370629372,0.14810312922826871,0.1449926047752754
M1,family,linear,true,applicable,8,0.33833638513403963,0.29823237512145928,1.3861784553601537,1.5914074170516774,1.5921649634850266,1,0.5,0.97619047619047628,0.032417943525240064,0.053382023188440313
M1,family,compact,true,applicable,8,0.30380438471282456,0.22379801438015018,1.1406294212526933,1.7442097587909982,1.7739199789282882,1,0.75,0.95238095238095244,0.18511778974853066,0.12949481015607123
M1,family,irregular,true,applicable,8,0.26646553964454323,0.18805846520835168,1.1204480983744642,1.6395695896555929,1.6397837825649597,1,0.75,1,0.16358518877505937,0.10522050943068548
M1,target_level,1,true,applicable,6,0.25989247890601791,0.18494149945019045,1.0789970730453657,1.5555087316440432,1.5562134087142061,1,0.66666666666666663,-0.23190841426097936,-0.14240833805537156,-0.049222208132040278
M1,target_level,2,true,applicable,6,0.068118753631491918,0.057403870023127766,1.0710440958036047,1.0976119224206364,1.1008658831220313,1,1,-0.31887406960884662,-0.053870202686151669,-0.068411947569999229
M1,target_level,3,true,applicable,6,0.19922972224613239,0.19767008763988367,1.2171912486158496,1.2532212881263836,1.2762245241730634,1,1,0.77142857142857146,0.19767008763988367,0.19654590511870335
M1,target_level,4,true,applicable,6,0.50841575760197721,0.5067696825000797,1.6396307876296978,1.7526983931159381,1.7739199789282882,1,0,0.40583972495671389,0.5067696825000797,0.49447108264313744
P3,global,all,true,applicable,24,0.3601285659000717,0.29504890872259426,1.243448773777605,1.9217733481305757,2.1182135331549041,0.95833333333333337,0.70833333333333337,0.95739130434782604,0.23622322287253861,0.21787357922110362
P3,particle_count,N=45,true,applicable,12,0.33540151142667074,0.27237639966812593,1.2040499398257227,1.8495175063754974,1.9365364006767223,1,0.75,0.965034965034965,0.20663398416752543,0.18532548177491176
P3,particle_count,N=105,true,applicable,12,0.3832636091350044,0.31772141777706248,1.3109937094506292,1.9073497456343025,2.1182135331549041,0.91666666666666663,0.66666666666666663,0.97202797202797209,0.26581246157755173,0.26971283401261209
P3,family,linear,true,applicable,8,0.40236499947092019,0.33557080668991918,1.3423422255806168,1.9392181605764196,1.9454756003423803,1,0.5,0.90476190476190477,0.28277523395944171,0.28662636349870901
P3,family,compact,true,applicable,8,0.4297437201833616,0.37744382930060327,1.3745251862633094,1.9565924178125016,2.1182135331549041,0.875,0.625,0.92857142857142871,0.37744382930060327,0.31810621121963845
P3,family,irregular,true,applicable,8,0.20615647963490724,0.17213209017726028,1.1377060343219649,1.4078627492519717,1.4935766485442987,1,1,0.95238095238095244,0.048450605357570772,-0.025642815921930941
P3,target_level,1,true,applicable,6,0.18057856182251836,0.1623689490517313,1.1304003052024276,1.3041358290670142,1.3716807647400382,1,1,0.77142857142857146,0.013762763399853557,-0.10045657529872712
P3,target_level,2,true,applicable,6,0.15746788255903885,0.15298162824077258,1.1664097302529322,1.2128760356367931,1.25030665416122,1,1,0.25714285714285717,0.066285070492427697,0.13638204874284907
P3,target_level,3,true,applicable,6,0.33195125561853578,0.2933535109727799,1.4433043209177239,1.5396205393535778,1.5642170532616015,1,0.5,-0.25714285714285717,0.2933535109727799,0.36589058590512252
P3,target_level,4,true,applicable,6,0.5925993155368392,0.57149154662509316,1.9119313130998115,2.0318445667486422,2.1182135331549041,0.83333333333333337,0.33333333333333331,0.4285714285714286,0.57149154662509316,0.64803107444919528
