scale_order,case_id,particle_count,family,target_level,orders_computed,final_lmax,final_system_dimension,case_wall_seconds,mean_order_wall_seconds,maximum_order_wall_seconds,peak_memory_kib,maximum_estimated_memory_bytes,blas_threads,workers,resource_precheck_failed,stop_reason
1,t14_1_n45_linear_level1,45,linear,1,6,7,1260,34.809209783095866,5.8015349638493108,18.693015030003153,431112,304819200,1,1,false,all_channels_confirmed
2,t14_1_n45_linear_level2,45,linear,2,7,8,1620,75.378469098475762,10.76835272835368,38.652325157891028,594788,503884800,1,1,false,all_channels_confirmed
3,t14_1_n45_linear_level3,45,linear,3,8,9,2025,76.359140642918646,9.5448925803648308,38.07088032795582,813900,787320000,1,1,false,all_channels_confirmed
4,t14_1_n45_linear_level4,45,linear,4,10,11,2970,246.20565527887084,24.620565527887084,106.80720360996202,1452680,1693612800,1,1,false,all_channels_confirmed
5,t14_1_n45_compact_level1,45,compact,1,5,6,945,40.177813748945482,8.0355627497890971,23.457698622951284,1452680,171460800,1,1,false,all_channels_confirmed
6,t14_1_n45_compact_level2,45,compact,2,5,6,945,70.804127471870743,14.160825494374148,41.397910275962204,1452680,171460800,1,1,false,all_channels_confirmed
7,t14_1_n45_compact_level3,45,compact,3,6,7,1260,154.05999139510095,25.676665232516825,82.32832833903376,1452680,304819200,1,1,false,all_channels_confirmed
8,t14_1_n45_compact_level4,45,compact,4,7,8,1620,246.16939703712706,35.167056719589581,121.42162320308853,1452680,503884800,1,1,false,all_channels_confirmed
9,t14_1_n45_irregular_level1,45,irregular,1,5,6,945,174.82323689793702,34.964647379587404,102.05051840795204,1452680,171460800,1,1,false,all_channels_confirmed
10,t14_1_n45_irregular_level2,45,irregular,2,6,7,1260,372.75998033583164,62.126663389305271,198.14953017805237,1452680,304819200,1,1,false,all_channels_confirmed
11,t14_1_n45_irregular_level3,45,irregular,3,7,8,1620,729.61475239903666,104.2306789141481,358.49451204203069,1452680,503884800,1,1,false,all_channels_confirmed
12,t14_1_n45_irregular_level4,45,irregular,4,8,9,2025,1335.8813408869319,166.98516761086648,605.68684564204887,1452680,787320000,1,1,false,all_channels_confirmed
13,t14_1_n105_linear_level1,105,linear,1,6,7,2940,141.65529899997637,23.609216499996062,82.117298386991024,1836508,1659571200,1,1,false,all_channels_confirmed
14,t14_1_n105_linear_level2,105,linear,2,7,8,3780,331.10314829472918,47.300449756389881,175.59298788197339,2571156,2743372800,1,1,false,all_channels_confirmed
15,t14_1_n105_linear_level3,105,linear,3,8,9,4725,614.02912738302257,76.753640922877821,303.73042507597711,3705200,4286520000,1,1,false,all_channels_confirmed
16,t14_1_n105_linear_level4,105,linear,4,10,11,6930,1852.8285615859786,185.28285615859787,817.96965674997773,7393840,9220780800,1,1,false,all_channels_confirmed
17,t14_1_n105_compact_level1,105,compact,1,5,6,2205,247.00325222802348,49.400650445604697,146.93938741204329,7393840,933508800,1,1,false,all_channels_confirmed
18,t14_1_n105_compact_level2,105,compact,2,5,6,2205,307.90525154396892,61.581050308793785,182.30551203701179,7393840,933508800,1,1,false,all_channels_confirmed
19,t14_1_n105_compact_level3,105,compact,3,6,7,2940,493.07403653603978,82.179006089339964,269.505565971951,7393840,1659571200,1,1,false,all_channels_confirmed
20,t14_1_n105_compact_level4,105,compact,4,7,8,3780,1128.2047771810321,161.17211102586174,564.27056229999289,7393840,2743372800,1,1,false,all_channels_confirmed
21,t14_1_n105_irregular_level1,105,irregular,1,5,6,2205,974.0623935329495,194.8124787065899,562.19010446895845,7393840,933508800,1,1,false,all_channels_confirmed
22,t14_1_n105_irregular_level2,105,irregular,2,6,7,2940,2071.3570619850652,345.22617699751089,1106.8971850499511,1676048,1659571200,1,1,false,all_channels_confirmed
23,t14_1_n105_irregular_level3,105,irregular,3,7,8,3780,4059.2901860971469,579.89859801387809,2000.9622011550236,2969432,2743372800,1,1,false,all_channels_confirmed
24,t14_1_n105_irregular_level4,105,irregular,4,8,9,4725,7431.8750412767986,928.98438015959982,3384.133216622984,4957644,4286520000,1,1,false,all_channels_confirmed
