model,scope,tolerance,eligible_count,predicted_safe_count,observed_safe_count,false_safe_count,false_unsafe_count,safe_precision,safe_coverage,worst_predicted_safe_error,false_safe_ids,false_unsafe_ids,safe_margin_to_tolerance
M1,all,0.01,24,6,12,0,6,1,0.5,0.0023131458140526213,,t14_1_n105_compact_level2;t14_1_n105_irregular_level2;t14_1_n105_linear_level2;t14_1_n45_compact_level2;t14_1_n45_irregular_level2;t14_1_n45_linear_level2,0.0076868541859473789
M1,all,0.050000000000000003,24,12,18,0,6,1,0.66666666666666663,0.0095783633650698419,,t14_1_n105_compact_level3;t14_1_n105_irregular_level3;t14_1_n105_linear_level3;t14_1_n45_compact_level3;t14_1_n45_irregular_level3;t14_1_n45_linear_level3,0.040421636634930161
M1,all,0.10000000000000001,24,18,24,0,6,1,0.75,0.023309356560246079,,t14_1_n105_compact_level4;t14_1_n105_irregular_level4;t14_1_n105_linear_level4;t14_1_n45_compact_level4;t14_1_n45_irregular_level4;t14_1_n45_linear_level4,0.07669064343975393
M1,N=45,0.01,12,3,6,0,3,1,0.5,0.0023131458140526213,,t14_1_n45_compact_level2;t14_1_n45_irregular_level2;t14_1_n45_linear_level2,0.0076868541859473789
M1,N=45,0.050000000000000003,12,6,9,0,3,1,0.66666666666666663,0.0095783633650698419,,t14_1_n45_compact_level3;t14_1_n45_irregular_level3;t14_1_n45_linear_level3,0.040421636634930161
M1,N=45,0.10000000000000001,12,9,12,0,3,1,0.75,0.023309356560246079,,t14_1_n45_compact_level4;t14_1_n45_irregular_level4;t14_1_n45_linear_level4,0.07669064343975393
M1,N=105,0.01,12,3,6,0,3,1,0.5,0.0023110509589305932,,t14_1_n105_compact_level2;t14_1_n105_irregular_level2;t14_1_n105_linear_level2,0.007688949041069407
M1,N=105,0.050000000000000003,12,6,9,0,3,1,0.66666666666666663,0.0095152376538954475,,t14_1_n105_compact_level3;t14_1_n105_irregular_level3;t14_1_n105_linear_level3,0.040484762346104555
M1,N=105,0.10000000000000001,12,9,12,0,3,1,0.75,0.022597951483234603,,t14_1_n105_compact_level4;t14_1_n105_irregular_level4;t14_1_n105_linear_level4,0.077402048516765409
P3,all,0.01,24,6,12,0,6,1,0.5,0.0023131458140526213,,t14_1_n105_compact_level2;t14_1_n105_irregular_level2;t14_1_n105_linear_level2;t14_1_n45_compact_level2;t14_1_n45_irregular_level2;t14_1_n45_linear_level2,0.0076868541859473789
P3,all,0.050000000000000003,24,13,18,0,5,1,0.72222222222222221,0.023074278055199463,,t14_1_n105_compact_level3;t14_1_n105_irregular_level3;t14_1_n105_linear_level3;t14_1_n45_compact_level3;t14_1_n45_linear_level3,0.02692572194480054
P3,all,0.10000000000000001,24,18,24,0,6,1,0.75,0.023309356560246079,,t14_1_n105_compact_level4;t14_1_n105_irregular_level4;t14_1_n105_linear_level4;t14_1_n45_compact_level4;t14_1_n45_irregular_level4;t14_1_n45_linear_level4,0.07669064343975393
P3,N=45,0.01,12,3,6,0,3,1,0.5,0.0023131458140526213,,t14_1_n45_compact_level2;t14_1_n45_irregular_level2;t14_1_n45_linear_level2,0.0076868541859473789
P3,N=45,0.050000000000000003,12,7,9,0,2,1,0.77777777777777779,0.023074278055199463,,t14_1_n45_compact_level3;t14_1_n45_linear_level3,0.02692572194480054
P3,N=45,0.10000000000000001,12,9,12,0,3,1,0.75,0.023309356560246079,,t14_1_n45_compact_level4;t14_1_n45_irregular_level4;t14_1_n45_linear_level4,0.07669064343975393
P3,N=105,0.01,12,3,6,0,3,1,0.5,0.0023110509589305932,,t14_1_n105_compact_level2;t14_1_n105_irregular_level2;t14_1_n105_linear_level2,0.007688949041069407
P3,N=105,0.050000000000000003,12,6,9,0,3,1,0.66666666666666663,0.0095152376538954475,,t14_1_n105_compact_level3;t14_1_n105_irregular_level3;t14_1_n105_linear_level3,0.040484762346104555
P3,N=105,0.10000000000000001,12,9,12,0,3,1,0.75,0.022597951483234603,,t14_1_n105_compact_level4;t14_1_n105_irregular_level4;t14_1_n105_linear_level4,0.077402048516765409
