scale_order,case_id,particle_count,family,target_level,f1,distance_ratio,minimum_distance,cluster_diameter,k_cluster_diameter,lambda_max,rho_l1,final_lmax,stop_reason,interaction_confirmed,total_confirmed,external_scattered_confirmed,scattered_scattered_confirmed,diagnostics_pass,error_applicable,eligible,ineligibility_reason,epsilon_a_e,m1_point_prediction,m1_conservative_prediction,p3_point_prediction,p3_conservative_prediction,m1_log_residual,final_system_dimension,case_wall_seconds,peak_memory_kib,maximum_balanced_condition,maximum_backward_error,maximum_incident_closure_error,maximum_scattering_closure_error,maximum_force_decomposition_residual,maximum_abs_fz
1,t14_n15_linear_level1,15,linear,1,0.80000000000000004,8.4977932394213482,8.4977932394213482,118.96910535189888,11.896910535189889,0.0031111241226691655,0.0019398990909229193,7,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.0023359609785337352,0.0014863937048093026,0.0038199876936037352,0.0020414587264576721,0.0041777268953938637,-0.45207050655606723,420,19.866644299007021,222684,1.0033287695359625,4.1207911673120888e-17,2.7905046268966242e-17,2.9929670548896099e-16,2.5885332094402259e-36,0
2,t14_n15_linear_level2,15,linear,2,0.80000000000000004,5.5597399904023117,5.5597399904023064,77.83635986563236,7.7836359865632367,0.011108933664494055,0.0062888090568519218,8,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.0095714974953100291,0.0087007541172098267,0.022360679774997897,0.010879657205537024,0.022264587537905379,-0.095379969269173553,540,39.925500154960901,222684,1.011025850371341,4.675035074483183e-17,2.457579557704214e-17,2.9925757304490256e-16,3.5516902939764754e-21,0
3,t14_n15_linear_level3,15,linear,3,0.80000000000000004,4.217050261453001,4.2170502614530001,59.038703660342016,5.9038703660342016,0.025457132710914911,0.013746336391169857,9,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.022747734540650624,0.027514200371470676,0.070710678118654738,0.033095864017296105,0.067728766415607849,0.19023668873237751,675,55.551743150106631,243132,1.0248662643087714,4.4686668370757623e-17,2.0988675450694713e-17,3.2606933175304394e-16,1.7319135221246192e-18,0
4,t14_n15_linear_level4,15,linear,4,0.80000000000000004,3.0798395200419542,3.0798395200419542,43.117753280587358,4.3117753280587356,0.065350897425260776,0.033869472854204108,11,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.064616863936977034,0.10186146774330712,0.26178094805761304,0.11937522479877286,0.24429447474105589,0.45513830239404945,990,132.62965446501039,392996,1.0681267339810574,3.2386822254912146e-17,2.2508685134341743e-17,3.1772511505603938e-16,1.2325283605114975e-16,0
5,t14_n15_compact_level1,15,compact,1,0.80000000000000004,12.237964408341369,12.237964408341369,48.951857633365492,4.8951857633365492,0.003111124122669165,0.0018491923447121765,6,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.0024242623948484438,0.0014863937048093024,0.0038199876936037347,0.0019070130571576061,0.0039025916299463307,-0.48917445717286528,315,14.339541474939324,392996,1.0022282125671982,3.0487862761813332e-17,2.7654703157319376e-17,2.042700631300215e-16,0,0
6,t14_n15_compact_level2,15,compact,2,0.80000000000000004,8.0067728415111219,8.0067728415111201,32.027091366044495,3.2027091366044496,0.011108933664494055,0.0056472692003518808,7,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.010398205676595504,0.0087007541172098267,0.022360679774997897,0.0093354416916892734,0.019104440040982686,-0.17822355812244672,420,30.799442529096268,392996,1.0074376902752233,4.3994740975045617e-17,2.2093279124658868e-17,2.3803178601990581e-16,4.8330113014201601e-17,0
7,t14_n15_compact_level3,15,compact,3,0.80000000000000004,6.073119167978569,6.0731191679785681,24.292476671914283,2.4292476671914285,0.025457132710914914,0.01182890718892257,7,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.023275799700481881,0.027514200371470687,0.070710678118654766,0.02672739742528835,0.054696068855263735,0.16728806719250205,420,41.045597865944728,392996,1.0160932396289353,3.7347837800812613e-17,2.7089881238926084e-17,3.1560573767154435e-16,2.418781572339464e-17,0
8,t14_n15_compact_level4,15,compact,4,0.80000000000000004,4.4353828538481999,4.4353828538481999,17.741531415392803,1.7741531415392804,0.065350897425260776,0.028075704732801941,8,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.057522799054745166,0.10186146774330712,0.26178094805761304,0.091411284373386234,0.18706789234570925,0.57143235625477506,540,48.096419743960723,392996,1.0402112280598634,3.4634219766343621e-17,3.4381168725146521e-17,2.9167710830901967e-16,6.986474640688224e-18,0
9,t14_n15_irregular_level1,15,irregular,1,0.80000000000000004,9.6936389012959996,9.6936389012959996,55.377970891545147,5.5377970891545152,0.0031111241226691646,0.0016843777610911622,6,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.0025988502420748656,0.001486393704809302,0.0038199876936037334,0.0016698433581833624,0.003417237594943895,-0.5587162787595531,315,21.389858293929137,392996,1.0022612428682434,4.0520633144890968e-17,2.6128249897073179e-17,2.6045481814947307e-16,0,0
10,t14_n15_irregular_level2,15,irregular,2,0.80000000000000004,6.3421302841353633,6.3421302841353624,36.231420402742586,3.6231420402742587,0.011108933664494062,0.0052770095370053959,7,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.011213309579970453,0.0087007541172098354,0.022360679774997921,0.008476897727375296,0.01734747960670719,-0.2536917260771317,420,58.259646986960433,392996,1.0075761465160216,3.4678099841674859e-17,2.4750321722329351e-17,2.6072874366515399e-16,0,0
11,t14_n15_irregular_level3,15,irregular,3,0.80000000000000004,4.8104915372034718,4.8104915372034718,27.481450777546726,2.748145077754673,0.025457132710914914,0.011159070907567013,8,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.025647153317588624,0.027514200371470687,0.070710678118654766,0.024600278075537243,0.050343042461931872,0.070269664852693176,540,91.001256700023077,392996,1.0167768476900267,3.4118385466993257e-17,3.1895494414408646e-17,2.9670737427717521e-16,2.1698231684851006e-17,0
12,t14_n15_irregular_level4,15,irregular,4,0.80000000000000004,3.5132476561950843,3.5132476561950843,20.070535783373277,2.0070535783373278,0.065350897425260748,0.026664155174614235,9,all_channels_confirmed,true,true,true,true,true,true,true,eligible,0.066044775958112673,0.10186146774330705,0.26178094805761287,0.084943157790531881,0.17383124639358111,0.43328079516161344,675,181.09526657511014,392996,1.044383070016639,3.4446112396822369e-17,2.1492029212654672e-17,2.7444134798586503e-16,6.1328723630132933e-18,0
