scale_order,case_id,particle_index,position_x,position_y,position_z,model_a_x,model_a_y,model_a_z,model_e_total_x,model_e_total_y,model_e_total_z,model_e_interaction_x,model_e_interaction_y,model_e_interaction_z,model_e_external_scattered_x,model_e_external_scattered_y,model_e_external_scattered_z,model_e_scattered_scattered_x,model_e_scattered_scattered_y,model_e_scattered_scattered_z
1,t14_n15_linear_level1,0,-59.484552675949438,0,0,0.0029372403412087516,0,0,0.002943234579173554,1.3409390316939734e-20,0,0.002943234579173554,1.3409390316939734e-20,0,0.0029402584846306102,1.3566291069443269e-20,0,2.976094542943724e-06,-1.5690075250353527e-22,0
1,t14_n15_linear_level1,1,-50.986759436528089,0,0,0.00030360890359253795,0,0,0.00030694569622933052,3.351062024652554e-19,0,0.00030694569622933052,3.351062024652554e-19,0,0.00030630663768065666,3.3444898473159269e-19,0,6.3905854867383687e-07,6.5721773366270424e-22,0
1,t14_n15_linear_level1,2,-42.488966197106741,0,0,6.1654357619697395e-05,0,0,6.243220221947218e-05,3.6862065769082694e-19,0,6.243220221947218e-05,3.6862065769082694e-19,0,6.2254660900636034e-05,3.6808116381394887e-19,0,1.7754131883614654e-07,5.3949387687805192e-22,0
1,t14_n15_linear_level1,3,-33.991172957685393,0,0,-8.5256482457341732e-06,0,0,-8.4987545518994514e-06,3.6527422131236294e-19,0,-8.4987545518994514e-06,3.6527422131236294e-19,0,-8.5118226114578691e-06,3.6451080396933808e-19,0,1.3068059558418176e-08,7.6341734302484211e-22,0
1,t14_n15_linear_level1,4,-25.493379718264045,0,0,-3.0164498418971569e-05,0,0,-3.0396997890100892e-05,3.3511210386133705e-19,0,-3.0396997890100892e-05,3.3511210386133705e-19,0,-3.0344039900639541e-05,3.3436360417858814e-19,0,-5.2957989461351963e-08,7.4849968274892993e-22,0
1,t14_n15_linear_level1,5,-16.995586478842696,0,0,-2.9176095647364012e-05,0,0,-2.9434657759902256e-05,3.3301952949281631e-19,0,-2.9434657759902256e-05,3.3301952949281631e-19,0,-2.9371591226620593e-05,3.3230203290549339e-19,0,-6.3066533281663169e-08,7.1749658732290499e-22,0
1,t14_n15_linear_level1,6,-8.4977932394213482,0,0,-1.6895932774898581e-05,0,0,-1.7053630128392747e-05,3.8370425123785192e-19,0,-1.7053630128392747e-05,3.8370425123785192e-19,0,-1.7014215219388071e-05,3.8319489774819569e-19,0,-3.9414909004677528e-08,5.0935348965622183e-22,0
1,t14_n15_linear_level1,7,0,0,0,1.0672615135404184e-19,0,0,2.0512707137386346e-18,3.6711054868522555e-19,0,2.0512707137386346e-18,3.6711054868522555e-19,0,2.0467189410203364e-18,3.6650669662775541e-19,0,4.551772718298243e-21,6.0385205747015653e-22,0
1,t14_n15_linear_level1,8,8.4977932394213482,0,0,1.6895932774898337e-05,0,0,1.7053630128393011e-05,3.3846430247542598e-19,0,1.7053630128393011e-05,3.3846430247542598e-19,0,1.7014215219388331e-05,3.3784636774056759e-19,0,3.9414909004677958e-08,6.179347348584041e-22,0
1,t14_n15_linear_level1,9,16.995586478842696,0,0,2.9176095647363639e-05,0,0,2.9434657759899329e-05,3.7699921008935241e-19,0,2.9434657759899329e-05,3.7699921008935241e-19,0,2.9371591226617672e-05,3.7621468759248467e-19,0,6.3066533281656777e-08,7.8452249686773606e-22,0
