family,target_level,lambda_max,n15_case_id,n28_case_id,n15_epsilon_a_e,n28_epsilon_a_e,ratio_28_over_15,log_ratio_28_over_15,applicable,sign
linear,1,0.0031111241226691655,t14_n15_linear_level1,t14_n28_linear_level1,0.0023359609785337352,0.0023179508669289835,0.99229006316019186,-0.0077398120592827241,true,decrease
linear,2,0.011108933664494055,t14_n15_linear_level2,t14_n28_linear_level2,0.0095714974953100291,0.009535602102376816,0.9962497620721521,-0.0037572877011765589,true,decrease
linear,3,0.025457132710914911,t14_n15_linear_level3,t14_n28_linear_level3,0.022747734540650624,0.022647221477757568,0.99558140338267809,-0.0044283874672109216,true,decrease
linear,4,0.065350897425260776,t14_n15_linear_level4,t14_n28_linear_level4,0.064616863936977034,0.064132119071037039,0.99249816787127298,-0.0075301123960238633,true,decrease
compact,1,0.003111124122669165,t14_n15_compact_level1,t14_n28_compact_level1,0.0024242623948484438,0.0018318315752920309,0.75562430006944459,-0.28021098390704796,true,decrease
compact,2,0.011108933664494055,t14_n15_compact_level2,t14_n28_compact_level2,0.010398205676595504,0.010053757118429858,0.9668742311049936,-0.033686852892362659,true,decrease
compact,3,0.025457132710914914,t14_n15_compact_level3,t14_n28_compact_level3,0.023275799700481881,0.023319834353681092,1.0018918642438008,0.0018900769225334438,true,increase
compact,4,0.065350897425260776,t14_n15_compact_level4,t14_n28_compact_level4,0.057522799054745166,0.057686439450237846,1.0028447919465278,0.0028407531837317409,true,increase
irregular,1,0.0031111241226691646,t14_n15_irregular_level1,t14_n28_irregular_level1,0.0025988502420748656,0.001895416890670808,0.72932901634129876,-0.31563032321917606,true,decrease
irregular,2,0.011108933664494062,t14_n15_irregular_level2,t14_n28_irregular_level2,0.011213309579970453,0.010147751200979502,0.90497378393134864,-0.099849303733451425,true,decrease
irregular,3,0.025457132710914914,t14_n15_irregular_level3,t14_n28_irregular_level3,0.025647153317588624,0.024518535974590885,0.95599444004478495,-0.045003181800383305,true,decrease
irregular,4,0.065350897425260748,t14_n15_irregular_level4,t14_n28_irregular_level4,0.066044775958112673,0.06490276720920074,0.98270856805334272,-0.017442674761622996,true,decrease
