model,scope_type,scope,applicable,reason,point_count,rmse_log,mae_log,median_factor,p90_factor,maximum_factor,fraction_within_factor_2,fraction_within_factor_1_5,spearman,mean_log_bias,median_log_bias
M1,global,all,true,applicable,24,0.34301137024205131,0.29827515432904073,1.2537891051015406,1.7131893654202746,1.7708016545989755,1,0.58333333333333337,0.92368507165895797,0.022138618628875988,-0.010676508357652027
M1,particle_count,N=15,true,applicable,12,0.37098685064152775,0.32624186421210399,1.4155418401715982,1.736680832944866,1.7708016545989755,1,0.5,0.94553159559598077,-0.011634218447435582,-0.012555152208240189
M1,particle_count,N=28,true,applicable,12,0.31254176821944923,0.2703084444459774,1.2236520001162592,1.5864206587747236,1.7657783824771522,1,0.66666666666666663,0.93664294422131833,0.055911455705187518,0.011825082542539909
M1,family,linear,true,applicable,8,0.33811739626709192,0.29826404175076404,1.3871750593380821,1.5799659494970655,1.5883065961141642,1,0.5,0.94612474691147452,0.027413078778258451,0.049307003582190138
M1,family,compact,true,applicable,8,0.36069118023705637,0.31170102632243774,1.2137462230808382,1.7672853641136992,1.7708016545989755,1,0.625,0.95238095238095244,0.056476477874634681,0.010430642519942954
M1,family,irregular,true,applicable,8,0.32946759960085664,0.2848603949139204,1.2819763377552476,1.6231410259159791,1.7484265667071615,1,0.625,0.92857142857142871,-0.01747370076626524,-0.041786378745494027
M1,target_level,1,true,applicable,6,0.41952543697441352,0.39939022763191057,1.5655044253769204,1.6896978978956834,1.7484265667071615,1,0.33333333333333331,-0.94112394811432021,-0.39939022763191057,-0.44820060052642585
M1,target_level,2,true,applicable,6,0.16236457584535804,0.1528828437684189,1.160905597794758,1.2419334557345452,1.2887744474689677,1,1,0.61721339984836765,-0.1528828437684189,-0.14918956378688214
M1,target_level,3,true,applicable,6,0.15687146395271781,0.15052172231670144,1.1809786690471573,1.212219932678654,1.2149040180709645,1,1,-0.11595420713048968,0.15052172231670144,0.16634302873123552
M1,target_level,4,true,applicable,6,0.49361391441149005,0.490305823599132,1.5823489913876652,1.7682900185380639,1.7708016545989755,1,0,-0.819688599970537,0.490305823599132,0.45890335859206133
P3,global,all,true,applicable,24,0.31440958235577582,0.25571407543469576,1.2694302837381042,1.7021008331976988,1.9187387396700539,1,0.79166666666666663,0.90434782608695652,0.10314432187288208,0.092042732422263351
P3,particle_count,N=15,true,applicable,12,0.31540615238634706,0.2680241712744465,1.2786901662984522,1.585852604606955,1.847431421543507,1,0.75,0.8951048951048951,0.060301825181206282,0.043215112922895128
P3,particle_count,N=28,true,applicable,12,0.31340984348151413,0.24340397959494506,1.2528915751280794,1.7252262678552703,1.9187387396700539,1,0.83333333333333337,0.91608391608391626,0.14598681856455789,0.10387974342971919
P3,family,linear,true,applicable,8,0.38331368723343834,0.32145989471074088,1.3094056091558763,1.8688236169814711,1.9187387396700539,1,0.75,0.90476190476190477,0.25958150845219485,0.26336092269884376
P3,family,compact,true,applicable,8,0.29065301318417602,0.22640631052887794,1.2079582443002956,1.6375468532866846,1.7505163181309595,1,0.75,0.95238095238095244,0.13945523399839965,0.09712769041159891
P3,family,irregular,true,applicable,8,0.25524811368130651,0.21927602106446842,1.288610446712227,1.3928688390877677,1.5563437308887331,1,0.875,1,-0.089603776831948242,-0.12764978352367817
P3,target_level,1,true,applicable,6,0.24239573588042387,0.20688304937054539,1.2077480175797159,1.4237098165787065,1.5563437308887331,1,0.83333333333333337,-0.14285714285714288,-0.18822291534742183,-0.1873739418062704
P3,target_level,2,true,applicable,6,0.170807590391887,0.14833802208848437,1.1502877512585781,1.2804830476970746,1.3228081711730681,1,1,-0.82857142857142874,-0.052060903923114132,-0.049433980849988304
P3,target_level,3,true,applicable,6,0.25192533113505816,0.19975995772387753,1.2079582443002956,1.47626197477563,1.4976158153740662,1,1,-0.88571428571428579,0.18498583420618861,0.18771011400883575
P3,target_level,4,true,applicable,6,0.49398000337314257,0.46787527255587574,1.6698238432421917,1.8830850806067805,1.9187387396700539,1,0.33333333333333331,-0.4285714285714286,0.46787527255587574,0.51154917054559057
