scale_order,case_id,particle_count,family,target_level,orders_computed,final_lmax,final_system_dimension,case_wall_seconds,mean_order_wall_seconds,maximum_order_wall_seconds,peak_memory_kib,stop_reason
1,t14_n15_linear_level1,15,linear,1,6,7,420,19.866644299007021,3.3111073831678368,7.8289197699632496,222684,all_channels_confirmed
2,t14_n15_linear_level2,15,linear,2,7,8,540,39.925500154960901,5.703642879280129,17.323804620071314,222684,all_channels_confirmed
3,t14_n15_linear_level3,15,linear,3,8,9,675,55.551743150106631,6.9439678937633289,17.963837511022575,243132,all_channels_confirmed
4,t14_n15_linear_level4,15,linear,4,10,11,990,132.62965446501039,13.262965446501038,47.70924204098992,392996,all_channels_confirmed
5,t14_n15_compact_level1,15,compact,1,5,6,315,14.339541474939324,2.8679082949878647,6.5151354529662058,392996,all_channels_confirmed
6,t14_n15_compact_level2,15,compact,2,6,7,420,30.799442529096268,5.133240421516045,13.461498778080568,392996,all_channels_confirmed
7,t14_n15_compact_level3,15,compact,3,6,7,420,41.045597865944728,6.840932977657455,20.650573689956218,392996,all_channels_confirmed
8,t14_n15_compact_level4,15,compact,4,7,8,540,48.096419743960723,6.8709171062801033,25.301022297004238,392996,all_channels_confirmed
9,t14_n15_irregular_level1,15,irregular,1,5,6,315,21.389858293929137,4.2779716587858276,11.130004329956137,392996,all_channels_confirmed
10,t14_n15_irregular_level2,15,irregular,2,6,7,420,58.259646986960433,9.7099411644934062,36.388928067986853,392996,all_channels_confirmed
11,t14_n15_irregular_level3,15,irregular,3,7,8,540,91.001256700023077,13.000179528574725,40.036518809967674,392996,all_channels_confirmed
12,t14_n15_irregular_level4,15,irregular,4,8,9,675,181.09526657511014,22.636908321888768,67.333937483024783,392996,all_channels_confirmed
13,t14_n28_linear_level1,28,linear,1,6,7,784,44.405355155933648,7.4008925259889411,20.358681360026821,392996,all_channels_confirmed
14,t14_n28_linear_level2,28,linear,2,7,8,1008,56.590240435907617,8.084320062272516,28.11704161495436,428396,all_channels_confirmed
15,t14_n28_linear_level3,28,linear,3,8,9,1260,120.73446848092135,15.091808560115169,48.818980437004939,569404,all_channels_confirmed
16,t14_n28_linear_level4,28,linear,4,10,11,1848,342.35916343110148,34.235916343110148,132.18940253299661,1032216,all_channels_confirmed
17,t14_n28_compact_level1,28,compact,1,5,6,588,37.822614036034793,7.5645228072069584,19.977358226082288,1032216,all_channels_confirmed
18,t14_n28_compact_level2,28,compact,2,5,6,588,59.773117224918678,11.954623444983735,37.810929778963327,1032216,all_channels_confirmed
19,t14_n28_compact_level3,28,compact,3,6,7,784,91.899953743908554,15.316658957318092,39.364182602032088,1032216,all_channels_confirmed
20,t14_n28_compact_level4,28,compact,4,7,8,1008,130.55945149506442,18.651350213580631,63.267500912072137,1032216,all_channels_confirmed
21,t14_n28_irregular_level1,28,irregular,1,5,6,588,65.841535555082373,13.168307111016475,38.459309019963257,1032216,all_channels_confirmed
22,t14_n28_irregular_level2,28,irregular,2,6,7,784,140.93793826794717,23.489656377991196,75.045931842993014,1032216,all_channels_confirmed
23,t14_n28_irregular_level3,28,irregular,3,7,8,1008,273.93114023702219,39.133020033860312,134.03519997699186,1032216,all_channels_confirmed
24,t14_n28_irregular_level4,28,irregular,4,9,10,1540,864.97551981580909,96.108391090645455,364.36991616908927,1032216,all_channels_confirmed
