scale_order,case_id,particle_count,family,target_level,radius,k,ka,energy_density,f0,f1,geometry_factor,lambda_target,distance_ratio,minimum_distance,overlap_margin,cluster_diameter,k_cluster_diameter,coordinates_xyz,coordinate_sha256,lambda_max,rho_l1,provenance,model_e_response_consulted
1,t14_n15_linear_level1,15,linear,1,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,2.3864142371234212,0.0031111241226691642,8.4977932394213482,8.4977932394213482,6.4977932394213482,118.96910535189888,11.896910535189889,-59.484552675949438:0:0;-50.986759436528089:0:0;-42.488966197106741:0:0;-33.991172957685393:0:0;-25.493379718264045:0:0;-16.995586478842696:0:0;-8.4977932394213482:0:0;0:0:0;8.4977932394213482:0:0;16.995586478842696:0:0;25.493379718264045:0:0;33.991172957685393:0:0;42.488966197106741:0:0;50.986759436528089:0:0;59.484552675949438:0:0,2b832a59dc0b879b2d9c3f33b1dd6335af1d78fb1b392110ce7902fcce4586eb,0.0031111241226691655,0.0019398990909229193,pre_registered_analytic_scale_out_geometry,false
2,t14_n15_linear_level2,15,linear,2,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,2.3864142371234212,0.011108933664494051,5.5597399904023117,5.5597399904023064,3.5597399904023064,77.83635986563236,7.7836359865632367,-38.91817993281618:0:0;-33.358439942413867:0:0;-27.79869995201156:0:0;-22.238959961609247:0:0;-16.679219971206933:0:0;-11.119479980804623:0:0;-5.5597399904023117:0:0;0:0:0;5.5597399904023117:0:0;11.119479980804623:0:0;16.679219971206933:0:0;22.238959961609247:0:0;27.79869995201156:0:0;33.358439942413867:0:0;38.91817993281618:0:0,68613364c7806a59f7e9077a2f750fa07524af3704c137966e1921c109e9e625,0.011108933664494055,0.0062888090568519218,pre_registered_analytic_scale_out_geometry,false
3,t14_n15_linear_level3,15,linear,3,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,2.3864142371234212,0.025457132710914911,4.217050261453001,4.2170502614530001,2.2170502614530001,59.038703660342016,5.9038703660342016,-29.519351830171008:0:0;-25.302301568718008:0:0;-21.085251307265004:0:0;-16.868201045812004:0:0;-12.651150784359004:0:0;-8.434100522906002:0:0;-4.217050261453001:0:0;0:0:0;4.217050261453001:0:0;8.434100522906002:0:0;12.651150784359004:0:0;16.868201045812004:0:0;21.085251307265004:0:0;25.302301568718008:0:0;29.519351830171008:0:0,f9a8b6b26aa547b7d89c689ef91cb4139e061540a72aaaee5e62fed3889424df,0.025457132710914911,0.013746336391169857,pre_registered_analytic_scale_out_geometry,false
4,t14_n15_linear_level4,15,linear,4,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,2.3864142371234212,0.065350897425260762,3.0798395200419542,3.0798395200419542,1.0798395200419542,43.117753280587358,4.3117753280587356,-21.558876640293679:0:0;-18.479037120251725:0:0;-15.399197600209771:0:0;-12.319358080167817:0:0;-9.2395185601258625:0:0;-6.1596790400839083:0:0;-3.0798395200419542:0:0;0:0:0;3.0798395200419542:0:0;6.1596790400839083:0:0;9.2395185601258625:0:0;12.319358080167817:0:0;15.399197600209771:0:0;18.479037120251725:0:0;21.558876640293679:0:0,a7239ae4c1b6d020f98e587a6ee4241ef45252a7150ca912c76f36222a1bdd7b,0.065350897425260776,0.033869472854204108,pre_registered_analytic_scale_out_geometry,false
5,t14_n15_compact_level1,15,compact,1,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,7.1277902083507048,0.0031111241226691642,12.237964408341369,12.237964408341369,10.237964408341369,48.951857633365492,4.8951857633365492,-24.475928816682746:-14.1311840909779:0;-12.237964408341373:-14.1311840909779:0;3.6231652961823384e-16:-14.1311840909779:0;12.237964408341373:-14.1311840909779:0;24.475928816682746:-14.1311840909779:0;-18.356946612512061:-3.5327960227444755:0;-6.1189822041706865:-3.5327960227444755:0;6.1189822041706865:-3.5327960227444755:0;18.356946612512061:-3.5327960227444755:0;-12.237964408341373:7.06559204548895:0;3.6231652961823384e-16:7.06559204548895:0;12.237964408341373:7.06559204548895:0;-6.1189822041706865:17.663980113722378:0;6.1189822041706865:17.663980113722378:0;3.6231652961823384e-16:28.2623681819558:0,34f09c0005898e9037cef735fa1f40a2b8c6e309bfaad56bced84ab7bbcda6c3,0.003111124122669165,0.0018491923447121765,pre_registered_analytic_scale_out_geometry,false
6,t14_n15_compact_level2,15,compact,2,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,7.1277902083507048,0.011108933664494051,8.0067728415111219,8.0067728415111201,6.0067728415111201,32.027091366044495,3.2027091366044496,-16.013545683022247:-9.2454249107732629:0;-8.0067728415111237:-9.2454249107732629:0;2.3704809497570764e-16:-9.2454249107732629:0;8.0067728415111237:-9.2454249107732629:0;16.013545683022247:-9.2454249107732629:0;-12.010159262266686:-2.3113562276933162:0;-4.0033864207555618:-2.3113562276933162:0;4.0033864207555618:-2.3113562276933162:0;12.010159262266686:-2.3113562276933162:0;-8.0067728415111237:4.6227124553866314:0;2.3704809497570764e-16:4.6227124553866314:0;8.0067728415111237:4.6227124553866314:0;-4.0033864207555618:11.556781138466581:0;4.0033864207555618:11.556781138466581:0;2.3704809497570764e-16:18.490849821546526:0,422792946623c69b7375ea9c6445c7a747cc4c69eebdc16d93f38f4bfbb95cd3,0.011108933664494055,0.0056472692003518808,pre_registered_analytic_scale_out_geometry,false
7,t14_n15_compact_level3,15,compact,3,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,7.1277902083507048,0.025457132710914911,6.073119167978569,6.0731191679785681,4.0731191679785681,24.292476671914283,2.4292476671914285,-12.146238335957142:-7.0126339729062064:0;-6.0731191679785708:-7.0126339729062064:0;1.7980044617552483e-16:-7.0126339729062064:0;6.0731191679785708:-7.0126339729062064:0;12.146238335957142:-7.0126339729062064:0;-9.1096787519678557:-1.753158493226552:0;-3.0365595839892854:-1.753158493226552:0;3.0365595839892854:-1.753158493226552:0;9.1096787519678557:-1.753158493226552:0;-6.0731191679785708:3.5063169864531032:0;1.7980044617552483e-16:3.5063169864531032:0;6.0731191679785708:3.5063169864531032:0;-3.0365595839892854:8.7657924661327602:0;3.0365595839892854:8.7657924661327602:0;1.7980044617552483e-16:14.025267945812413:0,fd2964999e213f3139b86c6de121e0f84703978aa4fa7d6334a2ca7cbeb783ed,0.025457132710914914,0.01182890718892257,pre_registered_analytic_scale_out_geometry,false
8,t14_n15_compact_level4,15,compact,4,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,7.1277902083507048,0.065350897425260762,4.4353828538481999,4.4353828538481999,2.4353828538481999,17.741531415392803,1.7741531415392804,-8.8707657076964015:-5.1215389692566182:0;-4.4353828538482007:-5.1215389692566182:0;1.3131371112986418e-16:-5.1215389692566182:0;4.4353828538482007:-5.1215389692566182:0;8.8707657076964015:-5.1215389692566182:0;-6.6530742807723016:-1.2803847423141548:0;-2.2176914269241004:-1.2803847423141548:0;2.2176914269241004:-1.2803847423141548:0;6.6530742807723016:-1.2803847423141548:0;-4.4353828538482007:2.5607694846283091:0;1.3131371112986418e-16:2.5607694846283091:0;4.4353828538482007:2.5607694846283091:0;-2.2176914269241004:6.401923711570773:0;2.2176914269241004:6.401923711570773:0;1.3131371112986418e-16:10.243077938513236:0,7eb93ef68d71c5b6bb81e23355c057988d300e331e2273fc971ffc54917910da,0.065350897425260776,0.028075704732801941,pre_registered_analytic_scale_out_geometry,false
9,t14_n15_irregular_level1,15,irregular,1,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,3.5423205978880388,0.0031111241226691642,9.6936389012959996,9.6936389012959996,7.6936389012959996,55.377970891545147,5.5377970891545152,-27.61341357027835:-16.923616351880391:0;-12.032910326654212:-14.552249402787774:0;0.12264224860223719:-13.150306894397975:0;11.943544511300267:-15.837220778788097:0;27.763802071919525:-16.634397088454509:0;-21.387754689458955:-2.5209183730864106:0;-4.8885686827231485:-2.3688934315075789:0;5.766998817238469:-5.269451986787244:0;19.243841256584222:-4.768623935256743:0;-11.732991226927769:9.2663467445044727:0;-1.7946376345838437:8.1380377856105071:0;14.934506667988872:5.6041627339287343:0;-7.9203921658158185:18.549929846671262:0;7.1163472840877704:20.701480154977055:0;0.47898543872074373:29.765720977254691:0,9940a00b607df20580b6b408d3ef14f2350136f467ec49fc446eaaa196c86f17,0.0031111241226691646,0.0016843777610911622,pre_registered_analytic_scale_out_geometry,false
10,t14_n15_irregular_level2,15,irregular,2,1,0.10000000000000001,0.10000000000000001,1,0,0.80000000000000004,3.5423205978880388,0.011108933664494051,6.3421302841353633,6.3421302841353624,4.3421302841353624,36.231420402742586,3.6231420402742587,-18.066266779238379:-11.072393027555343:0;-7.8726147905876633:-9.5209098027544652:0;0.08023953923750099:-8.6036792219983642:0;7.8141465879143688:-10.361611211271878:0;18.164659496396091:-10.883169324464509:0;-13.993086405100229:-1.6493282781192775:0;-3.19837986585503:-1.549864908816124:0;3.7730988558374068:-3.4475754014039639:0;12.590416216159975:-3.1199051853892708:0;-7.676390645606217:6.0625714357653511:0;-1.1741540826140684:5.324367496983812:0;9.7710042618784279:3.6665622222961485:0;-5.1819713451811324:12.136419877723263:0;4.6559194212199735:13.544086545224426:0;0.31337953553897624:19.474428783780194:0,5235b38bd3d57aefb2e2953f0db6fde444d6ae787fcd9a3df212aa0dd80ef1ca,0.011108933664494062,0.0052770095370053959,pre_registered_analytic_scale_out_geometry,false
