model,scope,tolerance,eligible_count,predicted_safe_count,observed_safe_count,false_safe_count,false_unsafe_count,safe_precision,safe_coverage,worst_predicted_safe_error,false_safe_ids,false_unsafe_ids,safe_margin_to_tolerance
M1,all,0.01,24,6,8,0,2,1,0.75,0.0025988502420748656,,t14_n15_linear_level2;t14_n28_linear_level2,0.0074011497579251351
M1,all,0.050000000000000003,24,12,18,0,6,1,0.66666666666666663,0.011213309579970453,,t14_n15_compact_level3;t14_n15_irregular_level3;t14_n15_linear_level3;t14_n28_compact_level3;t14_n28_irregular_level3;t14_n28_linear_level3,0.038786690420029551
M1,all,0.10000000000000001,24,18,24,0,6,1,0.75,0.025647153317588624,,t14_n15_compact_level4;t14_n15_irregular_level4;t14_n15_linear_level4;t14_n28_compact_level4;t14_n28_irregular_level4;t14_n28_linear_level4,0.074352846682411378
M1,N=15,0.01,12,3,4,0,1,1,0.75,0.0025988502420748656,,t14_n15_linear_level2,0.0074011497579251351
M1,N=15,0.050000000000000003,12,6,9,0,3,1,0.66666666666666663,0.011213309579970453,,t14_n15_compact_level3;t14_n15_irregular_level3;t14_n15_linear_level3,0.038786690420029551
M1,N=15,0.10000000000000001,12,9,12,0,3,1,0.75,0.025647153317588624,,t14_n15_compact_level4;t14_n15_irregular_level4;t14_n15_linear_level4,0.074352846682411378
M1,N=28,0.01,12,3,4,0,1,1,0.75,0.0023179508669289835,,t14_n28_linear_level2,0.0076820491330710167
M1,N=28,0.050000000000000003,12,6,9,0,3,1,0.66666666666666663,0.010147751200979502,,t14_n28_compact_level3;t14_n28_irregular_level3;t14_n28_linear_level3,0.039852248799020502
M1,N=28,0.10000000000000001,12,9,12,0,3,1,0.75,0.024518535974590885,,t14_n28_compact_level4;t14_n28_irregular_level4;t14_n28_linear_level4,0.075481464025409117
P3,all,0.01,24,6,8,0,2,1,0.75,0.0025988502420748656,,t14_n15_linear_level2;t14_n28_linear_level2,0.0074011497579251351
P3,all,0.050000000000000003,24,12,18,0,6,1,0.66666666666666663,0.011213309579970453,,t14_n15_compact_level3;t14_n15_irregular_level3;t14_n15_linear_level3;t14_n28_compact_level3;t14_n28_irregular_level3;t14_n28_linear_level3,0.038786690420029551
P3,all,0.10000000000000001,24,18,24,0,6,1,0.75,0.025647153317588624,,t14_n15_compact_level4;t14_n15_irregular_level4;t14_n15_linear_level4;t14_n28_compact_level4;t14_n28_irregular_level4;t14_n28_linear_level4,0.074352846682411378
P3,N=15,0.01,12,3,4,0,1,1,0.75,0.0025988502420748656,,t14_n15_linear_level2,0.0074011497579251351
P3,N=15,0.050000000000000003,12,6,9,0,3,1,0.66666666666666663,0.011213309579970453,,t14_n15_compact_level3;t14_n15_irregular_level3;t14_n15_linear_level3,0.038786690420029551
P3,N=15,0.10000000000000001,12,9,12,0,3,1,0.75,0.025647153317588624,,t14_n15_compact_level4;t14_n15_irregular_level4;t14_n15_linear_level4,0.074352846682411378
P3,N=28,0.01,12,3,4,0,1,1,0.75,0.0023179508669289835,,t14_n28_linear_level2,0.0076820491330710167
P3,N=28,0.050000000000000003,12,6,9,0,3,1,0.66666666666666663,0.010147751200979502,,t14_n28_compact_level3;t14_n28_irregular_level3;t14_n28_linear_level3,0.039852248799020502
P3,N=28,0.10000000000000001,12,9,12,0,3,1,0.75,0.024518535974590885,,t14_n28_compact_level4;t14_n28_irregular_level4;t14_n28_linear_level4,0.075481464025409117
